docid	novelty_1.0_10	novelty_1.0_25	novelty_1.0_40	novelty_0.2_10	novelty_0.2_25	novelty_0.2_40	novelty_0.05_10	novelty_0.05_25	novelty_0.05_40	novelty_0.025_10	novelty_0.025_25	novelty_0.025_40	transience_1.0_10	transience_1.0_25	transience_1.0_40	transience_0.2_10	transience_0.2_25	transience_0.2_40	transience_0.05_10	transience_0.05_25	transience_0.05_40	transience_0.025_10	transience_0.025_25	transience_0.025_40	resonance_1.0_10	resonance_1.0_25	resonance_1.0_40	resonance_0.2_10	resonance_0.2_25	resonance_0.2_40	resonance_0.05_10	resonance_0.05_25	resonance_0.05_40	resonance_0.025_10	resonance_0.025_25	resonance_0.025_40
njp.32101018115061	4.98802520371	5.25232042995	5.41542556558	3.73253954296	3.96736419465	4.18377484211	3.18389433073	3.39857439204	3.63547707214	2.98118439411	3.16933230852	3.41105287754	4.9468280088	4.95849833006	5.06170179886	3.68124590465	3.74936191489	3.89478901464	3.16632098783	3.23769247438	3.38481774997	2.95517123695	3.02098044041	3.17429244661	0.0411971949056	0.293822099893	0.353723766714	0.0512936383103	0.218002279767	0.28898582747	0.0175733429052	0.160881917661	0.250659322176	0.0260131571588	0.148351868111	0.236760430925
njp.32101069191516	5.65008342745	5.6494622623	5.73884512661	3.9094542523	3.96742636545	4.13003382545	3.18032422087	3.22256334071	3.41292166006	2.95406494847	2.98554475481	3.1984988133	5.70029953	5.85929363076	5.93239883421	4.0078556645	4.20544654437	4.32237309475	3.25398803027	3.37644180858	3.50409680517	3.01486995053	3.10693706769	3.22681465558	-0.0502161025548	-0.209831368461	-0.193553707602	-0.0984014121974	-0.238020178918	-0.192339269299	-0.0736638094094	-0.153878467873	-0.0911751451088	-0.0608050020611	-0.121392312873	-0.0283158422856
mdp.39015031307559	4.71936726005	4.79034709545	5.00206586389	2.93578146616	3.05204061774	3.33045320307	2.39745063221	2.51164621769	2.76071773907	2.21885800219	2.32770794668	2.56615701262	4.64706102247	4.68573884454	4.71448554267	3.07634724046	3.13356412158	3.22157096015	2.47341670846	2.57919979009	2.65546086702	2.25123104203	2.35384405926	2.41199002439	0.0723062375773	0.104608250912	0.287580321225	-0.140565774303	-0.0815235038435	0.108882242919	-0.0759660762494	-0.0675535723943	0.105256872047	-0.0323730398389	-0.0261361125854	0.154166988226
uc1.$b60034	7.08691861139	7.10204192403	7.12308588385	5.22405759538	5.22200787271	5.29413962088	3.95323558442	4.0236782598	4.13279884163	3.30690338565	3.44232710896	3.60158037495	7.12891207336	7.08631459787	7.0604858023	5.38534763706	5.35204985023	5.31500346396	4.30329500473	4.29513567646	4.25022546085	3.8182941335	3.85425183725	3.80972496928	-0.0419934619688	0.0157273261678	0.0626000815532	-0.16129004168	-0.130041977513	-0.02086384308	-0.350059420313	-0.271457416657	-0.117426619224	-0.51139074785	-0.411924728293	-0.20814459433
mdp.39015030768330	4.9204212212	5.1110333044	5.27599562946	3.58845648087	3.80182049381	4.05010976927	2.98349018	3.14845913914	3.42557271438	2.72102449454	2.89597224293	3.17586667948	4.70621972359	4.60581562184	nan	3.32744466411	3.27760944744	nan	2.77037931417	2.67389085406	nan	2.52354571049	2.38251151752	nan	0.214201497616	0.50521768256	nan	0.261011816759	0.524211046365	nan	0.213110865829	0.474568285087	nan	0.197478784044	0.51346072541	nan
nyp.33433076024383	5.78480230069	5.94211730149	nan	4.14833347817	4.38018577085	nan	3.36893734934	3.66017363861	nan	3.04765262802	3.33835200156	nan	5.6923440949	5.6037552192	5.63765295878	3.94782166341	3.92300020736	4.01116661748	3.15673034983	3.23412848257	3.30998751747	2.85752878234	2.95858721874	3.02594684533	0.0924582057881	0.338362082296	nan	0.200511814754	0.457185563495	nan	0.212206999516	0.426045156046	nan	0.19012384568	0.379764782819	nan
mdp.39015007034328	5.0224113003	5.12698509774	5.30231635641	3.63539071393	3.788418054	4.02507280675	3.09018039574	3.2461592102	3.50028701616	2.87744673874	3.02375335253	3.28219903218	4.85040107283	4.8857018051	4.93602148597	3.45736972923	3.49250598652	3.53357203225	2.86403050546	2.91851702009	2.93879175962	2.6617410658	2.71950672211	2.72859887586	0.172010227466	0.241283292642	0.366294870438	0.1780209847	0.295912067478	0.491500774501	0.226149890278	0.327642190118	0.561495256538	0.215705672943	0.30424663042	0.553600156326
hvd.hxcqwp	5.56611768404	nan	nan	3.9574882908	nan	nan	3.16733308392	nan	nan	2.79922964527	nan	nan	5.38016838825	5.52531505854	5.70114577684	3.77766477697	3.94714112306	4.15485033899	3.14206845962	3.25293799606	3.43894954921	2.8370879876	2.89489616049	3.08993479593	0.185949295797	nan	nan	0.179823513828	nan	nan	0.0252646243001	nan	nan	-0.0378583423389	nan	nan
uiuo.ark+=13960=t21c2bw4x	4.92683993283	5.02088243985	5.27739913453	3.48293496992	3.60705611882	3.88334515699	3.02565012883	3.11458128679	3.34102422986	2.83408937089	2.93685034772	3.14356962603	4.88890732233	5.09037362942	5.27389840075	3.4187787762	3.65304951696	3.88036405971	2.96057892575	3.14255440904	3.34839288836	2.79404618584	2.95705417259	3.1628609242	0.0379326105055	-0.0694911895695	0.00350073377605	0.0641561937151	-0.0459933981397	0.00298109727618	0.0650712030795	-0.0279731222446	-0.00736865850107	0.0400431850453	-0.02020382487	-0.0192912981674
uc1.b114652	5.36523976938	5.36639127027	5.39677620749	4.04165403439	4.0649850841	4.09061503992	3.4695247721	3.50592026836	3.52751434686	3.24257293231	3.27941942631	3.30221537614	5.27085497147	5.36166396917	5.45720931167	3.99326419636	4.05933246951	4.19951801757	3.38939272284	3.47775758939	3.59906337878	3.11424942215	3.23529646853	3.33763024899	0.094384797908	0.00472730110242	-0.0604331041744	0.0483898380226	0.00565261458922	-0.108902977647	0.080132049254	0.028162678977	-0.0715490319194	0.128323510157	0.0441229577849	-0.0354148728557
uc2.ark+=13960=t3bz61h8n	6.01435788017	6.13155494951	6.18995492427	4.87218775388	5.00733423407	5.04683235802	4.268323818	4.41933938735	4.47550646222	3.96441556996	4.14508193639	4.20494698657	5.95629912431	5.95777102704	6.02480237108	4.73465058736	4.75027776809	4.80169753973	4.15204186916	4.18040638148	4.19825814321	3.917127056	3.95852408205	3.95476645054	0.0580587558646	0.173783922476	0.165152553185	0.137537166525	0.257056465983	0.245134818286	0.116281948834	0.238933005867	0.277248319004	0.0472885139651	0.186557854339	0.250180536028
nyp.33433076023666	5.34012347724	5.49155093035	5.77955450579	3.91954805313	4.08211957387	4.41162830297	3.22599010352	3.42355088125	3.7653550826	2.93521969695	3.13619460396	3.48561610566	5.38493480673	5.414838513	5.53087389554	3.9688226521	3.97821780249	4.09304589876	3.22613588859	3.27554821708	3.40706913457	2.94941559966	3.0195608973	3.14802283068	-0.0448113294871	0.0767124173519	0.248680610245	-0.0492745989774	0.103901771382	0.318582404212	-0.000145785067745	0.148002664176	0.358285948035	-0.0141959027098	0.11663370666	0.33759327498
mdp.39015030197704	6.82295005262	6.79710583032	6.83405200577	5.19652698034	5.25962958697	5.3409465166	3.9232948273	4.17256593667	4.23729373248	3.18890946273	3.5677606025	3.65566803256	6.78664679519	6.83122832912	6.9358549239	5.11826322401	5.21632901243	5.36514310022	3.95029433862	4.11208772612	4.35457343324	3.40004042104	3.56341507257	3.874115508	0.0363032574341	-0.0341224987941	-0.101802918127	0.0782637563313	0.043300574549	-0.0241965836204	-0.0269995113185	0.060478210553	-0.117279700753	-0.211130958307	0.00434552992645	-0.218447475434
mdp.39015008463153	8.31300153831	8.37934024483	8.43275595664	6.41767066157	6.5490012836	6.64211012807	3.98550438548	4.29547017388	4.44920591126	3.34731038954	3.71536439373	3.89150061771	8.26827812187	8.22770031383	8.21440738365	6.3783390243	6.13985282821	6.00930125666	4.16833583121	3.98670415164	3.95438862268	3.59516441029	3.3973318927	3.41416632565	0.0447234164416	0.151639930994	0.218348572989	0.0393316372685	0.409148455389	0.632808871407	-0.182831445731	0.308766022244	0.494817288581	-0.247854020744	0.318032501037	0.47733429206
mdp.39015040714035	4.74061101271	4.96907442898	5.22051467392	3.19228776185	3.35919318044	3.60701577452	2.60202120661	2.79943929467	2.98710331738	2.41290482841	2.59115937505	2.74731137082	4.56515425509	nan	nan	3.14513225425	nan	nan	2.64761851068	nan	nan	2.46164339212	nan	nan	0.175456757616	nan	nan	0.0471555076003	nan	nan	-0.045597304075	nan	nan	-0.0487385637103	nan	nan
loc.ark+=13960=t3417dh11	7.00075477353	7.08389695694	7.27741329712	5.08026342245	5.15745333452	5.44925311468	4.10348483074	4.09496509689	4.34764129155	3.7592795745	3.74031687867	3.92807592507	6.90200081389	6.72321180381	6.63980127183	4.80277927962	4.62375912685	4.57720750385	3.83720901462	3.70317496177	3.67935807992	3.5184399053	3.36963528485	3.35887534503	0.0987539596371	0.36068515313	0.637612025284	0.277484142834	0.533694207671	0.872045610832	0.26627581612	0.391790135118	0.668283211622	0.240839669203	0.370681593814	0.56920058004
uc2.ark+=13960=t9t14vb9r	5.01286619379	5.10988486152	5.21244512582	3.85679238094	3.99520759152	4.11433489214	3.39343742278	3.54319419291	3.65437848794	3.21263039755	3.36284948401	3.46278446485	4.99460791994	5.11418286671	5.20752359529	3.89904499917	4.03648446212	4.15089712405	3.47713424031	3.5784869856	3.67890835447	3.32731651386	3.39535274442	3.48179700917	0.0182582738561	-0.00429800518963	0.0049215305286	-0.0422526182282	-0.041276870596	-0.0365622319175	-0.0836968175284	-0.0352927926906	-0.0245298665269	-0.114686116316	-0.0325032604091	-0.0190125443202
