docid	novelty_1.0_10	novelty_1.0_25	novelty_1.0_40	novelty_0.2_10	novelty_0.2_25	novelty_0.2_40	novelty_0.05_10	novelty_0.05_25	novelty_0.05_40	novelty_0.025_10	novelty_0.025_25	novelty_0.025_40	transience_1.0_10	transience_1.0_25	transience_1.0_40	transience_0.2_10	transience_0.2_25	transience_0.2_40	transience_0.05_10	transience_0.05_25	transience_0.05_40	transience_0.025_10	transience_0.025_25	transience_0.025_40	resonance_1.0_10	resonance_1.0_25	resonance_1.0_40	resonance_0.2_10	resonance_0.2_25	resonance_0.2_40	resonance_0.05_10	resonance_0.05_25	resonance_0.05_40	resonance_0.025_10	resonance_0.025_25	resonance_0.025_40
loc.ark+=13960=t1ng4rz7b	7.58045649212	7.80808109335	7.97215266154	4.36286171768	4.6812557324	4.99186592463	3.24306274516	3.35433714883	3.58117674345	2.95267071663	3.0484608883	3.23076568135	7.64960834416	7.75896162966	7.78459517581	4.76049535758	4.94919677314	4.97504674653	3.48728839544	3.54531139084	3.54961931797	3.11159448484	3.0745026474	3.09345312468	-0.0691518520375	0.0491194636899	0.18755748573	-0.397633639901	-0.267941040734	0.0168191781023	-0.24422565028	-0.190974242008	0.0315574254818	-0.158923768215	-0.0260417591001	0.13731255667
mdp.39015030751237	4.90951442846	5.05370051338	5.22121197812	3.47155031964	3.62466752456	3.83131310252	2.91338644741	3.09346279351	3.29378001128	2.7273036522	2.90735926007	3.09878117373	4.99017736897	4.97931306744	nan	3.52919046793	3.53354334626	nan	2.96647651607	2.93845095487	nan	2.76066962459	2.6983437296	nan	-0.080662940514	0.0743874459327	nan	-0.0576401482945	0.0911241783056	nan	-0.0530900686625	0.155011838638	nan	-0.0333659723903	0.209015530472	nan
uc1.b3739816	5.05245991154	5.16606692773	5.25896334332	3.51019952605	3.61836555235	3.70793032785	2.77805153228	2.87875383874	2.96452797081	2.44915970956	2.55722330784	2.65660334786	5.0188277537	5.0480807677	nan	3.51456555735	3.57549071178	nan	2.87336402007	2.92426538596	nan	2.623674502	2.66637046841	nan	0.0336321578386	0.117986160025	nan	-0.00436603130135	0.0428748405742	nan	-0.0953124877874	-0.045511547217	nan	-0.174514792439	-0.10914716057	nan
mdp.39015064116679	5.294426054	5.32689254003	5.38589918583	3.86034200923	3.82992121416	3.87328444688	3.224712145	3.1740996382	3.20221419171	2.94964308593	2.90304120671	2.94256812734	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
uc1.b3578459	7.66127794075	7.68771237228	nan	5.71322799004	5.81180222973	nan	4.33401800862	4.50900296925	nan	3.8618409126	4.12970619002	nan	7.72045565893	7.8864254593	7.99159193058	5.68025789546	5.89938962846	6.07441276524	4.2802665912	4.53123756084	4.68945343375	3.83539135496	4.08690343318	4.24120064124	-0.0591777181749	-0.198713087019	nan	0.0329700945788	-0.0875873987352	nan	0.0537514174224	-0.0222345915908	nan	0.0264495576391	0.0428027568325	nan
uiuo.ark+=13960=t03x8zk9m	4.63596554606	4.80810262656	4.97385189492	3.34113678443	3.5404459872	3.75574012046	2.86135192359	3.02682264149	3.23712306453	2.69783116622	2.8279897203	3.03079938496	4.54197172166	4.57327378707	4.70306102092	3.27676179238	3.32624259608	3.48433614589	2.81174260865	2.83739177692	2.99231573959	2.65492659715	2.66645366023	2.8061309842	0.0939938244076	0.234828839495	0.270790874007	0.0643749920547	0.214203391118	0.271403974578	0.0496093149368	0.189430864564	0.244807324935	0.0429045690627	0.161536060065	0.224668400764
uc2.ark+=13960=t93778f88	5.06213600879	5.42318301496	5.62763563207	2.91163043499	3.25950379758	3.55110821402	2.08146846941	2.3096691107	2.61131374451	1.77943155018	1.97556005459	2.25878022963	5.57950214823	5.79406087901	5.94764103611	3.37667319345	3.70981592338	3.91254653844	2.40242251768	2.72104587028	2.9576248534	2.10199648707	2.37102236504	2.6052017687	-0.517366139444	-0.370877864051	-0.320005404041	-0.465042758464	-0.450312125804	-0.361438324429	-0.32095404827	-0.411376759584	-0.346311108894	-0.322564936889	-0.395462310454	-0.346421539073
nyp.33433075872931	5.52648370452	5.56613347103	5.55909379256	4.18414140843	4.2146849938	4.20585778758	3.64408541926	3.65518611862	3.6352990809	3.42900475323	3.44024877064	3.41862912311	5.58639233237	5.73499089179	5.8491413644	4.25320321716	4.37607995704	4.48997697801	3.68194501083	3.78742527106	3.88905672058	3.45913183854	3.53974966789	3.63717974297	-0.0599086278532	-0.168857420759	-0.290047571841	-0.0690618087375	-0.161394963239	-0.284119190434	-0.0378595915661	-0.132239152434	-0.25375763968	-0.0301270853157	-0.0995008972506	-0.218550619861
pst.000007408403	5.32617708267	5.49529130788	5.62852024216	4.17425696332	4.36391185332	4.53805304034	3.64115871688	3.84905282509	4.03635441404	3.42262951069	3.63676673101	3.82682929541	5.18073360536	5.1634725073	nan	4.0415507159	4.05427964863	nan	3.57304774729	3.56109924664	nan	3.37086489352	3.32793047125	nan	0.14544347731	0.331818800578	nan	0.132706247417	0.309632204693	nan	0.0681109695857	0.287953578444	nan	0.0517646171651	0.308836259756	nan
uc1.b3810659	5.86624920785	5.98092471808	6.09343009534	4.10525957072	4.28963864558	4.5013935828	3.26154660913	3.44516775535	3.69771244715	3.02441199298	3.17326643164	3.42910287648	5.8078492162	5.86588499781	5.96077794206	4.05177928545	4.09859922153	4.226718507	3.19307096092	3.26534644559	3.40791745198	2.914619636	2.97783384974	3.10988517727	0.0583999916473	0.115039720266	0.13265215328	0.053480285267	0.191039424042	0.274675075806	0.0684756482067	0.179821309762	0.289794995176	0.109792356982	0.195432581896	0.319217699212
