docid	novelty_1.0_10	novelty_1.0_25	novelty_1.0_40	novelty_0.2_10	novelty_0.2_25	novelty_0.2_40	novelty_0.05_10	novelty_0.05_25	novelty_0.05_40	novelty_0.025_10	novelty_0.025_25	novelty_0.025_40	transience_1.0_10	transience_1.0_25	transience_1.0_40	transience_0.2_10	transience_0.2_25	transience_0.2_40	transience_0.05_10	transience_0.05_25	transience_0.05_40	transience_0.025_10	transience_0.025_25	transience_0.025_40	resonance_1.0_10	resonance_1.0_25	resonance_1.0_40	resonance_0.2_10	resonance_0.2_25	resonance_0.2_40	resonance_0.05_10	resonance_0.05_25	resonance_0.05_40	resonance_0.025_10	resonance_0.025_25	resonance_0.025_40
mdp.39015032458799	4.57339908334	4.63379995284	4.71610821061	3.13943655852	3.17867904602	3.24070661954	2.50905838458	2.58048578346	2.63428655522	2.23284540927	2.33668586467	2.40383314275	4.5314185506	nan	nan	3.14436851385	nan	nan	2.56436758055	nan	nan	2.33321032559	nan	nan	0.0419805327355	nan	nan	-0.00493195532849	nan	nan	-0.0553091959681	nan	nan	-0.100364916318	nan	nan
uc2.ark+=13960=t7qn6183h	6.25903370371	6.35315410977	6.41781703222	4.39604723233	4.56587805491	4.68678613309	3.393966213	3.48651281866	3.64425379605	3.10346640184	3.15244879128	3.32633963317	6.36663937385	6.45001659858	6.55750994909	4.53229302321	4.71339481914	4.85290308115	3.53694601824	3.6821683533	3.7912565928	3.22594053	3.35358201169	3.45879334855	-0.10760567014	-0.0968624888072	-0.139692916863	-0.136245790885	-0.147516764231	-0.166116948055	-0.142979805243	-0.195655534638	-0.147002796748	-0.122474128162	-0.201133220414	-0.132453715381
uc1.$b100803	5.39569426845	5.4541122253	5.53382771478	4.1880501678	4.30199677088	4.37183581744	3.51146281894	3.6711968569	3.76945314158	3.22860332599	3.40322820982	3.52602880632	5.27910664604	5.36073438371	5.41604961858	4.06872224231	4.17001949985	4.23520275926	3.36309665228	3.49690268649	3.57598359818	3.05781114348	3.1931737362	3.27977330915	0.116587622409	0.0933778415976	0.117778096191	0.119327925489	0.131977271032	0.136633058175	0.148366166663	0.174294170408	0.193469543406	0.17079218251	0.210054473618	0.246255497177
uc2.ark+=13960=t7dr2qm6f	5.78851516433	5.76780754902	5.81176385409	4.2455319328	4.21702167252	4.26765215399	3.64345865546	3.55793093209	3.61083902996	3.41310638551	3.32295675091	3.37206619978	5.88305349239	5.9283228525	5.97204267562	4.25167886191	4.29600543976	4.31987511388	3.51025123312	3.56387906983	3.5609746014	3.21374694595	3.28635223503	3.26929443594	-0.0945383280579	-0.160515303474	-0.160278821529	-0.0061469291032	-0.0789837672404	-0.0522229598927	0.133207422341	-0.00594813773259	0.0498644285548	0.199359439557	0.0366045158829	0.102771763841
mdp.39015056896676	5.64758332919	5.67580666047	5.74772208927	4.12794904853	4.11809224759	4.15622179641	3.42552317015	3.38163635426	3.43429397093	3.09721244599	3.07210773993	3.13656150119	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mdp.39015030845575	5.86611133439	6.00703100437	6.11638983659	4.08282814781	4.30188158235	4.49879174707	3.1938173229	3.42565298602	3.60815269576	2.9179692805	3.14678873886	3.31333940087	5.82787413171	5.74477515219	nan	3.98485741572	3.8537963314	nan	3.2033068302	3.1169605517	nan	2.92342594066	2.86071854449	nan	0.0382372026756	0.262255852178	nan	0.0979707320892	0.448085250946	nan	-0.00948950729999	0.308692434315	nan	-0.00545666016208	0.286070194376	nan
uc1.b4005609	5.03569871359	5.10392602059	5.1391934364	3.79706096021	3.91518596989	3.96727023835	3.26429561797	3.41887344069	3.48129746372	3.04573448154	3.21409940305	3.28176859703	4.96350868567	4.9857134106	5.00787867879	3.63587293463	3.67589811491	3.6905360815	2.95724023548	3.04344997867	3.03572093533	2.6652400509	2.79094149112	2.77038189961	0.0721900279183	0.118212609998	0.131314757617	0.161188025579	0.239287854972	0.276734156845	0.307055382491	0.375423462022	0.445576528384	0.380494430639	0.423157911934	0.511386697424
uc2.ark+=13960=t9c53g23p	5.29759148555	5.30563117048	5.41223287827	4.19936558054	4.20153177142	4.32652149926	3.63380504232	3.67901116621	3.81784756671	3.43511309207	3.4804754155	3.61067578956	5.19876003585	5.15974385959	5.19241723747	4.10005601346	3.99229535784	4.00078975999	3.55415699247	3.38182725621	3.39192649493	3.30114706843	3.10795800877	3.13137594679	0.0988314497007	0.145887310895	0.219815640806	0.0993095670834	0.209236413582	0.325731739269	0.0796480498523	0.297183910005	0.425921071775	0.133966023639	0.372517406732	0.479299842764
mdp.39015059376627	5.25013623069	5.29698570982	nan	3.9155608948	4.06897713397	nan	3.30378030114	3.55414351895	nan	3.06928695224	3.38379507159	nan	5.17350444449	5.29436353215	5.37373114721	3.7265947738	3.8459966508	3.95290464093	3.14894121706	3.25930053439	3.35813452058	2.85470286689	2.98712207977	3.09992450982	0.0766317862049	0.00262217767466	nan	0.188966121004	0.222980483172	nan	0.154839084078	0.294842984559	nan	0.214584085352	0.396672991821	nan
mdp.39015063919370	6.40454055258	6.39937145176	6.3845957991	5.16120358117	5.1210924971	5.10010976154	4.63601594913	4.57827397941	4.53418613669	4.39300806791	4.32085274788	4.26653207543	6.34678224125	6.3154074444	6.32244199155	5.1476696842	5.05704297001	5.03956620915	4.58532958201	4.47357442317	4.41388246244	4.35833598025	4.2378025085	4.15540532842	0.0577583113306	0.0839640073675	0.0621538075521	0.0135338969645	0.0640495270809	0.0605435523907	0.0506863671149	0.104699556248	0.12030367425	0.0346720876623	0.0830502393789	0.111126747017
uc1.$b273321	5.69787504779	5.68610399215	5.69777246639	4.03250542573	4.01408091623	4.0192657546	3.28990559326	3.25308063414	3.27594754236	3.01194071035	2.98210388427	3.00037904557	5.85824726146	5.87276232481	5.93238573604	4.2385622965	4.26437673423	4.35800701866	3.44070971613	3.41706889939	3.50131667072	3.13415890425	3.04409235555	3.14718047268	-0.160372213665	-0.186658332663	-0.234613269651	-0.206056870776	-0.250295817996	-0.338741264053	-0.150804122876	-0.163988265251	-0.22536912836	-0.122218193896	-0.0619884712802	-0.146801427113
uc2.ark+=13960=t7br8pf4g	5.67187206238	5.81940184366	5.92220720934	4.2963682836	4.51079611783	4.61019945393	3.66615096376	3.87216346565	3.97468861677	3.43184116715	3.6248808868	3.71696662869	5.65479384843	5.6362185563	5.61237299786	4.40720424642	4.36236070862	4.29696349626	3.79454078946	3.71666850316	3.61448571557	3.52461554374	3.44650187495	3.33404160235	0.0170782139572	0.183183287364	0.309834211476	-0.110835962816	0.148435409208	0.313235957664	-0.128389825704	0.155494962482	0.360202901203	-0.0927743765853	0.178379011845	0.382925026335
uc1.b4432430	5.11241665441	5.22896039549	5.3497429989	3.6254507044	3.74192043558	3.91360207808	2.93851577497	3.04889639885	3.23172790511	2.66884916087	2.77421850926	2.96393977782	5.07464903872	5.09587893337	nan	3.65524598737	3.72986803371	nan	3.07030362298	3.18071907624	nan	2.81278379267	2.94612001923	nan	0.0377676156918	0.133081462123	nan	-0.0297952829635	0.0120524018676	nan	-0.131787848004	-0.131822677388	nan	-0.143934631806	-0.171901509966	nan
