docid	novelty_1.0_10	novelty_1.0_25	novelty_1.0_40	novelty_0.2_10	novelty_0.2_25	novelty_0.2_40	novelty_0.05_10	novelty_0.05_25	novelty_0.05_40	novelty_0.025_10	novelty_0.025_25	novelty_0.025_40	transience_1.0_10	transience_1.0_25	transience_1.0_40	transience_0.2_10	transience_0.2_25	transience_0.2_40	transience_0.05_10	transience_0.05_25	transience_0.05_40	transience_0.025_10	transience_0.025_25	transience_0.025_40	resonance_1.0_10	resonance_1.0_25	resonance_1.0_40	resonance_0.2_10	resonance_0.2_25	resonance_0.2_40	resonance_0.05_10	resonance_0.05_25	resonance_0.05_40	resonance_0.025_10	resonance_0.025_25	resonance_0.025_40
nyp.33433075884696	5.30876834356	nan	nan	3.36274320196	nan	nan	2.64533234488	nan	nan	2.50582250949	nan	nan	5.31656555318	5.29956199043	5.39981277483	3.40806700843	3.37487601061	3.51880170799	2.66165263174	2.68695804314	2.82117992267	2.38981033645	2.43790656137	2.5605001133	-0.00779720961686	nan	nan	-0.0453238064624	nan	nan	-0.016320286856	nan	nan	0.116012173042	nan	nan
uc1.32106016666932	6.38698228151	6.38545404203	6.45705233529	4.2798032884	4.32579072023	4.38029251479	3.41586844468	3.50936253701	3.58132117284	3.04017622267	3.17508270964	3.26557224992	6.49425660393	nan	nan	4.23431447852	nan	nan	3.29742538598	nan	nan	2.96116000548	nan	nan	-0.107274322417	nan	nan	0.0454888098739	nan	nan	0.118443058701	nan	nan	0.0790162171903	nan	nan
mdp.39015055883832	6.22448370818	6.21481091822	6.11568973601	4.82209624449	4.80399182386	4.7020017572	4.16336591255	4.15382145332	4.04295569354	3.88996302476	3.89965320794	3.77766200505	6.36736764386	6.45733238488	6.53462560987	5.05750400989	5.14598432447	5.22731628363	4.39417430901	4.47374609444	4.56177622101	4.10563111931	4.21107026474	4.27512308906	-0.14288393568	-0.242521466664	-0.418935873864	-0.235407765401	-0.341992500614	-0.525314526428	-0.23080839646	-0.319924641123	-0.518820527474	-0.215668094542	-0.311417056801	-0.49746108401
uc2.ark+=13960=t3cz35d08	4.60800661502	4.60212079608	4.66355435671	3.41535649702	3.39647648796	3.48329010243	3.00879135146	2.97294041233	3.05711514446	2.86811009613	2.81810060215	2.89404703636	4.92889000295	4.98425708007	5.06393566153	3.6920114739	3.79030896168	3.86050180454	3.21156432986	3.30898303186	3.34534853102	3.00149706403	3.11108458786	3.12022032422	-0.320883387927	-0.382136283984	-0.400381304814	-0.276654976882	-0.393832473721	-0.37721170211	-0.202772978399	-0.336042619534	-0.288233386557	-0.133386967895	-0.292983985708	-0.226173287863
wu.89099785750	6.08208490634	6.0020227466	5.99526537643	5.02165873132	4.91357433228	4.91238846749	4.45112128165	4.27943261853	4.26110000288	4.21642278537	3.98954683373	3.9585105572	6.15218144595	6.24737089957	6.32146581069	5.08878803862	5.08262314827	5.12568606529	4.50346184421	4.4400638927	4.44968279427	4.18759753588	4.12348024797	4.14403686205	-0.070096539613	-0.245348152969	-0.326200434264	-0.0671293073009	-0.169048815986	-0.213297597795	-0.0523405625562	-0.160631274171	-0.188582791386	0.0288252494888	-0.133933414247	-0.185526304852
mdp.39015060459206	5.30034324506	5.32384187074	5.37439366637	4.1095214025	4.16558707805	4.22953151624	3.51408899194	3.59895053103	3.68476281939	3.29279391012	3.36722778877	3.45409310279	5.37128279998	5.43185101132	5.47301346236	4.13291557605	4.18802532497	4.23503328059	3.40942494221	3.51844645864	3.54954647561	3.03810952207	3.22035942105	3.23075689944	-0.0709395549221	-0.108009140574	-0.0986197959874	-0.0233941735523	-0.0224382469192	-0.00550176434684	0.104664049729	0.0805040723889	0.135216343783	0.254684388054	0.146868367722	0.223336203355
njp.32101063604811	5.30063973756	5.4999044725	5.6694368692	3.83010247715	4.05282051161	4.33252161388	3.29709127255	3.4428005556	3.71866862127	3.11405670368	3.24876554913	3.50839942668	5.18233111753	5.22011681093	5.27230565223	3.78011314598	3.81865152476	3.88259609212	3.2111794949	3.25439630706	3.31772146486	2.97212140563	3.04692261304	3.11490055842	0.118308620024	0.279787661565	0.39713121697	0.0499893311665	0.234168986848	0.449925521761	0.0859117776544	0.188404248539	0.400947156412	0.14193529805	0.201842936089	0.39349886826
nyp.33433082175963	4.79888860493	nan	nan	3.59642255595	nan	nan	3.17066010537	nan	nan	2.99121529541	nan	nan	4.97343664029	5.06812749382	5.2704008379	3.53115129239	3.54743550333	3.71219504055	2.97857980579	2.88929311863	3.02181644555	2.81927301284	2.64386747438	2.76362009261	-0.174548035356	nan	nan	0.0652712635625	nan	nan	0.192080299572	nan	nan	0.171942282567	nan	nan
mdp.39015001451049	5.14720681677	5.43953328946	5.61090154218	3.5293093201	3.91527327338	4.17332928706	2.83373965915	3.18241897845	3.46624332722	2.55740354838	2.88516329515	3.18204655839	4.94248940123	4.89520884661	nan	3.35499940271	3.34961138588	nan	2.68624103619	2.69807110502	nan	2.43370803176	2.44549151797	nan	0.204717415539	0.54432444285	nan	0.174309917394	0.565661887492	nan	0.14749862296	0.484347873426	nan	0.123695516617	0.439671777173	nan
uc1.b3727210	8.17677464744	8.15186487523	8.10838503348	5.4173906879	5.40819396459	5.33980533312	3.72898660249	3.76418809297	3.75059687594	3.23845198505	3.32347811965	3.29965804269	8.29958871198	8.47446791629	8.48038105101	5.56986920287	5.96887163522	6.04113022351	3.92737280238	4.30196673139	4.3701817798	3.39594870685	3.73204517685	3.81581374838	-0.122814064537	-0.322603041053	-0.371996017523	-0.15247851497	-0.560677670636	-0.701324890391	-0.198386199889	-0.537778638424	-0.619584903863	-0.157496721797	-0.408567057202	-0.516155705687
