docid	novelty_1.0_10	novelty_1.0_25	novelty_1.0_40	novelty_0.2_10	novelty_0.2_25	novelty_0.2_40	novelty_0.05_10	novelty_0.05_25	novelty_0.05_40	novelty_0.025_10	novelty_0.025_25	novelty_0.025_40	transience_1.0_10	transience_1.0_25	transience_1.0_40	transience_0.2_10	transience_0.2_25	transience_0.2_40	transience_0.05_10	transience_0.05_25	transience_0.05_40	transience_0.025_10	transience_0.025_25	transience_0.025_40	resonance_1.0_10	resonance_1.0_25	resonance_1.0_40	resonance_0.2_10	resonance_0.2_25	resonance_0.2_40	resonance_0.05_10	resonance_0.05_25	resonance_0.05_40	resonance_0.025_10	resonance_0.025_25	resonance_0.025_40
uc1.$b312377	5.36851788421	5.62311358996	5.79807348906	3.62240607289	3.96452451066	4.18560623704	2.92438366806	3.22134776892	3.46159239034	2.66119041088	2.94140591027	3.1908701215	5.17471901728	5.2413658575	5.28872503797	3.30954406331	3.43586191203	3.50540174604	2.58441748964	2.6966418122	2.77836568922	2.37242116987	2.46527682161	2.54650981024	0.193798866927	0.381747732463	0.509348451095	0.312862009581	0.528662598631	0.680204491004	0.33996617842	0.524705956715	0.683226701126	0.288769241009	0.476129088661	0.644360311261
inu.30000027577992	4.96929138318	5.0904820906	5.16972740948	3.37703806093	3.5110700553	3.61011434384	2.66164876509	2.81437479121	2.92589623771	2.38609827255	2.56049572098	2.67418314149	4.98024042275	nan	nan	3.38642695806	nan	nan	2.66462143388	nan	nan	2.38877468171	nan	nan	-0.0109490395692	nan	nan	-0.00938889713069	nan	nan	-0.00297266879394	nan	nan	-0.00267640915811	nan	nan
nyp.33433074863824	5.25610603304	5.37358790493	5.54671595139	3.61365003792	3.74965165943	3.96855278257	3.05277865014	3.20558928188	3.41561005024	2.84248806186	3.00308487828	3.21573999883	5.11120335884	5.13748037061	5.27876224542	3.44078623735	3.48999739686	3.65765183598	2.92279488641	2.97473276908	3.11619573971	2.75282878736	2.78843712266	2.91487756921	0.144902674194	0.236107534318	0.267953705974	0.17286380057	0.259654262569	0.310900946594	0.129983763733	0.230856512797	0.29941431053	0.0896592745068	0.214647755623	0.300862429619
nyp.33433074936026	5.84770857202	5.84741076813	nan	4.03754352463	4.0919597131	nan	3.19868457496	3.31731005664	nan	2.90275134987	2.99528299016	nan	5.97479224841	6.18286733194	6.3224070725	4.25454695009	4.54644638365	4.74315697516	3.37298225565	3.68045930124	3.89524968802	2.99388766243	3.31347576905	3.54074924278	-0.127083676395	-0.335456563806	nan	-0.21700342545	-0.454486670553	nan	-0.174297680687	-0.363149244598	nan	-0.09113631256	-0.318192778888	nan
uc2.ark+=13960=t8v98336c	9.02212765978	9.15302140048	9.25593028633	5.45259555976	5.74213645482	5.95034615353	3.79681323588	3.98985901942	4.21948832533	3.33664559731	3.54499265921	3.76824770408	8.91790767015	9.04206466472	9.16536719941	5.24509359437	5.54973416756	5.75955134784	3.77014394039	4.00999269045	4.20178029123	3.30991279073	3.51201973055	3.71255401406	0.104219989626	0.110956735755	0.0905630869188	0.207501965389	0.19240228726	0.19079480569	0.0266692954957	-0.0201336710268	0.0177080341005	0.0267328065829	0.0329729286548	0.0556936900214
njp.32101064907049	5.00508629591	4.47216785645	nan	2.9524800624	2.66470746581	nan	2.4342226048	2.24666087311	nan	2.20498226948	2.09650321096	nan	5.62612557824	6.03965960959	6.44252294889	3.27769191467	3.65273354041	4.16860755967	2.70443867387	2.91496571236	3.33404956302	2.55174503324	2.71665350601	3.08862282635	-0.621039282334	-1.56749175314	nan	-0.325211852269	-0.988026074597	nan	-0.270216069067	-0.66830483925	nan	-0.346762763761	-0.620150295049	nan
ucm.5320307018	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.59020442977	6.85846235078	7.06573675373	5.34774265481	5.39749173015	5.48842870622	4.86943208277	4.66900717405	4.60789204328	4.66372617068	4.36461954539	4.19897341049	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nyp.33433075743603	10.7301693007	nan	nan	9.10005969538	nan	nan	5.94133151516	nan	nan	4.47770454254	nan	nan	10.1746263548	10.4218583566	10.6184176142	6.21481967794	7.12000009412	7.67011555477	3.23197418684	3.60011507153	4.04087710786	2.85514264225	3.14837300171	3.44777716358	0.555542945973	nan	nan	2.88524001744	nan	nan	2.70935732832	nan	nan	1.62256190029	nan	nan
mdp.39015047773745	4.9764566995	5.10870040359	5.21654825452	3.71870682999	3.84949586581	3.97162452094	3.137094309	3.2881065936	3.40509021166	2.90740813426	3.04736769304	3.16663762131	5.01225022567	4.97164204538	nan	3.67604211434	3.65222810049	nan	3.08707725577	3.0398328484	nan	2.87072475608	2.79755421827	nan	-0.0357935261628	0.13705835821	nan	0.0426647156433	0.197267765317	nan	0.0500170532344	0.248273745204	nan	0.0366833781823	0.249813474773	nan
uc2.ark+=13960=t9s17v778	4.9600286396	5.0596775657	5.20307760144	3.88126626249	3.93268001207	4.07461348901	3.38452148505	3.42065238538	3.56154675459	3.18557815015	3.23321622124	3.36146569941	4.97939962393	5.03693583344	5.11703327797	3.87839428692	3.94024580187	4.01297037391	3.33257112139	3.41695523236	3.49953147458	3.12440648561	3.19714908673	3.29046220824	-0.0193709843245	0.0227417322625	0.0860443234757	0.00287197556571	-0.00756578979519	0.0616431150959	0.0519503636675	0.00369715301934	0.0620152800007	0.0611716645374	0.0360671345185	0.0710034911761
uc1.b4020423	7.85380738343	7.79619414619	7.76734441197	6.31486532463	6.28448336678	6.27599866685	5.4106021146	5.3729037755	5.38138288956	4.97172357285	4.91074093852	4.90021479242	7.88751152621	8.00261652594	8.01919297018	6.31748157005	6.46551944926	6.49326900017	5.41718115934	5.58071232774	5.59247009875	5.01897774607	5.19509785419	5.14761818267	-0.0337041427714	-0.206422379752	-0.251848558205	-0.00261624542204	-0.181036082484	-0.217270333315	-0.00657904474684	-0.207808552245	-0.211087209188	-0.0472541732187	-0.284356915674	-0.247403390252
