docid	novelty_1.0_10	novelty_1.0_25	novelty_1.0_40	novelty_0.2_10	novelty_0.2_25	novelty_0.2_40	novelty_0.05_10	novelty_0.05_25	novelty_0.05_40	novelty_0.025_10	novelty_0.025_25	novelty_0.025_40	transience_1.0_10	transience_1.0_25	transience_1.0_40	transience_0.2_10	transience_0.2_25	transience_0.2_40	transience_0.05_10	transience_0.05_25	transience_0.05_40	transience_0.025_10	transience_0.025_25	transience_0.025_40	resonance_1.0_10	resonance_1.0_25	resonance_1.0_40	resonance_0.2_10	resonance_0.2_25	resonance_0.2_40	resonance_0.05_10	resonance_0.05_25	resonance_0.05_40	resonance_0.025_10	resonance_0.025_25	resonance_0.025_40
inu.30000067264675	5.89538018714	6.00348733507	6.14336404873	3.71936510319	3.9184996653	4.12261292346	2.97253331799	3.10367039298	3.28221325581	2.75760964451	2.86592860141	3.02654619533	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
uiuo.ark+=13960=t7tm7t13v	5.08500577385	5.19748418489	5.38245679974	3.198996775	3.38086550306	3.63432668149	2.65458720251	2.79651545554	3.021870562	2.48571615506	2.61625117656	2.83163604336	5.01107598288	5.2131359317	5.40532172655	3.07805716162	3.31957499902	3.59122565888	2.5388427323	2.68738260174	2.92232844752	2.38052838664	2.50615384034	2.69628121713	0.0739297909713	-0.015651746804	-0.0228649268062	0.120939613373	0.0612905040311	0.0431010226093	0.115744470209	0.109132853805	0.0995421144797	0.105187768416	0.110097336219	0.135354826238
dul1.ark+=13960=t9b57fb70	4.47489343495	nan	nan	2.83362341542	nan	nan	2.34876251897	nan	nan	2.20078256335	nan	nan	4.9870411915	5.56859730897	5.99574494323	3.17024700792	3.63952439827	3.95824936844	2.5891673439	2.96452215887	3.19555939036	2.36250381999	2.70344915257	2.89167370564	-0.512147756548	nan	nan	-0.336623592501	nan	nan	-0.240404824928	nan	nan	-0.161721256638	nan	nan
mdp.39015048888138	5.73339934682	5.67337786667	5.71122671785	4.21945151269	4.16469259993	4.21560173266	3.56008753536	3.52065896091	3.55160022403	3.33676421043	3.29897321474	3.30105801326	5.66573193209	nan	nan	4.22599191289	nan	nan	3.52917911341	nan	nan	3.25371989335	nan	nan	0.0676674147303	nan	nan	-0.00654040020074	nan	nan	0.0309084219465	nan	nan	0.0830443170772	nan	nan
mdp.39015002985755	6.206478016	6.13114738795	6.20262036633	4.72896250605	4.63163019309	4.70375556969	4.04523074746	3.96227882503	4.02584709388	3.77090749378	3.70213919856	3.76007531137	6.03640757003	5.98139170614	6.00113202928	4.40699445934	4.2839367606	4.27394655924	3.6454613997	3.51178016173	3.48755080307	3.33205541774	3.2058911074	3.19190119431	0.170070445966	0.149755681809	0.201488337046	0.321968046708	0.347693432488	0.429809010445	0.399769347756	0.450498663296	0.538296290817	0.43885207604	0.496248091162	0.568174117053
hvd.hwkd9i	4.03082300067	3.99913514406	nan	2.60018786808	2.63309837498	nan	2.2415577101	2.29061273094	nan	2.0962178589	2.15787962065	nan	4.29128061739	4.51895969217	4.79894098658	2.76202620146	2.88639788948	3.18951377593	2.25809551982	2.34433091432	2.59019211361	2.07163426009	2.1570670097	2.37503663937	-0.260457616719	-0.51982454811	nan	-0.161838333382	-0.253299514501	nan	-0.0165378097193	-0.0537181833824	nan	0.0245835988051	0.000812610951831	nan
njp.32101063882979	5.16886831638	5.13074079815	5.2175083288	3.37648117328	3.33169899193	3.45052338908	2.80192000968	2.7421874114	2.83397389229	2.62948592011	2.56564748174	2.64332642206	5.38906077418	5.41773111872	5.54261780188	3.64816026986	3.76135507631	3.88617146566	2.92215524746	3.08403224117	3.20127612737	2.67575504289	2.85196429111	2.96589233888	-0.220192457794	-0.286990320569	-0.325109473082	-0.271679096582	-0.429656084389	-0.435648076586	-0.120235237777	-0.34184482977	-0.367302235086	-0.0462691227842	-0.286316809374	-0.322565916813
uc2.ark+=13960=t8v980d27	5.64773160177	5.75027062605	5.87093468114	4.37671136512	4.47461316365	4.63155466286	3.74158008245	3.79893796258	3.99879108033	3.45236655204	3.50532074921	3.72595956931	5.73128915572	5.78917510416	5.80521040793	4.43117907567	4.51046068583	4.53480703074	3.85930046268	3.89859360924	3.93644886041	3.64495200107	3.6386944005	3.68391890428	-0.0835575539476	-0.0389044781101	0.0657242732094	-0.0544677105502	-0.0358475221811	0.0967476321165	-0.117720380228	-0.0996556466583	0.0623422199203	-0.192585449036	-0.133373651298	0.0420406650298
uc2.ark+=13960=t5j962c84	5.25489489181	5.43677415872	nan	3.37878141026	3.47209528697	nan	2.87805890788	2.91564569639	nan	2.71893643346	2.73617340984	nan	4.9781625684	5.00067297924	5.13677552797	2.93683442823	2.9308337941	3.13049895183	2.23918613513	2.22131075297	2.43347169206	1.95790836748	1.94269883066	2.16991166003	0.276732323404	0.436101179477	nan	0.441946982027	0.541261492876	nan	0.638872772755	0.694334943428	nan	0.761028065971	0.79347457918	nan
uiuo.ark+=13960=t0ks7cm7n	5.7417168319	5.95798157055	nan	3.82163624648	4.12969543163	nan	3.02118901496	3.4439038117	nan	2.68667091107	3.20443806943	nan	5.76475521537	6.00410455865	6.16995032158	3.85779821005	4.12281274696	4.37009719129	3.13385335069	3.32899036549	3.56841455616	2.84093515557	3.02439054786	3.2570366372	-0.0230383834676	-0.0461229881023	nan	-0.0361619635615	0.00688268466595	nan	-0.112664335729	0.114913446208	nan	-0.154264244503	0.180047521567	nan
