docid	novelty_1.0_10	novelty_1.0_25	novelty_1.0_40	novelty_0.2_10	novelty_0.2_25	novelty_0.2_40	novelty_0.05_10	novelty_0.05_25	novelty_0.05_40	novelty_0.025_10	novelty_0.025_25	novelty_0.025_40	transience_1.0_10	transience_1.0_25	transience_1.0_40	transience_0.2_10	transience_0.2_25	transience_0.2_40	transience_0.05_10	transience_0.05_25	transience_0.05_40	transience_0.025_10	transience_0.025_25	transience_0.025_40	resonance_1.0_10	resonance_1.0_25	resonance_1.0_40	resonance_0.2_10	resonance_0.2_25	resonance_0.2_40	resonance_0.05_10	resonance_0.05_25	resonance_0.05_40	resonance_0.025_10	resonance_0.025_25	resonance_0.025_40
uc1.$b302092	5.48386570922	5.54668397376	5.69018622104	3.98062116585	4.07775952081	4.32806098254	3.14540632474	3.31787911767	3.56866359265	2.84674912427	3.0431847196	3.28153832171	5.2042876504	5.27911813821	5.34039568309	3.53323780004	3.6376281232	3.72833905001	2.81544560144	2.9372678164	3.02434149744	2.55046894719	2.6707718297	2.75162275076	0.279578058818	0.26756583555	0.349790537948	0.447383365806	0.440131397604	0.599721932528	0.329960723291	0.380611301267	0.544322095213	0.29628017708	0.372412889898	0.529915570952
nyp.33433076058241	4.80507843935	4.89542589697	5.03099610015	3.22284031511	3.23106212805	3.43980837965	2.65829644387	2.60745651743	2.82296699148	2.41567289603	2.38472143117	2.60285909335	5.03801473676	5.21425715377	5.3265230042	3.47875799878	3.7283684934	3.87764299212	2.87714896517	3.12405859713	3.271971152	2.66532746385	2.86971229982	3.01574417009	-0.232936297404	-0.318831256804	-0.295526904052	-0.255917683663	-0.497306365348	-0.437834612462	-0.218852521303	-0.516602079708	-0.449004160523	-0.249654567814	-0.484990868651	-0.412885076742
mdp.39015063938388	5.26833518214	5.34352787173	5.51266246851	3.69046359263	3.83268805377	4.00885207095	3.20762350963	3.32467594686	3.48637089074	3.05473972306	3.14689196043	3.30148081407	5.32804728879	5.47221238236	5.61247487437	3.72030880085	3.9159411726	4.13301903335	3.22744925865	3.36666825968	3.56851661373	3.04413332229	3.16334957214	3.35595610085	-0.059712106652	-0.128684510624	-0.0998124058508	-0.0298452082147	-0.0832531188286	-0.124166962397	-0.0198257490218	-0.0419923128243	-0.0821457229973	0.0106064007694	-0.0164576117131	-0.0544752867847
uc2.ark+=13960=t3610w26c	5.39115665799	5.6195209881	5.79147282678	3.78464767656	4.04482249689	4.30158616995	3.10864239396	3.36279589474	3.67672349767	2.83373926424	3.09872607493	3.43501491795	5.51118169745	5.61552823086	5.66707424217	3.95959538141	4.08208417085	4.1430166564	3.27113312483	3.38923767397	3.47146299811	2.99536763771	3.12629668964	3.21451532406	-0.12002503946	0.00399275724557	0.124398584612	-0.174947704856	-0.0372616739545	0.158569513551	-0.162490730873	-0.026441779231	0.205260499554	-0.161628373468	-0.0275706147068	0.220499593891
uc1.32106006504143	7.69479594032	7.73128640306	7.89655103179	5.96824745516	6.04750181112	6.30603245216	4.11734426956	4.28531388533	4.65232907275	3.59053128848	3.69399771862	4.02607163487	7.73886398408	7.85804742842	7.94566051482	6.00756886169	6.19939940921	6.33911842999	4.31207844055	4.4747213986	4.63657052172	3.84013629322	3.97550704235	4.11332003599	-0.0440680437601	-0.12676102536	-0.0491094830244	-0.0393214065279	-0.151897598086	-0.0330859778301	-0.194734170987	-0.189407513273	0.0157585510282	-0.249605004743	-0.281509323734	-0.0872484011179
mdp.39015041834410	5.80810729786	5.79896212623	5.90941862004	4.27627987993	4.26335902272	4.39566516628	3.54584877924	3.50695421433	3.62661006889	3.19617754582	3.1608289744	3.30721999762	5.79176929498	5.82037467273	nan	4.22082264256	4.22950805775	nan	3.54780238458	3.54798343005	nan	3.2914467027	3.26471684913	nan	0.0163380028748	-0.0214125464977	nan	0.0554572373754	0.0338509649664	nan	-0.0019536053425	-0.0410292157197	nan	-0.0952691568711	-0.103887874734	nan
uc2.ark+=13960=t2m61f290	5.04574627571	5.02877711871	5.08567665203	3.72035615784	3.70068103285	3.78488585266	3.17723975796	3.17537877528	3.25232765591	2.96788437349	2.96938618281	3.05226561517	5.29790936299	5.38972574962	5.51063236086	3.9616933243	4.1063143094	4.22337210287	3.41082149335	3.56057253563	3.65287338175	3.20797468224	3.35090489399	3.42923414872	-0.252163087283	-0.360948630907	-0.424955708839	-0.241337166463	-0.405633276552	-0.438486250211	-0.233581735396	-0.385193760354	-0.400545725841	-0.240090308749	-0.381518711184	-0.376968533556
uiuo.ark+=13960=t8z89xh0r	5.41263779923	5.46093779588	5.57013371165	3.7794046184	3.92336652899	4.10894716553	3.06533533172	3.27689776266	3.50315076666	2.76443982621	3.01531040816	3.26903647336	5.26421915176	5.29087957542	5.35001364678	3.70991319778	3.73146059817	3.79967090394	3.09350282518	3.09889218576	3.17519263136	2.8612070289	2.84491745728	2.92174784263	0.148418647471	0.170058220466	0.220120064878	0.069491420624	0.191905930825	0.309276261583	-0.0281674934523	0.1780055769	0.327958135297	-0.0967672026897	0.17039295088	0.347288630733
mdp.39015067704059	4.54838343875	4.58773644929	4.67524620974	3.03420524107	3.03401700221	3.10820202914	2.4526144343	2.43006053319	2.50801056143	2.22668259769	2.19188688646	2.28451519054	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
hvd.hwadvh	7.3847247121	7.55276026394	nan	5.35631096849	5.67757101657	nan	4.23541976935	4.46454381357	nan	3.8666628984	4.16327138161	nan	7.47659600822	7.59665517848	7.74216930582	5.55252573215	5.63730611437	5.85252097427	4.26312156335	4.28315403944	4.50125559481	3.82481016688	3.80810698453	4.03699702348	-0.0918712961258	-0.0438949145363	nan	-0.196214763653	0.0402649022019	nan	-0.0277017939972	0.181389774138	nan	0.0418527315234	0.355164397083	nan
