docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	block	norton	nortonshort	heath
nyp.33433074792726	Kirkland, Caroline M. (Caroline Matilda)	Kirkland, Caroline M. (Caroline Matilda)	1801-1864.	1839	1839	s	1839	    	New York;C. S. Francis;Boston;J. H. Francis;1839.	1839		Mixed|Bibliographies|Fiction|NotFiction	Michigan|Social life and customs|Frontier and pioneer life	Michigan	PS2191g .N48	6887134.0	nyu	8658675	1	5	4			A new home--who'll follow? : | or, Glimpses of western life / | $c: By Mrs. Mary Clavers [pseud.]		True	A new home--who'll follow? : or, Glimpses of western life	ki	False	False	True
yale.39002014432901	Dana, Richard Henry	Dana, Richard Henry	1815-1882.	1841	1841	s	1841	    	London;E. Moxon;1841.	1841		UnknownGenre|NotFiction	Presentation inscription to S. P. Lucas|Lucas, Sarah Phoebe|Voyages and travels|Seafaring life|1800-1850|Sailors|Presentation inscription from R.H. Dana|Dana, Richard Henry|1815-1882			6537033.0	enk	9832016	1	10	1			Two years before the mast : | a personal narrative of life at sea.		True	Two years before the mast : a personal narrative of life at sea	da	True	False	False
uc2.ark+=13960=t3nv9ss49	Sedgwick, Catharine Maria	Sedgwick, Catharine Maria	1789-1867.	1842	1842	s	1842	    	New York;Harper & brothers;1842.	1842			Fiction|Massachusetts|History|Colonial period, ca. 1600-1775		PZ3.S4482H4	7910332.0	nyu	784363	1	1	1			Hope Leslie;		True	Hope Leslie;	se	False	False	True
wu.89008428005	Child, Lydia Maria	Child, Lydia Maria Francis	1802-1880.	1845	1845	t	1847	1845	New York;C.S. Francis & Co.;1847, c1845.	1847		Fiction	Social life and customs|Description and travel	New York (N.Y.)		34175492.0	nyu	9891101	1	1	1			Letters from New York : | second series / | $c: by L. Maria Child... .		True	Letters from New York : second series	ch	True	False	True
uva.x000469901	Cooper, James Fenimore	Cooper, James Fenimore	1789-1851.	1850	1850	m	1850	1851	New York;G. P. Putnam;1850-1851.	1850-1851	Author's rev. ed.|v.1. The Deerslayer -- v.2. The last of the Mohicans -- v.3. The Pathfinder -- v.4. The pioneers -- v.5. The prairie.	Bibliographies|Fiction|Historical fiction|NotFiction	Fiction|1775-1865|Frontier and pioneer life|Fiction|New York (State)|History|Bumppo, Natty (Fictitious character)|History			191225583.0	nyu	9792892	1	9	2	V.4	4.0	The leather-stocking tales / | $c: By J. Fenimore Cooper.	The pioneers	True	The pioneers	co	True	False	True
uc1.b4145140	Stowe, Harriet Beecher	Stowe, Harriet Beecher	1811-1896.	1852	1852	s	1852	    	London;J. Cassell;1852.	1852		Juvenile audience|NotFiction|Bibliographies|Fiction|UnknownGenre	United States|Southern States|Fiction|Slaves|Slavery|History|Uncle Tom (Fictitious character)|Plantation life|Master and servant|Fugitive slaves|African Americans			62096043.0	enk	6166384	1	18	2			Uncle Tom's cabin / | $c: by Harriet Beecher Stowe; with 27 illustrations on wood by George Cruikshank.		True	Uncle Tom's cabin	st	True	False	True
uc2.ark+=13960=t3st7fj83	Douglass, Frederick	Douglass, Frederick		1852	1852	 	1852	    	London;G. Kershaw and Son;1852	1852			Slavery|Maryland			21650008.0	enk	9259212	1	1	1			Narrative of the life of Frederick Douglass, an American slave		True	Narrative of the life of Frederick Douglass, an American slave	do	True	False	True
nyp.33433076060734	Fern, Fanny	Fern, Fanny	1811-1872.	1855	1855	s	1855	    	New York;Mason Brothers;1855.	1855		Fiction			PZ3.P258Ru	7388433.0	nyu	8659835	1	1	1			Ruth Hall : | a domestic tale of the present time / | $c: by Fanny Fern.		True	Ruth Hall : a domestic tale of the present time	fe	True	False	False
uc1.b3321331	Cooper, James Fenimore	Cooper, James Fenimore	1789-1851.	1856	1851	s	1856	    	New York;Stringer and Townsend;1856.	1856	New ed.	Juvenile audience|Adventure fiction|NotFiction|War stories|Bibliographies|Fiction|Historical fiction	Indians of North America|United States|American fiction|Mohegan Indians|Fiction|Frontier and pioneer life|French and Indian War, 1754-1763|French and Indian War, 1755-1763|History|Bumppo, Natty (Fictitious character)|French and Indian War, 1755-1763|History			43687118.0	nyu	7914914	1	27	3			The last of the Mohicans : | a narrative of 1757 / | $c: by J. Fenimore Cooper.		True	The last of the Mohicans : a narrative of 1757	co	True	False	False
wu.89098876212	Jacobs, Harriet A. (Harriet Ann)	Jacobs, Harriet A. (Harriet Ann)	1813-1897.	1862	1862	s	1862	    	London;W. Tweedie;1862.	1862		NotFiction	Social conditions|United States|Slaves|African American authors|American literature			53362083.0	enk	5789467	1	1	1			The deeper wrong, or, Incidents in the life of a slave girl / | $c: written by herself ; edited by L. Maria Child.		True	The deeper wrong, or, Incidents in the life of a slave girl	ja	True	False	True
