docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	block	norton	nortonshort	heath
uc2.ark+=13960=t10p0ww49	Hawthorne, Nathaniel	Hawthorne, Nathaniel	1804-1864.	1866	1864	 	1866	    	Boston;Ticknor and Field;1866.	1866		NotFiction|Bibliographies|Fiction|Historical fiction|UnknownGenre	Adultery|Women|Fiction|Massachusetts|History|Boston|Puritans|Colonial period, ca. 1600-1775			362799339.0	mau	7680433	1	25	4			The scarlet letter		True	The scarlet letter	ha	True	False	True
uc2.ark+=13960=t81j9qx1h	Twain, Mark	Twain, Mark	1835-1910.	1872	1872	s	1872	    	Hartford, Conn.;American Publishing Company;Chicago;F.G. Gilman & Co., ...;1872.	1872		Fiction|ContainsBiogMaterial|NotFiction	Hawaii|Twain, Mark|Description and travel|Travel|West (U.S.)|Authors, American|American literature|19th century|1835-1910		PS1318.A1 1872	275036.0	ctu	1112485	1	21	3			Roughing it		True	Roughing it	tw	True	False	True
nyp.33433076087786	Irving, Washington	Irving, Washington	1783-1859.	1875	1859	s	1875	    	Philadelphia, London;J.B. Lippincott & Co.;1875	1875		Fiction	Fiction|Catskill Mountains Region (N.Y.)		PS2067.A1 1875	6968189.0	pau	8659312	1	3	2			"The legend of Sleepy Hollow, and The spectre bridegroom. | From the ""Sketch book"", | $c: by Washington Irving. Illustrated with original designs by eminent artists."		True	"The legend of Sleepy Hollow, and The spectre bridegroom. From the ""Sketch book"""	ir	True	False	True
uc2.ark+=13960=t1cj8886t	James, Henry	James, Henry	1843-1916.	1879	1879	s	1879	    	London;Macmillan;1879.	1879		Fiction	Americans|Young women|Fiction|Europe			7631794.0	enk	9259808	1	5	2			Daisy Miller		True	Daisy Miller	ja	True	False	True
uc2.ark+=13960=t3cz3334b	Twain, Mark	Twain, Mark	1835-1910.	1885	1885	s	1885	    	New York;C. L. Webster and company;1885.	1885		NotFiction|Adventure stories|Bibliographies|Fiction|Bildungsromans|Humorous stories|Adventure fiction|Humorous fiction|UnknownGenre	Race relations|(OCoLC)fst01006633|Twain, Mark|fast|(OCoLC)fst01204724|(OCoLC)fst00837358|Male friendship|Manuscripts|Boys|Missouri|American literature|(OCoLC)fst00935940|19th century|Fugitive slaves|1835-1910|Adventures of Huckleberry Finn|(OCoLC)fst00924923|Fiction|Travel|(OCoLC)fst01240238|Finn, Huckleberry (Fictitious character)|History|Runaway children|(OCoLC)fst01086509|(OCoLC)fst01101290|Mississippi River		PZ3.C59A4	1047775.0	nyu	1020697	1	31	4			Adventures of Huckleberry Finn (Tom Sawyer's comrade)		True	Adventures of Huckleberry Finn (Tom Sawyer's comrade)	tw	True	False	False
nyp.33433074938386	Burton, María Amparo Ruíz	Burton, María Amparo Ruíz	d. 1894.	1885	1885	s	1885	    	San Francisco, Calif.;S. Carson & Co.;1885.	1885		NotFiction	Social life and customs	California		4323620.0	cau	7914876	1	1	1			The squatter and the don : | a novel descriptive of contemporary occurrences in California / | $c: by C. Loyal [i.e. M.A. Burton].		True	The squatter and the don : a novel descriptive of contemporary occurrences in California	bu	True	False	True
uc2.ark+=13960=t20c4th85	Jewett, Sarah Orne	Jewett, Sarah Orne	1849-1909.	1886	1886	s	1886	    	Boston;New York;Houghton, Mifflin and company;1886.	1886					PZ3.J55Wh	879575.0	mau	589937	2	2	2			A white heron		True	A white heron	je	True	False	True
uc2.ark+=13960=t20c4ss2f	Harris, Joel Chandler	Harris, Joel Chandler	1848-1908.	1887	1887	 	1887	    	New York;Collier;1887.	1887						20498728.0	nyu	7680325	1	1	1			Free Joe		True	Free Joe	ha	False	False	True
nyp.33433000133862	Irving, Washington	Irving, Washington	1783-1859.	1888	1859	s	1888	    	Boston;S.E. Cassino;1888.	1888		NotFiction	Catskill Mountains Region (N.Y.)|Fiction|Van Winkle, Rip (Fictitious character)|Catskill Mountains region (N.Y.)|Juvenile fiction		NC1075.M6	2676367.0	mau	8590203	1	6	4			Rip Van Winkle, | $c: by Washington Irving.  Illustrated by Frank T. Merrill.		False	Rip Van Winkle	ir	True	False	True
uva.x000192302	Poe, Edgar Allan	Poe, Edgar Allan	1809-1849.	1889	1849	s	1889	    	London;Walter Scott;Toronto;W.J. Gage;1889.	1889		Fiction|NotFiction				21315466.0	enk	9789027	1	2	1			The fall of the house of Usher : | and other tales and prose writings of Edgar Poe / | $c: edited by Ernest Rhys.		False	The fall of the house of Usher : and other tales and prose writings of Edgar Poe	po	True	False	True
uc2.ark+=13960=t9k35p017	Cahan, Abraham	Cahan, Abraham	1860-1951.	1896	1896	s	1896	    	New York;Appleton;1896.	1896					PZ3.C119Y	2539637.0	nyu	7652927	1	1	1			Yekl;		True	Yekl;	ca	False	False	True
njp.32101068582491	Cahan, Abraham	Cahan, Abraham	1860-1951.	1898	1898	s	1898	    	Boston;New York;Houghton, Mifflin and Company;1898.	1898	The imported bridegroom.--A providential match.--A sweat-shop romance.--Circumstances.--A ghetto wedding.	Fiction			PZ3.C119I	6459799.0	mau	8972804	1	2	1			The imported bridegroom, | and other stories of the New York ghetto, | $c: by Abraham Cahan.		True	The imported bridegroom, and other stories of the New York ghetto	ca	True	False	False
nc01.ark+=13960=t89g6f86r	Chesnutt, Charles W	Chesnutt, Charles W. (Charles Waddell)	1858-1932.	1899	1899	s	1899	    	Boston;New York;Houghton, Mifflin and Company;1899.	1899					PZ3.C4253C	3958825.0	mau	1027133	1	3	3			The conjure woman		True	The conjure woman	ch	True	False	False
nc01.ark+=13960=t49p3ts3d	Chesnutt, Charles W	Chesnutt, Charles W. (Charles Waddell)	1858-1932.	1899	1899	s	1899	    	Boston;New York;Houghton, Mifflin and Company;1899.	1899					PZ3.C4253W	1477183.0	mau	4678548	3	3	3			The wife of his youth		True	The wife of his youth	ch	True	False	True
loc.ark+=13960=t7dr36k3q	Parkman, Francis	Parkman, Francis	1823-1893.	1901	1893	s	1901	    	New York;T. Y. Crowell & co.;1901	1901			Indians of North America|Description and travel|Frontier and pioneer life|West (U.S.)		F592.P256	3610985.0	nyu	1268761	3	3	3			The California and Oregon trail;		True	The California and Oregon trail;	pa	True	False	False
mdp.39015026884190	Sinclair, Upton	Sinclair, Upton	1878-1968.	1906	1906	s	1906	    	New York;Doubleday, Page & Company;1906.	1906		Political fiction|NotFiction|Bibliographies|Fiction|Publishers' advertisements|UnknownGenre	Social conditions|Immigrants|United States|Stockyards|Slaughtering and slaughter-houses|Fiction|Lithuanian Americans|1865-1918|Working class|Law and legislation		PZ3.S616J	618893.0	nyu	1112564	1	8	2			The jungle : / | $c: by Upton Sinclair.		True	The jungle :	si	False	False	True
nyp.33433076084221	Howells, William Dean	Howells, William Dean	1837-1920.	1907	1907	s	1907	    	New York;London;Harper & Brothers;1907.	1907	A sleep and a forgetting -- The eidolons of Brooks Alford -- A memory that worked overtime -- A case of metaphantasmia -- Editha -- Braybridge's offer -- The chick of the Easter egg.	Fiction			PZ3.H84Be	1022037.0	nyu	479110	3	3	3			Between the dark and the daylight : | romances / | $c: by W.D. Howells.		True	Between the dark and the daylight : romances	ho	False	False	True
uc2.ark+=13960=fk0vq2s693	Harte, Bret	Harte, Bret	1836-1902.	1907	1902	s	1907	    	San Francisco;New York;P. Elder and Company;c1907	1907					PZ3.H252Te	1138223.0	cau	8889539	2	2	2			Tennessee's partner		True	Tennessee's partner	ha	True	False	False
mdp.39015008221700	Antin, Mary	Antin, Mary	1881-1949.	1912	1912	s	1912	    	Boston;New York;Houghton Mifflin Co.;1912.	1912		Autobiography|NotFiction	1881-1949|Russians|IsBiographical|Social life and customs|Massachusetts|Boston|Antin, Mary|Russia	Soviet Union			mau	2490064	1	2	2			The promised land / | $c: by Mary Antin ; with illustrations from photographs.		True	The promised land	an	False	False	True
coo.31924022491033	Johnson, James Weldon	Johnson, James Weldon	1871-1938.	1912	1912	s	1912	    	Boston;Sherman, French & company;1912.	1912		Autobiography|NotFiction	Racially mixed people|African Americans		PZ3.J633Au	1544322.0	mau	11742785	1	1	1			The autobiography of an ex-colored man.		True	The autobiography of an ex-colored man	jo	True	False	True
nyp.33433076079254	Wharton, Edith	Wharton, Edith	1862-1937.	1914	1914	s	1914	    	New York;C. Scribner's sons;1914.	1914	The greater inclination:  The muse's tragedy.  A journey.  The pelican.  Souls belated.  A coward.  The twilight of the god.  A cup of cold water.  The portrait.--The touchstone.	Fiction				1961301.0	nyu	6737781	4	4	4			The greater inclination; | The touchstone / | $c: by Edith Wharton.		True	The greater inclination; The touchstone	wh	False	True	False
uc2.ark+=13960=t3fx74c7k	James, Henry	James, Henry	1843-1916.	1915	1915	s	1915	    	London;M. Secker;1915	1915						4509927.0	enk	481339	1	1	1			The beast in the jungle		True	The beast in the jungle	ja	True	False	False
uc1.b3550215	Harte, Bret	Harte, Bret	1836-1902.	1916	1902	s	1916	    	San Francisco, Calif.;Book Club of San Francisco;1916.	1916		NotFiction				4353160.0	cau	6672990	2	3	2			The luck of roaring camp : | The outcasts of Poker Flat ; [and] Tennessee's partner / | $c: Bret Harte.		True	The luck of roaring camp : The outcasts of Poker Flat ; [and] Tennessee's partner	ha	True	False	False
uc2.ark+=13960=t1hh6d619	Dreiser, Theodore	Dreiser, Theodore	1871-1945.	1917	1917	s	1917	    	New York;Grosset & Dunlap;c1917.	1917		NotFiction|Bibliographies|Fiction|Bildungsromane|Didactic fiction	Illinois|Sister Carrie|Chicago|Mistresses|Fiction|New York|Young women|New York (State)|1871-1945|Dreiser, Theodore|Milligate, Michael			2990275.0	nyu	7658019	1	7	3			Sister Carrie		True	Sister Carrie	dr	True	False	False
mdp.39015047544880	Cather, Willa	Cather, Willa	1873-1947.	1918	1918	s	1918	    	Boston;New York;Houghton Mifflin company;1918	1918		Domestic fiction|Western stories|NotFiction|Novel|Bibliographies|Fiction|UnknownGenre	Women pioneers|Married women|Farm life|Farmers' spouses|Fiction|Czech Americans|Women immigrants|Fiction|Frontier and pioneer life|Social life and customs|Friendship		PZ3.C2858M	713322.0	mau	623893	2	14	6			My Ántonia / | $c: by Willa Sibert Cather ; with illustrations by W.T. Benda.		True	My Ántonia	ca	True	False	False
uc1.32106002073796	James, Henry	James, Henry	1843-1916.	1918	1916	m	1918	19	London;Secker;1918.	1918		NotFiction				6564571.0	   	7124642	1	1	1			The jolly corner.		True	The jolly corner	ja	False	False	True
uc2.ark+=13960=t6n010v0x	Harris, Joel Chandler	Harris, Joel Chandler	1848-1908.	1920	1908	s	1920	    	New York;London;D. Appleton and company;1920.	1920			Animals|Music|Folklore|African Americans		PZ7.H242Un20	1679670.0	nyu	9261123	1	1	1			Uncle Remus		True	Uncle Remus	ha	False	False	True
uc2.ark+=13960=t6c24rx3q	James, Henry	James, Henry	1843-1916.	1922	1916	s	1922	    	New York;Macmillan company;1922.	1922						547189.0	nyu	481173	3	3	3			The real thing		True	The real thing	ja	True	False	False
miun.abr7583.0001.001	Fauset, Jessie Redmon	Fauset, Jessie Redmon		1924	1924	s	1924	    	New York|Boni and Liveright|1924.	1924		Fiction	Fiction|African Americans		PZ3.F276Th	3338899.0	nyu	389422	1	3	1			There is confusion / | $c: by Jessie Redmon Fauset.		True	There is confusion	fa	True	False	False
mdp.39015054061430	Larsen, Nella	Larsen, Nella		1928	1928	s	1928	    	New York|London|A. A. Knopf|1928.	1928		Fiction|NotFiction			PZ3.L33Qu	7332881.0	nyu	536779	1	2	1			Quicksand, | $c: by Nella Larsen.		True	Quicksand	la	True	False	False
miun.aat2524.0001.001	Larsen, Nella	Larsen, Nella		1929	1929	s	1929	    	New York|London|A. A. Knopf|1929.	1929		Fiction	Race relations|African American women|Passing (Identity)|Fiction		PZ3.L33Pas	2812987.0	nyu	168287	1	3	1			Passing, / | $c: by Nella Larsen.		True	Passing	la	False	False	True
mdp.39015017635502	Crane, Stephen	Crane, Stephen	1871-1900.	1930	1900	s	1930	    	New York|Newland press|1930	1930		Bibliographies|Fiction|NotFiction	Slums|Poor women|Prostitutes|Fiction|Suicide victims|Social life and customs|Poor families|City and town life|Poor			626166.0	nyu	395086	2	10	2			Maggie, | a girl of the streets, | $c: by Stephen Crane.		False	Maggie, a girl of the streets	cr	True	False	False
umn.31951001627127s	Melville, Herman	Melville, Herman	1819-1891.	1930	1891	s	1930	    	New York|Random House|1930.	1930		Bibliographies|Fiction|NotFiction			PZ3.M498Mo31	273406.0	nyu	1020776	2	3	2			Moby Dick:		False	Moby Dick:	me	True	False	False
uc1.$b741779	O'Connor, Frank	O'Connor, Frank	1903-1966.	1931	1931	s	1931	    	New York|The Macmillan company|1931.	1931	Guests of the nation.--Attack.--Jumbo's wife.--Night-piece with figures.--September dawn.--Machine-gun corps in action.--Laughter.--Jo.--Alec.--Soiree chez une belle jeune fille.--The patriarch.--After fourteen years.--The late Henry Conran.--The sisters.--The procession of life.	Fiction			PZ3.O1744Gu	1935109.0	us 	8230678	1	2	1			Guests of the nation, | $c: by Frank O'Connor [pseud.]		True	Guests of the nation	o'	False	True	False
miun.abr7310.0001.001	Fitzgerald, F. Scott (Francis Scott)	Fitzgerald, F. Scott (Francis Scott)	1896-1940.	1935	1935	s	1935	    	New York|C. Scribner's sons|1935.	1935	Basil.--Josephine.--Crazy Sunday.--Two wrongs.--The night of Chancellorsville.--The last of the belles.--Majesty.--Family in the wind.--A short trip home.--One interne.--The fiend.--Babylon revisited.	Fiction|NotFiction			PZ3.F5754Tap	8894678.0	nyu	389150	1	4	3			Taps at reveille, / | $c: by F. Scott Fitzgerald.		True	Taps at reveille	fi	False	True	False
mdp.39015028558347	Boyle, Kay	Boyle, Kay	1902-1992.	1936	1936	s	1936	    	New York|Harcourt, Brace|c1936	1936	First edition.	Fiction			PZ3.B69796Wh	6980538.0	nyu	474271	3	3	3			The white horses of Vienna | and other stories.		True	The white horses of Vienna and other stories	bo	True	False	False
mdp.39015010526716	Wharton, Edith	Wharton, Edith	1862-1937.	1936	1936	s	1936	    	New York|London|D. Appleton-Century company, incorporated.|1936.	1936	--Charm incorporated.--Pomegranate seed.--Permanent wave.--Confession.--Roman fever.--The looking-glass.--Duration.	Short stories			PZ3.W555WoPS3545.H16W6	359190.0	nyu	1188232	2	2	2			The world over, | $c: by Edith Wharton.		True	The world over	wh	False	True	False
uc1.32106000245693	Kang, Younghill	Kang, Younghill	1903-1972.	1937	1937	s	1937	    	New York|C. Scribner's sons|1937.	1937		Bibliographies|Fiction|Autobiographical fiction|NotFiction	New York (State)|Korean Americans|Emigration and immigration|Fiction|New York|Fiction			738378.0	nyu	7123247	1	2	1			East goes west.		True	East goes west	ka	False	False	True
mdp.39015004063601	Steinbeck, John	Steinbeck, John	1902-1968.	1939	1939	s	1939	    	New York|The Viking press|c1939	1939		Historical fiction|Bibliographies|NotFiction|Fiction|UnknownGenre	Labor camps|Fiction|Migrant agricultural laborers|California		PS3537.T3234G8 1939	289946.0	nyu	1029460	2	11	6			The grapes of wrath | $c: [by] John Steinbeck.		True	The grapes of wrath	st	False	False	True
mdp.39015002379611	Redding, J. Saunders (Jay Saunders)	Redding, J. Saunders (Jay Saunders)	1906-1988.	1942	1942	s	1942	    	New York|London|Harper & brothers|1942	1942		NotFiction	African Americans		E185.6.R42	1997398.0	nyu	337678	1	1	1			No day of triumph, | $c: by J. Saunders Redding, with an introduction by Richard Wright.		True	No day of triumph	re	False	False	True
inu.30000053370379	Toomer, Jean	Toomer, Jean	1894-1967.	1951	1951	s	1951	    	New York|Liveright|1951, c1923	1951		Fiction	Fiction|Southern States|African Americans			2138963.0	nyu	6060197	1	3	1			Cane | $c: [by] Jean Toomer; with a foreword by Waldo Frank.		True	Cane	to	True	False	True
uc1.32106002103940	Ellison, Ralph	Ellison, Ralph		1952	1952	s	1952	    	New York|Random House|1952	1952		Fiction	Social conditions|United States|Blacks|Race Relations|To 1964|Fiction|Literature, Modern|African American men|African Americans			187266.0	nyu	540620	1	5	2			Invisible man.		True	Invisible man	el	True	False	False
mdp.39015002214032	Bellow, Saul	Bellow, Saul		1953	1953	s	1953	    	New York|The Viking Press|1953.	1953	1st ed., 1st printing.	Picaresque fiction|Bildungsromane|NotFiction|Fiction|Publishers' advertisements	Americans|Failure (Psychology)|Mexico|Young men|Depressions|Fiction	Mexico|Chicago (Ill.)	PZ.B41937Ad	279587.0	nyu	427566	1	4	3			The adventures of Augie March : | a novel / | $c: by Saul Bellow.		True	The adventures of Augie March : a novel	be	True	False	False
mdp.39015002153180	O'Connor, Flannery	O'Connor, Flannery		1955	1955	s	1955	    	New York|Harcourt, Brace and Company|1955.	1955	1st ed.|A good man is hard to find -- The river -- The life you save may be your own -- A stroke of good fortune -- A temple of the Holy Ghost -- The artificial nigger -- A circle in the fire -- A late encounter with the enemy -- Good country people -- The displaced person.	Fiction	Social life and customs|Fiction		PZ4.O183Go	224143.0	nyu	281587	1	2	2			A good man is hard to find : | and other stories / | $c: Flannery O'Connor.		True	A good man is hard to find : and other stories	o'	False	False	True
inu.30000048909653	Malamud, Bernard	Malamud, Bernard		1958	1958	s	1958	    	New York|Farrar, Straus & Cudahy|1958	1958		Fiction|NotFiction			PZ4.M237Mag	289279.0	nyu	539239	1	3	3			The magic barrel.		True	The magic barrel	ma	True	False	True
umn.31951001996467i	Anderson, Sherwood	Anderson, Sherwood	1876-1941.	1960	1941	s	1960	    	New York|Viking Press|1960.	1960	[New ed.].	Fiction|NotFiction	Social life and customs|Fiction|City and town life|Ohio		PS3501.N4W56 1960	15256881.0	nyu	1028136	2	5	3			Winesburg, Ohio. | $c: Introd. by Malcolm Cowley.		True	Winesburg, Ohio	an	True	False	True
uc1.32106002107412	Fitzgerald, F. Scott (Francis Scott)	Fitzgerald, F. Scott (Francis Scott)	1896-1940.	1960	1940	s	1960	    	New York|Scribner|1960	1960		Fiction|NotFiction	Social life and customs|20th century|Fiction	United States		284256.0	nyu	1028542	1	2	1			Babylon revisited, and other stories.		True	Babylon revisited, and other stories	fi	True	False	False
uc1.32106002105341	Faulkner, William	Faulkner, William	1897-1962.	1962	1962	s	1962	    	London|Chatto and Windus|1962.	1962		NotFiction	Burial|Fiction|Death			22188234.0	   	7122799	1	3	3			As I lay dying.		True	As I lay dying	fa	True	False	False
mdp.39015035340093	Chopin, Kate	Chopin, Kate	1850-1904.	1964	1904	s	1964	    	New York|Capricorn Books|1964	1964		Fiction	Social conditions|Adultery|Women|Fiction		PZ3.C456Aw10	351306.0	nyu	1113056	1	2	1			The awakening, | $c: by Kate Chopin. With an introd. by Kenneth Eble.		False	The awakening	ch	True	False	True
mdp.39015027252801	Baldwin, James	Baldwin, James	1924-1987.	1965	1965	s	1965	    	New York|Dial Press|1965.	1965	The rockpile.--The outing.--The man child.--Previous condition.--Sonny's blues.--This morning, this evening, so soon.--Come out the wilderness.--Going to meet the man.	Fiction|NotFiction	Race relations|Social life and customs|Fiction|African Americans|Fiction		PZ4.B18Gq	275590.0	nyu	1112582	3	5	4			Going to meet the man.		True	Going to meet the man	ba	True	False	False
mdp.39015004753730	Walker, Margaret	Walker, Margaret	1915-1998.	1966	1966	s	1966	    	Boston|Houghton Mifflin|1966.	1966		Fiction			PZ4.W1814Ju	273394.0	mau	1113326	1	2	2			Jubilee.		True	Jubilee	wa	False	False	True
inu.30000007115094	Momaday, N. Scott	Momaday, Natachee Scott	1934-	1969	1969	s	1969	    	Albuquerque|University of New Mexico Press|1969	1969	[1st ed.	NotFiction	Folklore|Kiowa Indians|Legends		E99.K5M64	6284.0	nmu	561353	2	3	3			The way to rainy mountain | $c: [by] N. Scott Momaday. Illustrated by Al Momaday.		True	The way to rainy mountain	mo	True	False	True
pst.000027734902	Vonnegut, Kurt	Vonnegut, Kurt		1969	1969	s	1969	    	New York|Dell|c1969].	1969		Novel|War stories|Historical fiction|NotFiction	Fiction|World War, 1939-1945			542398.0	xx 	3906292	1	2	1			Slaughterhouse-five; or, The children's crusade : | a duty-dance with death.		True	Slaughterhouse-five; or, The children's crusade : a duty-dance with death	vo	True	False	False
mdp.39015046832278	Hentz, Caroline Lee	Hentz, Caroline Lee	1800-1856.	1970	1854	r	1970	1854	Chapel Hill|University of North Carolina Press|1970	1970		Bibliographies|Fiction			PZ3.H399Pl8PS1919.H4	74943.0	ncu	478084	1	1	1			The planter's northern bride. | $c: With an introd. by Rhoda Coleman Ellison.		False	The planter's northern bride	he	False	False	True
mdp.39015052395087	Hemingway, Ernest	Hemingway, Ernest	1899-1961.	1970	1961	s	1970	    	New York|Scribner|c1970	1970	The Snows of Kilimanjaro.--A clean, well-lighted place.--A day's wait.--The gambler, the nun, and the radio.--Fathers and sons.--In another country.--The killers.--A way you'll never be.--Fifty grand.--The short happy life of Francis Macomber.	Fiction				30538684.0	nyu	3516424	1	1	1			The snows of Kilimanjaro, and other stories.		True	The snows of Kilimanjaro, and other stories	he	True	False	False
pst.000002437750	Hopkins, Pauline E. (Pauline Elizabeth)	Hopkins, Pauline E. (Pauline Elizabeth)		1971	1900	r	1971	1900	New York|AMS Press|1971].	1971		Fiction|NotFiction	Fiction|African Americans		PZ3.H777Co8PS1999.H44	150771.0	xxu	100122434	1	2	2			Contending forces : | a romance illustrative of Negro life north and south / | $c: by Pauline E. Hopkins. With illus. and cover design by R. Emmett Owen. Boston, Colored Co-operative Pub. Co., 1900.		False	Contending forces : a romance illustrative of Negro life north and south	ho	True	False	True
mdp.39015013234508	Reed, Ishmael	Reed, Ishmael	1938-	1974	1974	s	1974	    	New York|Random House|1974	1974	[1st ed.]	Novel|Mystery fiction|Satire|NotFiction	Vodou|Berkeley|Fiction|Baboons|California|Private investigators|Cooking (Okra)		PZ4.R323LasPS3568.E365;	902974.0	nyu	723348	1	2	2			The last days of Louisiana Red.		True	The last days of Louisiana Red	re	True	False	False
mdp.39015019159642	Welch, James	Welch, James	1940-2003.	1974	1974	s	1974	    	New York|Harper & Row|1974	1974	[1st ed.].	Fiction	Siksika Indians|Fiction		PZ4.W439WiPS3573.E44	914776.0	nyu	1030100	2	3	3			Winter in the blood.		True	Winter in the blood	we	False	False	True
uc1.32106002182373	Oates, Joyce Carol	Oates, Joyce Carol	1938-	1974	1974	s	1974	    	Greenwich, Conn.|Fawcett Publications|1974	1974		Short stories|Fiction|NotFiction	20th century|Social life and customs|Fiction|Psychological fiction, American	United States		1055747.0	ctu	7112592	1	3	3			Where are you going, where have you been? | Stories of young America.		True	Where are you going, where have you been? Stories of young America	oa	False	False	True
pst.000028368182	Rowson, Mrs	Rowson, Mrs	1762-1824.	1977	1824	s	1977	    	St. Clair Shores, MI|Scholarly Press|1977.	1977		Novel|Psychological fiction|Didactic fiction|NotFiction	Illegitimate children|Teenage girls|Seduction|Fiction|New York|Teenage pregnancy|Runaway teenagers|New York (State)|Betrayal|British|Soldiers|Elopement			3617969.0	xxu	7067592	1	2	1			Charlotte Temple / | $c: by Mrs. Rowson.		False	Charlotte Temple	ro	False	False	True
