AUTHOR,TITLE,PERIOD,VOL
Washington Irving,Rip Van Winkle,,1
Washington Irving,Legend of Sleepy Hollow,,1
James Fenimore Cooper,The Pioneers,,1
James Fenimore Cooper,The Last of the Mohicans,,1
Lydia Maria Child,Letters from New York,,1
Ralph Waldo Emerson,Nature,,1
Ralph Waldo Emerson,The American Scholar,,1
Nathaniel Hawthorne,The Scarlet Letter,,1
Edgar Allan Poe,The Purloined Letter,,1
Edgar Allan Poe,The Tell-Tale Heart,,1
Edgar Allan Poe,The Fall of the House of Usher,,1
Harriet Beecher Stowe,Uncle Tom's Cabin,,1
Fanny Fern,Ruth Hall,,1
Harriet Jacobs,Incidents in the Life of a Slave Girl,,1
William Wells Brown,Narrative of William W. Brown,,1
Henry David Thoreau,Walden or Life in the Woods,,1
Frederick Douglass,Narrative of the Life of Frederick Douglass,,1
Frederick Douglass,My Bondage and My Freedom,,1
Richard Henry Dana,Two Years Before the Mast,,1
Francis Parkman,California and Oregon Trail,,1
Daniel Webster,First Settlement of New England,,1
Herman Melville,Moby-Dick,,1
Herman Melville,Bartleby the Scrivener,,1
Herman Melville,Benito Cereno,,1
Herman Melville,Billy Budd,,1
Herman Melville,The Paradise of Bachelors,,1
Black Hawk,Autobiography,,1
Elizabeth Stoddard,Lemorne Versus Huell,,1
Rebecca Harding Davis,Life in the Iron-Mills,,
Frances Harper,The Two Offers,,1
Maria Amparo Ruiz De Burton,The Squatter and the Don,,1
Mark Twain,Adventures of Huckleberry Finn,,1
Mark Twain,Roughing It,,1
Mark Twain,Letters from the Earth,,1
Mark Twain,The Notorious Jumping Frog of Calaveras County,,1
Bret Harte,The Luck of Roaring Camp,,1
Bret Harte,Miggles,,1
Bret Harte,Tennessee's Partner,,1
Henry Adams,The Education of Henry Adams,,1
Ambrose Bierce,An Occurrence at Owl Creek Bridge,,1
Ambrose Bierce,Chickamauga,,1
Henry James,Daisy Miller,,1
Henry James,The Real Thing,,1
Henry James,The Beast in the Jungle,,1
Sarah Winnemucca,Life Among the Piutes,,1
Joel Chandler Harris,The Wonderful Tar-Baby Story,,1
Joel Chandler Harris,How Mr. Rabbit was too sharp for Mr. Fox,,1
Sarah Orne Jewett,A White Heron,,1
Kate Chopin,The Storm,,1
Kate Chopin,The Awakening,,1
Mary E Wilkins Freeman,A New England Nun,,1
Anna Julia Cooper,A Voice of the South,,1
Booker T Washington,Up From Slavery,,1
Charles W Chesnutt,The Goophered Grapevine,,1
Charles W Chesnutt,The Wife of his Youth,,1
Charles Alexander Eastman,From the Deep Woods to Civilization,,1
Pauline Hopkins,Contending Forces,,1
Hamlin Garland,Under the Lion's Paw,,1
Abraham Cahan,The Imported Bridegroom,,1
Charlotte Perkins Gilman,The Yellow Wall-paper,,1
Edith Wharton,The Other Two,,1
Edith Wharton,Roman Fever,,1
Ida B Wells-Barnett,Mob Rule in New Orleans,,1
Sui Sin Far,In the Land of the Free,,1
May Austin,The Walking Woman,,1
WEB Du Bois,The Souls of Black Folk,,1
Frank Norris,Fantaisie Printaniere,,1
Theodore Dreiser,Sister Carrie,,1
Stephen Crane,Maggie: A girl of the Streets,,1
Stephen Crane,The Open Boat,,1
John M Oskison,The Problem of Old Harjo,,1
James Wheldon Johnson,Autobiography of an Ex-Colored Man,,1
Jack London,The Law of Life,,1
Jack London,To Buid a Fire,,1
Zitkala Sa,Impressions of an Indian Childhood,,1
Zitkala Sa,The School Days of an Indian Girl,,1
Zitkala Sa,An Indian Teacher Among Indians,,1
Zitkala Sa,Why I am a Pagan,,1
Wovoka,The Messian Letter,,1
Jose Marti,Our America,,1
Jane Addams,Twenty Years at Hull House,,1
Helen Hunt Jackson,A Century of Dishonor,,1
Willa Cather,My Antonia,,1
Gertrude Stein,The Making of Americans,,1
Gertrude Stein,The Autobiography of Alice B Toklas,,1
Jessie Redmon Fauset,There is Confusion,,1
Sherwood Anderson,Winesburg Ohio,,1
Raymond Chandler,Red Wind,,1
Katherine Anne Porter,Flowering Judas,,1
Zora Neale Hurston,The Eatonville Anthology,,1
Zora Neale Hurston,How It Feels to be Colored Me,,1
Zora Neale Hurston,The Gilded Six-Bits,,1
Nella Larsen,Quicksand,,1
Jean Toomer,Cane,,1
F Scott Fitzgerald,Winter Dreams,,1
F Scott Fitzgerald,Babylon Revisited,,1
John Dos Passos,USA,,1
John Dos Passos,The Big Money,,1
William Faulkner,As I Lay Dying,,1
William Faulkner,Barn Burning,,1
Ernest Hemingway,The Snows of Kilimanjaro,,1
Thomas Wolfe,The Lost Boy,,1
Kay Boyle,The White Horses of Vienna,,1
John Steinbeck,The Leader of the People,,1
Richard Wright,The Man Who was Almost a Man,,1
Carlos Bulosan,Be American,,1
Eudora Welty,Petrified Man,,1
John Cheever,The Swimmer,,1
Bernard Malamud,The Magic Barrel,,1
Ralph Ellison,Invisible Man,,1
Saul Bellow,The Adventures of Augie March,,1
Jack Kerouac,Big Sur,,1
Kurt Vonnegut,Slaughterhouse-Five,,1
Grace Paley,A Conversation with My Father,,1
James Dickey,Drowning With Others,,1
James Dickey,The Heaven of Animals,,1
James Dickey,Falling,,1
Hunter S Thompson,Fear and Loathing in Las Vegas,,1
James Baldwin,Going to Meet the Man,,1
Flannery O'Connor,The Life You Save May Be Your Own,,1
Flannery O'Connor,Good Country People,,1
Ursula K LeGuin,Schrodinger's Cat,,1
Ursula K LeGuin,She Unnames Them,,1
Toni Morrison,Recitatif,,1
John Updike,Separating,,1
Philip Roth,Defender of the Faith,,1
