AUTHOR,TITLE,PERIOD,VOL
N Scott Momaday,The Way to Rainy Mountain,,1
Gerald Vizenor,Almost Browne,,1
Rudolfo A Anaya,Bless Me Ultima,,1
Thomas Pynchon,Entropy,,1
Raymond Carver,Cathedral,,1
Ishmael Reed,The Last Days of Louisiana Red,,1
Toni Cade Bambara,Medley,,1
Maxine Hong Kingston,Tripmaster Monkey,,1
Alice Walker,Everyday Use,,1
Annie Dillard,Pilgrim at Tinker Creek,,1
Annie Dillard,Seeing,,1
Gloria Anzaldua,Towards a New Consciousness,,1
Gloria Anzaldua,How to Tame a Wild Tongue,,1
Gloria Anzaldua,El Sonavabitche,,1
Ann Beattie,Weekend,,1
Leslie Marmon Silko,Lullaby,,1
Amy Tan,The Joy Luck Club,,1
Amy Tan,Two Kinds,,1
Sandra Cisneros,Woman Hollering Creek,,1
Louise Erdrich,Dear John Wayne,,1
Louise Erdrich,I was sleeping where the black oaks move,,1
Louise Erdrich,Grief,,1
Louise Erdrich,Fleur,,1
Richard Powers,The Seventh Event,,1
William T Vollmann,Red Hands,,1
Jhumpa Lahiri,Sexy,,1
Dorothy Allison,Jason Who Will be Famous,,2
Truman Capote,Miriam,,2
Edwidge Danticat,A Wall of Fire Rising,,2
Richard Ford,Communist,,2
Jamaica Kincaid,Girl,,2
Bobbie Ann Mason,Shiloh,,2
James Alan McPherson,Why I like Country Music,,2
Bharati Mukherjee,The Management of Grief,,2
Vladimir Nabokov,Signs and Symbols,,2
Joyce Carol Oates,How I Contemplated the World,,2
Tim O'Brien,The Things They Carried,,2
Frank O'Connor,Guests of the Nation,,2
Annie Proulx,What Kind of Furniture Would Jesus Buy?,,2
George Saunders,Victory Lap,,2
Isaac Bashevis Singer,Gimpel the Fool,,2
Robert Penn Warren,Blackberry Winter,,2
Tobias Wolf,Kew Gardens,,2
Jupiter Hammon,An Evening Thought,,3
Samon Occom,A Short Narrative of My Life,,3
Briton Hammon,Narrative of the Uncommon Sufferings,,3
Olaudah Equiano,The Interesting Narrative,,3
Judith Sargent Murray,Desultory Thoughts,,3
Judith Sargent Murray,On the Domestic Education of Children,,3
Judith Sargent Murray,On the Equality of the Sexes,,3
Ann Eliza Bleeker,The History of Maria Kittle,,3
Timothy Dwight,Greenfield Hill,,3
Lemuel Haynes,Liberty Further Extended,,3
Lemuel Haynes,Universal Salvation,,3
Hendrick Aupaumut,A Short Narration of my Last Journey,,3
Hannah Webster Foster,The Coquette,,3
Susanna Haswell Rowson,Charlotte Temple,,3
Susanna Haswell Rowson,Female Bosom,,3
Charles Brockden Brown,Somnambulism,,3
Jane Johnston Schoolcraft,Mishosha,,3
Jane Johnston Schoolcraft,The Forsaken Brother,,3
Major George Lowery,Notable Persons in Cherokee History,,3
Elias Boudinot,An Address to the Whites,,3
William Apess,An Indian's Looking-Glass for the White Man,,3
George Copway,The Life of Kah-ge-ga-gah-bowh,,3
Pio Pico,Historical Narrative,,3
Richard Henry Dana Jr.,Two Years before the Mast,,3
Alfred Robinson,Life in California,,3
Josiah Gregg,Commerce of the Prairies,,3
Frederick Law Olmsted,A Journey Through Texas,,3
Ralph Waldo Emerson,Nature,,3
Ralph Waldo Emerson,The American Scholar,,3
Ralph Waldo Emerson,Self-Reliance,,3
Sarah Margaret Fuller,Woman in the Nineteenth Century,,3
Henry David Thoreau,Walden,,3
Lydia Maria Child,Letters from New York,,3
Frederick Douglass,Narrative of the Life of Frederick Douglass,,3
Nancy Gardner Prince,A Narrative of the Life and Travels of Mrs. Nancy Prince,,3
Caroline Lee Hentz,The Planter's Northern Bride,,3
George Fitzhugh,Southern Thought,,3
Frances Harper,The Slave Mother,,3
Frances Harper,The Two Offers,,3
Frances Harper,The Tennessee Hero,,3
Thomas Wentworth Higginson,Nat Turner's Insurrection,,3
Harriet Jacobs,Incidents in the Life of a Slave Girl,,3
Mary Boykin Chesnut,Mary Chesnut's Civil War,,3
Wendell Phillips,Touissant L'Ouverture,,3
Sojourner Truth,Reminiscences,,3
Fanny Fern,Hint to Young Wives,,3
Fanny Fern,Fern Leaves,,3
Elizabeth Cady Stanton,Eighty Years and More,,3
Davy Crockett,The Crockett Almanacs,,3
Mike Fink,The Crocket Almanacs,,3
Augustus Baldwin Longstreet,The Horse Swap,,3
George Washington Harris,Mrs. Yardling's Quilting,,3
Washington Irving,A History of New York,,3
Washington Irving,Rip Van Winkle,,3
Washington Irving,The Legend of Sleepy Hollow,,3
James Fenimore Cooper,The Pioneers,,3
Catherine Maria Sedgwick,Hope Leslie,,3
Caroline Kirkland,A New Home-Who'll Follow?,,3
Nathaniel Hawthorne,The Scarlet Letter,,3
Edgar Allan Poe,The Purloined Letter,,3
Edgar Allan Poe,The Tell-Tale Heart,,3
Edgar Allan Poe,The Fall of the House of Usher,,3
Harriet Beecher Stowe,Uncle Tom's Cabin,,3
William Wells Brown,Clotelle,,3
Herman Melville,Bartleby the Scrivener,,3
Herman Melville,The Paradise of Bachelors,,3
Herman Melville,Benito Cereno,,3
Herman Melville,Billy Budd,,3
Alice Cary,Clovernook,,3
Elizabeth Stoddard,Lemorne Versus Huell,,3
Rebecca Harding Davis,Life in the Iron-Mills,,3
Mark Twain,Roughing It,,3
Mark Twain,A True Story,,3
Mark Twain,The Autobiography of Mark Twain,,3
Joel Chandler Harris,Uncle Remus,,3
Joel Chandler Harris,Free Joe,,3
Charles W Chesnutt,The Goophered Grapevine,,3
Charles W Chesnutt,The Passing of Grandison,,3
Charles W Chesnutt,The Wife of his Youth,,3
George Washington Cable,Tite Poulette,,3
Alice Dunbar-Nelson,Sister Josepha,,3
Maria Amparo Ruiz De Burton,The Squatter and the Don,,3
William Dean Howells,Editha,,3
Henry James,Daisy Miller,,3
Henry James,The Jolly Corner,,3
Kate Chopin,Desiree's Baby,,3
Kate Chopin,The Awakening,,3
Ambrose Bierce,Chickamauga,,3
Hamlin Garland,Up The Coule,,3
Stephen Crane,A Mystery of Heroism,,3
Stephen Crane,The Open Boat,,3
Stephen Crane,The Bride Comes to Yellow Sky,,3
Jack London,South of the Slot,,3
Charles Alexander Eastman,The Soul of the Indian,,3
Charles Alexander Eastman,From the Deep Woods to Civilization,,3
Frances Harper,Aunt Chloe's Politics,,3
Frances Harper,The Martyr of Alabama,,3
Frances Harper,A Double Standard,,3
Charlotte Perkins Gilman,The Yellow Wall-paper,,3
Charlotte Perkins Gilman,Turned,,3
Finley Peter Dunne,The Wanderers,,3
Finley Peter Dunne,The Popularity of Firemen,,3
Upton Sinclair,The Jungle,,3
Henry Adams,The Education,,3
Julia AJ Foote,A Brand Plucked from the Fire,,3
Louisa May Alcott,My Contraband,,3
Harriet Prescott Spofford,Circumstance,,3
Constance Fenimoore Woolson,Miss Grief,,3
Sarah Orne Jewett,A White Heron,,3
Sarah Orne Jewett,Martha's Lady,,3
Mary E Wilkins Freeman,A New England Nun,,3
Mary E Wilkins Freeman,"The Revolt of ""Mother""",,3
Pauline Hopkins,Contending Forces,,3
Abraham Cahan,Yekl,,3
Sui Sin Far,Mrs. Spring Fragrance,,3
May Austin,Earth Horizon,,3
Zitkala Sa,The School Days of an Indian Girl,,3
Mary Antin,The Promised Land,,3
Jose Marti,Our America,,3
Booker T Washington,Up From Slavery,,3
WEB DuBois,The Souls of Black Folk,,3
James Wheldon Johnson,The Autobiography of an Ex-Colored Man,,3
Edith Wharton,The Valley of Childish Things,,3
Edith Wharton,Souls Belated,,3
Edith Wharton,The Other Two,,3
Edith Wharton,The Life Apart,,3
Ellen Glasgow,The Professional Instinct,,3
Willa Cather,A Wagner Matinee,,3
Susan Glaspell,Trifles,,3
Sherwood Anderson,Winesburg Ohio,,3
Theodore Dreiser,The Second Chance,,3
F Scott Fitzgerald,May Day,,3
F Scott Fitzgerald,The Diamond as Big as the Ritz,,3
Katherine Anne Porter,The Jilting of Granny Weatherall,,3
Katherine Anne Porter,Flowering Judas,,3
Ernest Hemingway,Hills like White Elephants,,3
William Faulkner,A Courtship,,3
William Faulkner,Delta Autumn,,3
William Faulkner,Barn Burning,,3
Jean Toomer,Cane,,3
Zora Neale Hurston,Sweat,,3
Zora Neale Hurston,The Gilded Six-Bits,,3
Nella Larsen,Passing,,3
George Schuyler,Our Greatest Gift to America,,3
Anzia Yezierska,America and I,,3
Michael Gold,Jews Without Money,,3
John Dos Passos,USA,,3
Albert Maltz,The Happiest Man on Earth,,3
Lillian Hellman,Scoundrel Time,,3
Mary McCarthy,Memories of a Catholic Girlhood,,3
Clifford Odets,Waiting for Lefty,,3
Meridel LeSueur,Women on the Breadlines,,3
Mourning Dove,Coyote Stories,,3
John Steinbeck,The Grapes of Wrath,,3
Richard Wright,Bright and Morning Star,,3
Richard Wright,Between the World and Me,,3
Margaret Walker,Jubilee,,3
Saunders Redding,No Day of Triumph,,3
Pietro Di Donato,Christ in Concrete,,3
Younghill Kang,East Goes West,,3
Eudora Welty,The Wide Net,,3
Carlos Bulosan,America is in the Heart,,3
Bernard Malamud,The Magic Barrel,,3
Ralph Ellison,A Party Down at the Square,,3
Ralph Ellison,Flying Home,,3
Ralph Ellison,Brave Words for a Startling Occasion,,3
Saul Bellow,Looking for Mr. Green,,3
Hisaye Yamamoto,Seventeen Syllables,,3
Grace Paley,The Expensive Moment,,3
John Okada,No-no Boy,,3
James Baldwin,Sonny's Blues,,3
Flannery O'Connor,A Good Man is hard to find,,3
Flannery O'Connor,A Sheay of Poetry and Prose from the Beat Movement,,3
Jack Kerouac,The Vanishing American Hobo,,3
Brenda Frazer,Troia,,3
Malcolm X,The Autobiography of Malcolm X,,3
Paule Marshall,To Da-Duh,,3
Rolando Hinojosa-Smith,Sometimes It Just Happens That way,,3
John Barth,Lost in the Funhouse,,3
Michael Herr,Dispatches,,3
Norman Mailer,The Armies of the Night,,3
Donald Barthelme,At the end of the Mechanical Age,,3
Toni Morrison,Recitatif,,3
John Updike,Trust Me,,3
Ernest Gaines,The Sky is Gray,,3
N. Scott Momaday,The Way to Rainy Mountain,,3
Tomas Rivera,And the Earth did not Devour Him,,3
Thomas Pynchon,Entropy,,3
Raymond Carver,Cathedral,,3
Joyce Carol Oates,"Where are you going, where have you been",,3
Ishmael Reed,I am a cowboy in the boat of Ra,,3
Toni Cade Bambara,The Lesson,,3
Frank Chin,Railroad Standard Time,,3
Leonard Peltier,Prison Writings,,3
James Welch,Winter in the Blood,,3
Bharati Mukherjee,A Wife's Story,,3
Maxine Hong Kingston,No Name Woman,,3
Bobbie Ann Mason,Airwaves,,3
Simon Ortiz,Sand Creek,,3
John Edgar Wideman,Valaida,,3
Gloria Anzaldua,Borderlands,,3
Lee Smith,The Bubba Stories,,3
Richard Rodriguez,The Hunger of Memory,,3
Alice Walker,Laurel,,3
Leslie Marmon Silko,Lullaby,,3
Jessica Hagedorn,The Blossoming of Bongbong,,3
Dorothy Allison,Don't tell me you don't know,,3
Karen Tei Yamashita,Tropic of Orange,,3
Louise Erdrich,Love Medicine,,3
Helena Maria Viramontes,The Cariboo Caf_,,3
Sandra Cisneros,Eleven,,3
Gish Jen,In the American Society,,3
David Foster Wallace,The Devil is a Busy Man,,3
Chang-Rae Lee,Coming Home Again,,3
Sherman Alexie,Because my father always said he was the only indian,,3
Edwidge Danticat,New York Day Women,,3
Minh Duc Nguyen,Tale of Apricot,,3
