dataset	hypothesis	bottom	top	middle
kld	best1900_1950	0.08079329859842371	0.5466156667376755	0.31949198726638295
cosine	best1900_1950	0.04796470512995664	0.5196371612663904	0.2771433639926585
kld	reviewed1850_1950	0.3707807584560856	0.5940136603869136	0.4829350115527798
cosine	reviewed1850_1950	0.40349995677735007	0.6307784172951304	0.5156694337722185
