docid	novelty_1.0_10	novelty_1.0_25	novelty_1.0_40	novelty_0.05_10	novelty_0.05_25	novelty_0.05_40	novelty_0.025_10	novelty_0.025_25	novelty_0.025_40	transience_1.0_10	transience_1.0_25	transience_1.0_40	transience_0.05_10	transience_0.05_25	transience_0.05_40	transience_0.025_10	transience_0.025_25	transience_0.025_40	resonance_1.0_10	resonance_1.0_25	resonance_1.0_40	resonance_0.05_10	resonance_0.05_25	resonance_0.05_40	resonance_0.025_10	resonance_0.025_25	resonance_0.025_40
uc2.ark+=13960=t5cc0wc6z	6.43405139438	6.37333564595	6.37320991376	3.50199250848	3.48287614623	3.46005353694	3.23444956068	3.18851173694	3.1600996469	6.60351670788	6.63896675267	6.76490641651	3.60273566854	3.66694509834	3.8764967217	3.23651629002	3.32935246298	3.54029431519	-0.169465313492	-0.265631106719	-0.391696502749	-0.100743160055	-0.184068952118	-0.416443184754	-0.00206672934794	-0.140840726038	-0.380194668287
uiuo.ark+=13960=t73v06h0g	7.00941589944	7.03925985999	7.06690742273	3.92252294365	4.02040150699	4.14160289492	3.52803536031	3.65138923409	3.77819492625	7.01542670883	7.19453656139	7.27961539942	3.95658290781	4.25271838141	4.43201473547	3.56618452356	3.85118971625	4.02413711023	-0.00601080939023	-0.155276701401	-0.212707976696	-0.0340599641653	-0.232316874423	-0.290411840547	-0.0381491632563	-0.199800482158	-0.245942183983
uc1.$b521775	7.48441116905	7.50478183163	7.50095447562	4.70359670938	4.65979471999	4.66662598042	4.3964958222	4.34311558455	4.31746396326	7.51844870976	7.65562094397	7.76871656781	4.53425271405	4.82263239239	4.93918315843	4.11939851059	4.47277018023	4.58640558976	-0.0340375407041	-0.150839112335	-0.26776209219	0.169343995334	-0.162837672396	-0.272557178008	0.277097311611	-0.129654595681	-0.2689416265
uiuo.ark+=13960=t50g41v61	5.53191004942	5.54982295436	5.67424492715	3.4347717157	3.33012741211	3.41225671939	3.24700482447	3.12859551364	3.20628308512	5.73777110019	5.81004311235	5.9048467059	3.62643961633	3.75689509043	3.83265579235	3.40810822465	3.54928256727	3.6169033819	-0.205861050765	-0.260220157993	-0.230601778744	-0.191667900637	-0.426767678317	-0.420399072965	-0.161103400182	-0.420687053629	-0.410620296774
njp.32101007979329	7.28465073966	7.34294530594	7.41892873545	3.68805103363	3.7671494238	3.8773138312	3.25966412124	3.36966547827	3.43557983617	7.26353551034	7.36552633493	7.50002468777	3.58698349839	3.84289946323	3.96735363631	3.20496015315	3.46318253928	3.54160867702	0.0211152293261	-0.0225810289909	-0.081095952318	0.101067535241	-0.0757500394301	-0.0900398051085	0.0547039680865	-0.0935170610033	-0.106028840848
mdp.39015064470837	7.17202380823	7.1748858162	7.13400683802	3.02244999432	3.19560928953	3.21135192849	2.6710466085	2.84029071219	2.85988024651	7.36074748752	7.38771529571	7.44169382442	3.06044285124	3.15224999323	3.27011466206	2.61934414318	2.76070847195	2.86730015776	-0.18872367929	-0.212829479512	-0.307686986403	-0.0379928569181	0.0433592963014	-0.0587627335691	0.0517024653176	0.0795822402325	-0.007419911245
uc2.ark+=13960=t5s757b3f	6.92668079275	6.94860304305	7.05143043608	4.68598216785	4.77473660533	4.91696817518	4.41371385331	4.49728098882	4.64958203108	6.79124730593	6.7363043484	6.76563758182	4.54801095496	4.50442750679	4.56684751825	4.27522177964	4.22698785151	4.28793507874	0.13543348682	0.212298694654	0.285792854264	0.137971212893	0.270309098541	0.350120656932	0.138492073663	0.27029313731	0.361646952345
uiuo.ark+=13960=t83j42z5r	5.37839711082	5.41699082689	5.6028869164	2.91296318493	3.00456727939	3.2007570235	2.73262443906	2.83319798425	3.0335901305	5.7723101979	5.855832556	5.98100120563	3.06020905908	3.26839265196	3.48916448149	2.83140269108	3.0341915486	3.25424424853	-0.393913087081	-0.438841729107	-0.37811428923	-0.147245874148	-0.263825372568	-0.288407457987	-0.0987782520263	-0.200993564345	-0.220654118031
mdp.39015071648567	6.5005936304	6.46472831821	6.47034014556	3.60028339981	3.50779754863	3.57187534164	3.32763916532	3.20012242465	3.27256389533	6.38665097607	6.39991409461	6.52808160706	3.53524767502	3.59136548214	3.80826180389	3.23775642046	3.29445793033	3.46027039376	0.113942654329	0.0648142235964	-0.0577414615063	0.0650357247956	-0.0835679335149	-0.236386462252	0.0898827448638	-0.0943355056808	-0.187706498434
uc2.ark+=13960=t47p8vz8r	6.95136693165	7.01266052455	7.06300966843	4.07389483707	4.12559655012	4.23544760899	3.71057009092	3.73115590371	3.84954323808	6.97403089439	7.07791294689	7.17700886754	4.01957485782	4.28329671394	4.42602250236	3.60878880998	3.88630886173	4.02621093543	-0.0226639627389	-0.0652524223355	-0.113999199108	0.0543199792542	-0.157700163822	-0.190574893371	0.101781280939	-0.155152958023	-0.176667697342
