docid	novelty_1.0_10	novelty_1.0_25	novelty_1.0_40	novelty_0.9_10	novelty_0.9_25	novelty_0.9_40	novelty_0.05_10	novelty_0.05_25	novelty_0.05_40	transience_1.0_10	transience_1.0_25	transience_1.0_40	transience_0.9_10	transience_0.9_25	transience_0.9_40	transience_0.05_10	transience_0.05_25	transience_0.05_40	resonance_1.0_10	resonance_1.0_25	resonance_1.0_40	resonance_0.9_10	resonance_0.9_25	resonance_0.9_40	resonance_0.05_10	resonance_0.05_25	resonance_0.05_40
uiuo.ark+=13960=t79s2b480	6.99422025082	7.05422077386	7.19837478061	6.77889477793	6.84217454942	6.99214820615	3.62519256922	3.76187855504	3.91198763208	7.0892945792	7.25981071371	7.36335458557	6.87638142405	7.06115795234	7.17748605989	3.95833013928	4.16452250696	4.44677567331	-0.095074328379	-0.20558993985	-0.164979804957	-0.0974866461189	-0.218983402919	-0.18533785374	-0.33313757006	-0.402643951925	-0.534788041229
uc2.ark+=13960=fk17m04204	5.05092802445	5.1156052713	5.24263841129	4.87765302253	4.95069691723	5.08164692692	3.52045245642	3.54809902617	3.69015484488	5.11824375327	5.22945045753	5.33031583704	4.969389808	5.08685121952	5.18986020615	3.63112822061	3.65298473671	3.70946393355	-0.0673157288167	-0.113845186226	-0.0876774257532	-0.0917367854629	-0.136154302287	-0.108213279233	-0.110675764187	-0.104885710541	-0.019309088668
uc1.b3562021	5.14614150462	5.1293358789	5.20457189463	4.94366959785	4.92329505412	4.99711074844	3.28748586467	3.32953661934	3.40263980503	5.24034146445	5.29380070752	5.3818887849	5.04834247133	5.10376340043	5.2000598547	3.34368648094	3.44419304787	3.58652980662	-0.0941999598255	-0.164464828617	-0.177316890272	-0.104672873474	-0.180468346308	-0.202949106258	-0.0562006162699	-0.114656428535	-0.183890001585
mdp.39015028781915	5.05418073327	5.13647393305	5.27430029416	4.86160181375	4.95231007194	5.09784505855	2.9712971945	3.10992089151	3.34717818768	4.79538484353	4.76984720756	4.79455615531	4.59907965267	4.57325971309	4.60348286298	2.78568971035	2.79084870942	2.84160716785	0.258795889741	0.366626725493	0.479744138849	0.262522161084	0.379050358845	0.49436219557	0.185607484148	0.319072182092	0.505571019834
uc1.b3546410	4.98091086956	5.20229129308	5.33295016003	4.77597127872	4.99759954269	5.13195894479	2.75611843504	2.92826390371	3.15601230802	5.18991384384	5.16345393663	5.18390526384	4.99285085987	4.96946232309	4.99238606698	2.95359101603	3.02022247112	3.05421294115	-0.209002974288	0.0388373564568	0.14904489619	-0.216879581151	0.0281372196035	0.139572877812	-0.197472580995	-0.0919585674048	0.101799366875
mdp.39015037426072	5.20357968374	5.33452070662	5.43127129225	4.99471666915	5.1303818124	5.229837151	3.05204773929	3.20075421732	3.30227031137	5.29285808526	nan	nan	5.09173485105	nan	nan	3.20215117148	nan	nan	-0.0892784015289	nan	nan	-0.0970181818944	nan	nan	-0.150103432189	nan	nan
mdp.39015062110948	5.59339809967	5.71319146565	5.81910105705	5.38656885171	5.50964921242	5.62454320682	3.50840399237	3.60174401936	3.74888906918	5.66329272314	5.6025847911	5.60031913339	5.46892833592	5.40819523738	5.40683525231	3.54926652132	3.51339197077	3.51135455556	-0.0698946234632	0.110606674555	0.218781923655	-0.0823594842149	0.101453975036	0.217707954513	-0.0408625289555	0.0883520485913	0.237534513625
hvd.hnp662	5.39276051949	5.60165448569	nan	5.14901651753	5.36381758608	nan	2.73178268859	3.009982229	nan	5.50252251187	5.64751139578	5.86801953072	5.2598029541	5.4149963119	5.64904049444	2.83244373643	3.0495718124	3.3792865499	-0.109761992387	-0.0458569100894	nan	-0.110786436564	-0.0511787258164	nan	-0.100661047842	-0.0395895833987	nan
nyp.33433076084767	7.71278829949	7.83370174216	7.93872214909	7.53594245873	7.661341239	7.77404960593	3.38220315453	3.67102717977	4.07681395417	7.74612351759	7.82934473786	7.95176144505	7.57879262807	7.66713314848	7.79361864998	3.50742862071	3.92277150711	4.15475697802	-0.0333352181038	0.00435700430122	-0.0130392959622	-0.0428501693356	-0.00579190948229	-0.0195690440527	-0.125225466183	-0.251744327338	-0.0779430238578
uiuo.ark+=13960=t2z32gs3c	4.77527694942	nan	nan	4.47736172717	nan	nan	2.734423615	nan	nan	4.95598219916	5.03762938398	5.12539908998	4.638061678	4.73941834703	4.84113156196	2.78468117633	2.80179455787	2.85451684966	-0.180705249738	nan	nan	-0.160699950824	nan	nan	-0.0502575613355	nan	nan
