docid	novelty_1.0_10	novelty_1.0_25	novelty_1.0_40	novelty_0.9_10	novelty_0.9_25	novelty_0.9_40	novelty_0.05_10	novelty_0.05_25	novelty_0.05_40	transience_1.0_10	transience_1.0_25	transience_1.0_40	transience_0.9_10	transience_0.9_25	transience_0.9_40	transience_0.05_10	transience_0.05_25	transience_0.05_40	resonance_1.0_10	resonance_1.0_25	resonance_1.0_40	resonance_0.9_10	resonance_0.9_25	resonance_0.9_40	resonance_0.05_10	resonance_0.05_25	resonance_0.05_40
uiuo.ark+=13960=t0qr52z1n	4.98941718053	5.15660918863	5.37605781468	4.73467365308	4.91166307903	5.14435580618	2.72493767614	2.91107097947	3.20465303465	5.10860344282	5.17372185951	5.32192148778	4.87990029377	4.94698659458	5.10317452505	2.86898424529	2.93082505078	3.12255484839	-0.119186262296	-0.0171126708803	0.0541363269079	-0.145226640696	-0.0353235155529	0.0411812811304	-0.144046569152	-0.0197540713122	0.0820981862595
dul1.ark+=13960=t91842h3v	4.72670409821	4.87994598064	5.04110150696	4.53543176493	4.6955691403	4.85959738487	2.87779237604	3.08236719385	3.28807708858	4.94633104867	5.06060296267	5.12768771918	4.76449308828	4.88817172886	4.95829289582	3.20855271044	3.31492457506	3.39234424666	-0.219626950462	-0.180656982028	-0.0865862122244	-0.229061323351	-0.192602588565	-0.098695510952	-0.330760334399	-0.232557381212	-0.10426715808
nyp.33433074866645	6.01972551095	5.9587393693	5.96836076467	5.79378319044	5.72169195407	5.73320226308	3.1350889596	2.99974692228	3.06340460188	6.02351865487	6.00551701005	6.06992968165	5.79707043257	5.77718930546	5.84463179517	3.22802865206	3.22689661944	3.310926621	-0.00379314391991	-0.0467776407527	-0.101568916977	-0.0032872421253	-0.055497351381	-0.111429532087	-0.0929396924664	-0.227149697152	-0.247522019119
uc1.$b323007	5.88660197991	6.02279034011	6.17801521703	5.68768474798	5.82224176211	5.98657843181	3.9298373668	3.97347672764	4.1892128047	5.68981193918	5.53737498216	5.49663544357	5.47380298239	5.31927441699	5.27305078136	3.55844608904	3.42572329221	3.41923734458	0.196790040735	0.485415357944	0.681379773467	0.21388176559	0.502967345112	0.713527650453	0.371391277752	0.54775343544	0.769975460123
nyp.33433082287511	5.14464408558	5.19514847147	5.36123999917	4.95749390912	5.00598527281	5.17720413579	3.06694928864	3.17479164267	3.55271283065	5.21746662858	5.32526882735	5.43113148485	5.03801225407	5.15403541253	5.2672473946	3.37401024087	3.58147017429	3.73484377425	-0.0728225429985	-0.13012035588	-0.0698914856723	-0.0805183449448	-0.148050139724	-0.0900432588138	-0.307060952237	-0.406678531621	-0.182130943598
mdp.39015059717069	6.18183425764	6.27329462575	6.32897252647	5.99841853551	6.08908556002	6.1466082157	3.46282025645	3.69187531606	3.83692071082	6.21978793471	6.23385442444	nan	6.02743709972	6.03706526462	nan	3.34791125625	3.26606434619	nan	-0.037953677068	0.0394402013162	nan	-0.0290185642083	0.0520202953977	nan	0.1149090002	0.425810969876	nan
hvd.hnnzpi	5.32592661558	5.2052519994	nan	5.03188096176	4.90794178262	nan	2.59418619707	2.73839808411	nan	5.57400991037	5.73948955866	5.95528368647	5.2989188993	5.47428452754	5.70648111484	2.90638847798	3.20649213888	3.47137236463	-0.248083294795	-0.534237559263	nan	-0.267037937546	-0.566342744919	nan	-0.312202280912	-0.46809405477	nan
mdp.39015067214059	6.07012794382	6.12911072776	6.18853468135	5.8505348438	5.91614700001	5.98218021924	3.35486198219	3.45895863994	3.58346344054	5.98463897392	6.06082939385	6.14320980006	5.77533730103	5.85248330421	5.93680801403	3.34959019542	3.37545143058	3.45794274274	0.0854889699012	0.0682813339118	0.04532488129	0.0751975427713	0.0636636958046	0.045372205215	0.00527178677276	0.0835072093578	0.125520697809
pst.000065163054	5.63807670112	5.67787865256	5.71349605454	5.44335900645	5.47663300298	5.51210148636	3.48825459259	3.50155496997	3.51734459512	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
uc2.ark+=13960=t6tx36r4m	5.19845053193	5.30825468607	5.33931033369	5.02219000249	5.1302687612	5.15715480971	3.31273230216	3.44158461758	3.46103591132	5.16845537949	5.32882750442	5.44108896092	4.98200961621	5.15101918667	5.26769560524	3.22235174692	3.44905289418	3.51914614122	0.0299951524347	-0.0205728183446	-0.101778627227	0.0401803862734	-0.020750425464	-0.110540795536	0.0903805552328	-0.00746827659871	-0.0581102298942
uc2.ark+=13960=t8kd1tf9w	5.00042905764	5.05467080105	5.15934722782	4.81558138117	4.87149369234	4.98342727371	3.40081091787	3.45055179938	3.60793888733	4.85438171296	4.85470845965	4.95862076826	4.67611839295	4.67290242831	4.77991713535	3.23816757294	3.06686938898	3.1553796108	0.146047344686	0.199962341399	0.200726459558	0.139462988225	0.198591264029	0.203510138364	0.162643344935	0.383682410397	0.452559276527
uc1.$b120190	4.81411107974	4.91010056253	5.0518838948	4.63697031067	4.72814482808	4.87305395483	3.0336661298	3.14818065165	3.31346482383	4.81335402929	4.7410407873	nan	4.63059625759	4.55792873326	nan	3.01951113271	2.93347677854	nan	0.000757050454524	0.169059775232	nan	0.00637405307299	0.170216094817	nan	0.0141549970835	0.214703873117	nan
mdp.39015014473113	5.6834240712	5.8865957197	6.05249935497	5.45387313822	5.67124598826	5.84822636456	3.16414008133	3.29647654076	3.40924518936	5.53138830117	5.53401751238	nan	5.2783566987	5.28138023096	nan	3.20952935406	3.19977772442	nan	0.152035770023	0.352578207323	nan	0.175516439529	0.389865757298	nan	-0.0453892727369	0.0966988163432	nan
uc1.b3751202	5.52477291341	5.56385041234	5.61971057675	5.36380871114	5.4020399089	5.46056364708	3.59357229251	3.66399859468	3.81243447753	5.4170464516	5.46348581048	5.49581183465	5.25654444098	5.30660368404	5.33794408344	3.49859495742	3.59903786136	3.64153447978	0.10772646181	0.100364601868	0.123898742101	0.107264270161	0.0954362248536	0.122619563639	0.0949773350879	0.0649607333167	0.170899997753
nyp.33433076094444	5.05207094318	5.0187931438	5.03911684492	4.86163844015	4.82512184071	4.84792011558	3.43349935237	3.43657847225	3.47514738116	5.02128360934	5.13118142305	5.202006784	4.8351245619	4.95229234306	5.02986277366	3.43665614303	3.53345708496	3.59809290705	0.0307873338405	-0.112388279245	-0.16288993908	0.0265138782501	-0.127170502358	-0.181942658085	-0.00315679065704	-0.0968786127013	-0.122945525889
njp.32101068167194	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.07792556168	4.21189176195	4.44617538186	3.75402849145	3.89030625551	4.13879842044	2.01665616256	2.09115435805	2.24832847919	nan	nan	nan	nan	nan	nan	nan	nan	nan
uc1.b3325715	7.53604589266	7.54947652805	7.59068678776	7.36083262024	7.37850906167	7.42159751792	4.3315747936	4.34974968129	4.35543848529	7.69957356885	7.79396675303	7.85193662603	7.53334244326	7.63965500634	7.70217056185	4.4754683749	4.87784514903	4.91666783194	-0.163527676187	-0.24449022498	-0.261249838263	-0.172509823026	-0.261145944676	-0.28057304393	-0.143893581299	-0.528095467735	-0.561229346653
uc1.b3687808	5.42419272253	5.61276931348	5.78854618238	5.19165856888	5.39572063922	5.57698104025	3.3494272645	3.58105649223	3.78692820285	5.21288445639	5.21928104933	5.22666236358	4.98250828223	4.97703856168	4.99017882668	3.01609354994	3.02228722602	3.06508609471	0.211308266139	0.393488264151	0.561883818801	0.209150286656	0.418682077541	0.58680221357	0.333333714562	0.558769266214	0.721842108149
uiuo.ark+=13960=t0rr24g8r	4.78013168046	4.84171630859	4.99245131644	4.57477678277	4.64569085449	4.80287254915	3.02383854762	3.08796871136	3.22739476272	4.69897943983	4.79647395195	4.96579411981	4.49325880976	4.59003662514	4.76876382015	2.96177310342	3.03365505346	3.18376858829	0.0811522406259	0.0452423566451	0.0266571966306	0.0815179730064	0.0556542293454	0.0341087289979	0.062065444198	0.0543136578991	0.043626174422
uc1.$b186672	5.88600570869	5.93948524729	6.08989086492	5.68409250716	5.73983800119	5.89875657545	3.66670787348	3.70048592342	3.88619943028	5.72348402864	5.78605269311	5.83752942134	5.5150056355	5.58589068486	5.64385416638	3.48505773092	3.57048341129	3.62269517604	0.162521680046	0.153432554179	0.252361443574	0.169086871664	0.153947316334	0.254902409074	0.181650142564	0.130002512138	0.263504254235
uc1.$b289593	5.00807624694	5.02076156205	5.09527627942	4.80787570935	4.81609259694	4.8923276266	3.29718737532	3.23869979333	3.27277513657	5.01013507992	5.00252550052	5.07691386005	4.81815007818	4.80916663081	4.88152990852	3.21594985216	3.12642730066	3.15287924583	-0.00205883298149	0.0182360615273	0.0183624193713	-0.010274368834	0.00692596613234	0.0107977180814	0.0812375231634	0.112272492673	0.119895890746
mdp.39015001782393	5.35137716281	5.43070910355	5.58192868134	5.15340771773	5.23460185528	5.39289655986	3.26179503105	3.49864566801	3.7118603111	4.96767544698	5.00057501432	5.02457056701	4.75925607815	4.79096204453	4.82024400762	2.93155735662	2.9989675905	3.04381742937	0.38370171583	0.430134089225	0.55735811433	0.394151639582	0.443639810752	0.572652552233	0.330237674429	0.499678077509	0.668042881728
mdp.39015031219234	4.61315171856	4.73137833194	4.84063704068	4.45003950399	4.57359101039	4.68307505244	3.00501458654	3.31420082501	3.44081118681	4.57584401723	4.59979738135	4.64448783914	4.42465880447	4.44729192907	4.49396724911	2.88556844567	2.90859529469	2.93433238974	0.0373077013245	0.131580950593	0.196149201542	0.025380699512	0.126299081318	0.189107803332	0.119446140867	0.405605530327	0.506478797072
mdp.39015002630328	5.31909965321	5.4111154786	5.5206531422	5.11776176176	5.21796831642	5.33089668933	3.30528309536	3.37675489203	3.48272873942	5.1633598615	5.22499794762	nan	4.97007369432	5.0220459646	nan	3.2218195697	3.31712064022	nan	0.15573979171	0.186117530978	nan	0.14768806744	0.195922351814	nan	0.0834635256511	0.05963425181	nan
uc1.$b105572	5.75185418047	5.94934776091	6.15449283256	5.53354932937	5.74434568272	5.95872122792	3.68215123055	3.99414564675	4.21788000865	5.42917236705	5.40629642878	5.40161409528	5.20086180081	5.17177266632	5.17392031985	3.29117505121	3.29829939918	3.2770046985	0.322681813413	0.543051332139	0.752878737287	0.332687528558	0.572573016394	0.784800908068	0.39097617934	0.695846247571	0.940875310152
mdp.39015065546130	6.54095132017	6.54669705422	6.52445141737	6.35740152104	6.35814044111	6.33164328119	4.24319154027	4.24093052733	4.18972853839	6.53399203884	6.39698453973	6.48844224729	6.36043974828	6.21347331263	6.30730455396	4.17126720636	3.92928428399	4.02080936964	0.00695928132859	0.149712514484	0.0360091700773	-0.00303822724123	0.144667128472	0.0243387272364	0.0719243339146	0.311646243342	0.168919168748
mdp.39015008697131	6.11239062565	6.18261139739	6.20492533299	5.93512296799	6.01265986566	6.03161258312	4.17608151875	4.30939964564	4.35641416112	6.05948079178	6.06164622535	6.10059284945	5.88311917343	5.89102629336	5.93098831718	4.10659286453	4.1435884794	4.19263077275	0.0529098338733	0.12096517204	0.104332483538	0.0520037945599	0.121633572295	0.100624265945	0.0694886542203	0.165811166236	0.163783388372
uc1.32106014996935	6.22123387167	6.26151364512	6.27472285749	6.05817966433	6.10399439071	6.11700958577	3.55917539503	3.71355127591	3.73695779671	6.07961275522	6.10152497107	6.16692066702	5.90555479337	5.92064886048	5.98839167242	3.44365955043	3.29682668665	3.33966772998	0.141621116454	0.159988674046	0.107802190475	0.152624870958	0.183345530228	0.128617913347	0.115515844596	0.416724589257	0.397290066732
uiuo.ark+=13960=t1qf98c0q	4.9523931335	5.1538748022	5.35953770013	4.72707079842	4.93197807029	5.15225724459	2.85356490435	3.1106064346	3.3393880795	5.08034850647	5.02739015839	5.10914659638	4.85714662163	4.81353765185	4.90485036929	2.96849123078	2.98669568574	3.07691294126	-0.127955372973	0.126484643809	0.250391103745	-0.130075823212	0.118440418435	0.247406875309	-0.114926326431	0.123910748861	0.262475138236
uiuo.ark+=13960=t14m9rq7t	5.18932982423	5.3793021448	5.57002715232	4.9773795277	5.17705571258	5.37674930522	3.22392887243	3.42092888409	3.71133643955	5.03074589541	4.99760813007	5.02810470825	4.80354725011	4.77620724395	4.80620311545	3.16896359116	3.14382341704	3.18704960167	0.158583928823	0.381694014735	0.541922444065	0.173832277595	0.400848468624	0.570546189767	0.0549652812705	0.277105467059	0.524286837885
uiuo.ark+=13960=t4vh5x307	4.96171405167	4.97681174238	5.07613045754	4.74181097715	4.75912384449	4.86461452012	3.03547050294	3.06705000416	3.18061975942	4.99588661795	5.12478499579	5.24346744616	4.78008758205	4.91894963716	5.04858690387	3.14430150538	3.31501148324	3.45148068156	-0.0341725662776	-0.147973253413	-0.167336988626	-0.0382766049051	-0.159825792676	-0.183972383754	-0.108831002439	-0.247961479078	-0.270860922137
nyp.33433075952923	5.60569312983	5.69800950714	5.78140338533	5.37730132402	5.47426758418	5.56699973506	3.06719673238	3.21643801654	3.3465131196	5.66862664143	5.7839827365	5.86178629028	5.46096191193	5.58799961938	5.66765302007	3.3633272857	3.48706192189	3.5709093328	-0.0629335115924	-0.0859732293585	-0.0803829049471	-0.0836605879083	-0.113732035202	-0.100653285014	-0.296130553316	-0.270623905353	-0.224396213204
nnc1.0037104497	8.84437095541	8.85201185357	8.86511157313	8.69158996277	8.6929894315	8.7087475116	4.35697208116	4.46437944733	4.60357736305	8.86444383657	8.92139195717	8.98018736753	8.70188168369	8.76855662399	8.83004168149	4.30596392398	4.60249660023	4.75157372702	-0.0200728811556	-0.0693801035984	-0.115075794395	-0.0102917209208	-0.075567192489	-0.121294169889	0.0510081571782	-0.138117152898	-0.147996363974
uc1.32106014594250	5.05311222814	5.10541713647	5.26252069769	4.85743138882	4.90653635066	5.06551282307	3.12209719147	3.06430801321	3.16813867133	4.91823655752	nan	nan	4.71171912722	nan	nan	2.85384980887	nan	nan	0.13487567062	nan	nan	0.145712261605	nan	nan	0.268247382597	nan	nan
uiuo.ark+=13960=t6931fm7g	5.87850626149	6.13926570955	nan	5.65112279145	5.93629310069	nan	3.40050623934	3.66719458325	nan	5.71873215572	5.79023983038	5.88750289146	5.49709900362	5.57463846309	5.67441478621	3.28418447004	3.38430550699	3.47035969984	0.159774105768	0.349025879165	nan	0.154023787826	0.361654637598	nan	0.116321769301	0.282889076267	nan
mdp.39015067178734	9.04867293209	8.98336823899	8.92017078678	8.87956393067	8.80898974962	8.74164878	5.05047160317	4.9921050386	4.94262728297	9.20875747529	9.27501066175	9.37269839774	9.04926740773	9.11990276423	9.22225081847	5.23162897586	5.54524295385	5.71331187797	-0.160084543209	-0.29164242276	-0.452527610966	-0.169703477058	-0.310913014614	-0.480602038476	-0.181157372687	-0.553137915247	-0.770684594994
mdp.39015063052487	5.49832078307	5.54705700458	5.62956241985	5.2983389346	5.35379733813	5.43974483324	3.29470393086	3.35413293584	3.48085507252	5.42989047761	5.52381649739	5.57159350503	5.23706286199	5.33785006504	5.38543976447	3.33882911324	3.45201764823	3.51837852734	0.0684303054589	0.023240507184	0.0579689148166	0.0612760726051	0.0159472730879	0.0543050687684	-0.0441251823858	-0.0978847123888	-0.0375234548172
mdp.39015053136886	5.46585414727	5.48839645857	5.54142635874	5.2813595506	5.30570596696	5.36434013871	3.53403299142	3.54914042927	3.68478269395	5.57092301339	5.60782150916	5.64299380711	5.39405802491	5.43484598524	5.47311167507	3.68276479218	3.66253126172	3.73138223942	-0.105068866124	-0.119425050595	-0.101567448366	-0.112698474309	-0.129140018284	-0.108771536364	-0.148731800756	-0.113390832447	-0.0465995454636
mdp.39015030739034	5.28749722886	5.33141612175	5.51900842464	5.06906514224	5.11667061338	5.31406498206	3.13289071505	3.30882788246	3.55118707263	5.03985126116	4.99281891265	4.98098938385	4.8122582855	4.76532424327	4.75589430865	2.90448256284	2.9239649872	2.94095151992	0.247645967709	0.338597209106	0.538019040786	0.256806856737	0.351346370118	0.558170673409	0.228408152218	0.384862895258	0.610235552703
mdp.39015063920121	5.5478569416	5.57316971843	5.63503625601	5.38586593446	5.41569559236	5.48065383093	3.94047855108	4.00294999807	4.09795999257	5.65810497058	5.71948399941	5.83840597248	5.50053679427	5.5714626275	5.69266465525	4.08695669273	4.13870089753	4.15969684191	-0.110248028982	-0.146314280988	-0.203369716474	-0.114670859811	-0.155767035137	-0.212010824321	-0.146478141645	-0.135750899466	-0.0617368493328
mdp.39015032586607	5.5793232932	5.71221337566	5.89197479239	5.32070531852	5.4591020844	5.64479550109	3.1002756317	3.20662450935	3.3498320162	5.5393393768	nan	nan	5.27197677837	nan	nan	3.09121168902	nan	nan	0.0399839163957	nan	nan	0.0487285401427	nan	nan	0.0090639426821	nan	nan
nyp.33433075743967	4.9677726715	4.96306903342	5.02210849629	4.77205208493	4.76732156462	4.82974356982	3.25725416336	3.30800608711	3.39750243681	4.98356110975	4.98415999708	5.02570647424	4.79718817304	4.80194339111	4.84701833121	3.3285253835	3.35090139611	3.32691119939	-0.0157884382507	-0.0210909636655	-0.00359797795075	-0.0251360881025	-0.03462182649	-0.0172747613916	-0.0712712201415	-0.0428953089916	0.0705912374149
uc1.b2829923	5.25861998048	5.37012280552	5.44742766851	5.05653730743	5.16779722108	5.25015807965	3.06689553003	3.19073149719	3.32037782771	5.20781964337	5.27560502809	5.33831176811	5.00908241371	5.08394900641	5.14961704884	2.94932931443	3.05776401293	3.15780858825	0.0508003371109	0.0945177774232	0.109115900402	0.0474548937232	0.0838482146673	0.100541030807	0.117566215598	0.132967484258	0.162569239465
mdp.39015063938347	4.9584239883	5.00164766054	5.13077363145	4.69911890073	4.74779527777	4.88892804681	2.71103708775	2.70744328518	2.92569036086	5.22598261099	5.26818435206	5.37975096951	4.98755583147	5.03649601022	5.15670990024	2.99487028577	3.08467323997	3.20869418218	-0.267558622686	-0.26653669152	-0.248977338065	-0.288436930745	-0.288700732444	-0.267781853426	-0.283833198027	-0.377229954788	-0.283003821318
inu.30000083762421	5.60528773747	5.73057613601	5.78043923954	5.4111141733	5.54521405622	5.59359400916	3.52629071298	3.75876398179	3.81102129116	5.54066560985	5.60043129636	5.61371954921	5.34351409606	5.40463093876	5.41840594302	3.24303438267	3.35567400317	3.38685360876	0.0646221276224	0.130144839657	0.166719690326	0.0676000772421	0.14058311746	0.175188066139	0.28325633031	0.403089978616	0.424167682399
uiuo.ark+=13960=t06w9vk5d	4.62705202693	nan	nan	4.23391468527	nan	nan	2.33039542871	nan	nan	4.92513502147	5.26215121844	5.46364881674	4.57694452757	4.93023717827	5.14537313938	2.43939471341	2.58730977132	2.68159039701	-0.298082994543	nan	nan	-0.343029842304	nan	nan	-0.108999284708	nan	nan
mdp.39015029174391	5.60423777028	5.69184219117	5.73397869685	5.38850298268	5.47885503969	5.52297416756	3.55473264458	3.59482977711	3.66671681509	5.58854052978	nan	nan	5.37872628178	nan	nan	3.5386887924	nan	nan	0.0156972405018	nan	nan	0.00977670090011	nan	nan	0.0160438521758	nan	nan
njp.32101074486992	11.4944071986	nan	nan	11.3274457732	nan	nan	4.70025115458	nan	nan	10.7935887507	10.8826305001	11.1034927753	10.5573670831	10.6478998894	10.887314138	2.96275899777	3.05883962064	3.38961455695	0.700818447822	nan	nan	0.770078690111	nan	nan	1.73749215681	nan	nan
osu.32435064814965	5.59217728926	5.71581793101	5.89499622364	5.3668894459	5.50201281341	5.68963461649	3.4363336341	3.60816507904	3.84170879129	5.50825033221	5.51302007674	5.51321451095	5.29983811429	5.30644107057	5.3072864891	3.4657039148	3.41611483384	3.4284518656	0.0839269570475	0.202797854267	0.38178171269	0.0670513316076	0.195571742835	0.382348127389	-0.0293702806975	0.192050245204	0.413256925686
uc1.$b86097	5.44276424517	5.58274224776	5.78518319514	5.23772996043	5.38997807555	5.60214018682	3.44087163993	3.60930383103	3.88910640979	5.30631925135	5.2854237943	5.25838336992	5.1069867491	5.08871996381	5.06288857984	3.34267313795	3.31064617736	3.27911698694	0.136444993819	0.297318453457	0.526799825226	0.130743211326	0.30125811174	0.539251606982	0.098198501983	0.298657653669	0.609989422852
nyp.33433081997797	10.1950800579	10.6032097914	nan	9.96092464128	10.4060473295	nan	6.09012925066	6.7466135347	nan	10.479526495	10.6637559135	10.8181687524	10.263655986	10.4522955837	10.6180341539	6.13537097427	6.1712182091	6.52032871403	-0.284446437148	-0.0605461221101	nan	-0.302731344719	-0.0462482541625	nan	-0.0452417236134	0.575395325607	nan
inu.30000114155934	5.44717312309	5.50198701168	5.5701978012	5.27644393351	5.33911456881	5.41052829382	3.5063256574	3.55854303449	3.69209506859	5.48806161753	5.52640906053	5.59528962578	5.32958786929	5.35707938174	5.42818981303	3.64945495925	3.58121695952	3.64554883675	-0.0408884944375	-0.0244220488495	-0.0250918245833	-0.053143935775	-0.0179648129253	-0.0176615192104	-0.143129301858	-0.0226739250301	0.0465462318414
uc1.$b185007	5.36631953771	5.56843036191	5.7823736897	5.07078581095	5.28267342448	5.51089342561	2.61605660012	2.73974228836	3.08298765635	5.4573336153	5.3886226602	5.37029248314	5.1650938608	5.10282591116	5.08177339541	2.5449896159	2.53117446397	2.52491394178	-0.091014077593	0.179807701719	0.412081206564	-0.0943080498492	0.179847513325	0.429120030203	0.0710669842208	0.208567824385	0.558073714573
uc1.$b56715	5.22053492907	5.3716983345	5.55689204828	5.02061138205	5.17679129121	5.37067379878	3.14668362745	3.4087787388	3.70906653488	5.15529029096	5.16195842801	5.20213334002	4.94026713354	4.95520771502	5.00024262355	3.22143493974	3.2038575656	3.26992951353	0.0652446381149	0.209739906492	0.354758708259	0.0803442485157	0.221583576185	0.370431175233	-0.0747513122913	0.204921173205	0.439137021349
mdp.39015008470554	5.38220837368	5.54673046503	5.74768941733	5.15322076623	5.32677192812	5.53920228881	3.11879874744	3.32144536627	3.59568668856	5.25168845299	5.20185602883	5.20600036202	5.01852598109	4.97213177113	4.98202178964	2.88338610094	2.84905348609	2.90127383128	0.130519920697	0.344874436202	0.541689055314	0.134694785141	0.35464015699	0.557180499162	0.235412646498	0.472391880181	0.694412857277
uc2.ark+=13960=t53f4nc0w	4.60680311235	4.68610268689	nan	4.31319383057	4.39413370166	nan	2.21523870515	2.34875238408	nan	4.39698395993	4.40107761995	4.65610140892	4.09544213327	4.10762700894	4.38032649892	1.94112096244	2.01450791022	2.26852256867	0.209819152423	0.28502506694	nan	0.217751697294	0.286506692719	nan	0.274117742708	0.334244473862	nan
