"docid"	"actualdate"	"earliestdate"	"firstpub"	"tags"	"recordid"	"OCLC"	"author"	"enumcron"	"title"	"gender"	"nationality"	"authsvols"
"uc2.ark+=13960=t55d8p14j"	1854	1843	1843	"vulgar"			"Stephens, Ann S"		"High life in New York"	"f"	"us"	47
"nyp.33433075741789"	1852	1845	1845	"vulgar"			"Reynolds, George W. M"		"The mysteries of the court of London"	"m"	"uk"	61
"uc1.b249620"	1853	1848	1848	"vulgar"			"Peppergrass, Paul"		"Shandy M'Guire, or, Tricks upon travellers : being a story of the north of Ireland"	"m"	"ir"	4
"njp.32101073308494"	1852	1849	1849	"vulgar"			"Manning, Anne"		"The maiden & married life of Mary Powell, afterwards Mistress Milton"	"f"	"uk"	66
"uc2.ark+=13960=t4wh2fh9b"	1850	1850	1850	"vulgar"			"Leighton, John"		"Christmas comes but once a year"	"m"	"uk"	2
"uc2.ark+=13960=t10p0ww49"	1866	1850	1850	"elite"	7680433	362799339	"Hawthorne, Nathaniel"	"<blank>"	"The scarlet letter"	"m"	"us"	437
"mdp.39015031908893"	1850	1850	1850	"elite"	601440	13279433	"Collins, Wilkie"	"v.1"	"Antonina;"	"m"	"uk"	231
"uc1.b3579114"	1850	1850	1850	"vulgar"			"Kimball, Richard B"		"Saint Leger, or, The threads of life"	"m"	"us"	18
"uc2.ark+=13960=t6m043s5h"	1860	1850	1850	"vulgar"			"Hall, S. C"		"Stories of the Irish peasantry"	"f"	"uk"	60
"mdp.39015031909669"	1850	1850	1850	"elite"	601440	13279433	"Collins, Wilkie"	"v.3"	"Antonina;"	"m"	"uk"	231
"mdp.39015031908901"	1850	1850	1850	"elite"	601440	13279433	"Collins, Wilkie"	"v.2"	"Antonina;"	"m"	"uk"	231
"uiuo.ark+=13960=t2697np18"	1851	1850	1850	"vulgar"			"Lytton, Rosina Bulwer Lytton"		"Miriam Sedley; or, The tares and the wheat"	"f"	"uk"	35
"uc1.b3548184"	1850	1850	1850	"vulgar"			"Warburton, Eliot"		"Reginald Hastings"	"m"	"ir"	4
"uiuo.ark+=13960=t5fb5p49z"	1851	1851	1851	"elite"	8718921	10571983	"Ponsonby, Emily"	"v.1"	"Clare Abbey, or, The trials of youth"	"f"	"uk"	33
"uiuo.ark+=13960=t9086r70j"	1851	1851	1851	"vulgar"			"Daniel, Mackenzie"		"Fernley Manor"	"f"	"uk"	12
"uc2.ark+=13960=t2h708h89"	1851	1851	1851	"vulgar"			"Pearson, Emily C"		"Jamie Parker, the fugitive"	"f"	"us"	2
"nyp.33433074872015"	1851	1851	1851	"vulgar"			"Howitt, Mary Botham"		"The heir of Wast-Wayland"	"f"	"uk"	61
"uiuo.ark+=13960=t0tq6857p"	1851	1851	1851	"elite"	8721272	8813745	"Dalrymple, J. Elphinstone"	"v.1"	"The Livingstones"	"f"	"uk"	3
"uc2.ark+=13960=t4rj4df5z"	1869	1851	1851	"vulgar"			"Mitchell, Donald Grant"		"Dream life"	"m"	"us"	60
"uc1.b4145140"	1852	1851	1851	"elite"	6166384	62096043	"Stowe, Harriet Beecher"	"<blank>"	"Uncle Tom's cabin"	"f"	"us"	108
"uc1.b4717980"	1860	1851	1851	"vulgar"			"Reid, Mayne"		"The war trail, or, The hunt of the wild horse"	"m"	"us"	177
"uc2.ark+=13960=t5h98zv6n"	1860	1851	1851	"vulgar"			"Luke, Jemima Thompson"		"The female Jesuit;"	"f"	"uk"	3
"uiuo.ark+=13960=t6834cj82"	1851	1851	1855	"elite"	8721569	21920615	"Oliphant, Margaret"	"v.2"	"Merkland"	"f"	"uk"	305
"uiuo.ark+=13960=t0tq6hk31"	1851	1851	1851	"elite"	8718921	10571983	"Ponsonby, Emily"	"v.2"	"Clare Abbey, or, The trials of youth"	"f"	"uk"	33
"uiuo.ark+=13960=t81k02901"	1851	1851	1851	"vulgar"			"Pinkney, Jane Vaughan"		"The young doctor"	"f"	"uk"	6
"uc1.b3327058"	1851	1851	1851	"vulgar"			"Murray, Hamilton"		"Falkenburg"	"f"	"uk"	10
"dul1.ark+=13960=t2f77261f"	1852	1851	1851	"vulgar"			"Perce, Elbert"		"Gulliver Joi, his three voyages"	"m"	"us"	2
"uiuo.ark+=13960=t8w95tp2x"	1851	1851	1851	"vulgar"			"Reid, Mayne"		"The scalp hunters"	"m"	"us"	177
"uiuo.ark+=13960=t5j96qq51"	1851	1851	1855	"elite"	8721569	21920615	"Oliphant, Margaret"	"v.3"	"Merkland"	"f"	"uk"	305
"uiuo.ark+=13960=t19k4x25q"	1851	1851	1855	"elite"	8721569	21920615	"Oliphant, Margaret"	"v.1"	"Merkland"	"f"	"uk"	305
"uc2.ark+=13960=t8tb0zk22"	1851	1851	1851	"elite"	7671220	16516558	"Roe, A. S"	"<blank>"	"To love and to be loved"		"us"	12
"uva.x030802597"	1851	1851	1851	"vulgar"			"Knight, Helen C"		"Hugh Fisher"	"f"	"us"	8
"njp.32101064715665"	1851	1851	1851	"vulgar"			"Southworth, Emma Dorothy Eliza Nevitte"		"Shannodale"	"f"	"us"	82
"mdp.39015063516614"	1851	1851	1851	"elite"	326943	1692038	"Borrow, George Henry"	"v.1"	"Lavengro;"	"m"	"uk"	23
"mdp.39015064466116"	1851	1851	1851	"elite"	326943	1692038	"Borrow, George Henry"	"v.2"	"Lavengro;"	"m"	"uk"	23
"mdp.39015064466108"	1851	1851	1851	"elite"	326943	1692038	"Borrow, George Henry"	"v.3"	"Lavengro;"	"m"	"uk"	23
"uc2.ark+=13960=t81j9d133"	1851	1851	1848	"vulgar"			"Watson, William Davy"		"Trevethlan"	"m"	"uk"	8
"nyp.33433076049380"	1852	1852	1852	"vulgar"			"Peterson, Charles J"		"The cabin and parlor; or, Slaves and masters"	"m"	"us"	4
"uiuo.ark+=13960=t3708cf7k"	1852	1852	1852	"vulgar"			"Belfast, Frederick Richard Chichester"		"The farce of life"	"m"	"uk"	9
"uc2.ark+=13960=t7dr2xx5g"	1852	1852	1852	"vulgar"			"Lowndes, Hannah Maria Jones"		"Katharine Bereford; or, The shade and sunshine of woman's life"	"f"	"uk"	2
"uc2.ark+=13960=t1xd10385"	1852	1852	1852	"vulgar"			"Bennett, Emerson"		"Viola; or, Adventures in the far South-west"	"m"	"us"	38
"uc1.b250587"	1852	1852	1852	"elite"	6502576	23201650	"Sinclair, Catherine"	"v. 3"	"Beatrice, or, The unknown relatives"	"f"	"uk"	40
"uc1.b3325180"	1852	1852	1852	"vulgar"			"Thompson, Daniel P"		"May Martin, and other tales of the Green Mountains"	"m"	"us"	15
"nyp.33433074862560"	1852	1852	1852	"vulgar"			"Gwynne, Talbot"		"The school for fathers"	"f"	"uk"	3
"nyp.33433074895990"	1852	1852	1852	"vulgar"			"McKinnon, William Charles"		"St. George; or, The Canadian league"	"m"	"ca"	2
"uiuo.ark+=13960=t6xw4qm1j"	1853	1852	1852	"vulgar"			"Cole, Alfred Whaley"		"Hope"	"m"	"uk"	2
"uc2.ark+=13960=t1xd0w07q"	1852	1852	1852	"elite"	7687042	9578697	"Craik, Dinah Maria Mulock"	"v.3"	"The head of the family"	"f"	"uk"	168
"uc1.b3325618"	1852	1852	1852	"elite"	6131755	22468470	"Marsh-Caldwell, Anne"	"v. 2"	"Castle Avon"	"f"	"uk"	97
