"docid"	"earliestdate"	"actualdate"	"tags"	"author"	"title"	"gender"	"nationality"	"authsvols"	"lastname"
"uiuo.ark+=13960=t42r4bj1d"	1867	1867	"vulgar"	"Kirkus, William"	"Only to be married"	"m"	"uk"	3	"Kirkus"
"uc2.ark+=13960=t1dj5fc10"	1867	1867	"elite"	"Ritchie, Anne Thackeray"	"The village on the cliff"	"f"	"uk"	46	"Ritchie"
"uiuo.ark+=13960=t6sx6t891"	1868	1868	"elite"	"MacDonald, George"	"Robert Falconer"	"m"	"uk"	144	"MacDonald"
"uc1.b3123856"	1868	1868	"vulgar"	"Houstoun"	"Sink or swim?"	"f"	"uk"	8	"Houstoun"
"uc2.ark+=13960=t1dj5fd8t"	1868	1902	"presentaselite"	"Whyte-Melville, G. J"	"The white rose"	"m"	"uk"	223	"Whyte-Melville"
"uc2.ark+=13960=t5q815w5z"	1868	1869	"vulgar"	"Dickinson, Anna E"	"What answer?"	"f"	"us"	6	"Dickinson"
"uiuo.ark+=13960=t7zk5np7c"	1868	1868	"vulgar"	"Blaze de Bury, Marie Pauline Rose"	"All for greed"	"f"	"uk"	2	"Blaze"
"uva.x000230249"	1868	1907	"elite"	"Turgenev, Ivan Sergeevich"	"The brigadier"	"m"	"russian"	391	"Turgenev"
"uiuo.ark+=13960=t3708kh4h"	1868	1868	"elite"	"MacDonald, George"	"Robert Falconer"	"m"	"uk"	144	"MacDonald"
"uiuo.ark+=13960=t8kd2h12s"	1868	1868	"elite"	"Lever, Charles James"	"The Bramleighs of Bishop's Folly"	"m"	"ir"	550	"Lever"
"uiuo.ark+=13960=t86h55691"	1868	1868	"elite"	"Lever, Charles James"	"The Bramleighs of Bishop's Folly"	"m"	"ir"	550	"Lever"
"uc1.b4109141"	1868	1868	"elite"	"Edwards, Amelia Ann Blanford"	"Norwood;"	"f"	"uk"	47	"Edwards"
"uiuo.ark+=13960=t50g48799"	1868	1868	"elite"	"Lever, Charles James"	"The Bramleighs of Bishop's Folly"	"m"	"ir"	550	"Lever"
"uiuo.ark+=13960=t7jq17z93"	1868	1868	"vulgar"	"Capes, J. M"	"The mosaic-worker's daughter"	"m"	"uk"	3	"Capes"
"uiuo.ark+=13960=t2r50508t"	1868	1868	"elite"	"MacDonald, George"	"Robert Falconer"	"m"	"uk"	144	"MacDonald"
"uiuo.ark+=13960=t3pv7527f"	1868	1868	"vulgar"	"Tabor, Eliza"	"Jeanie's quiet life"	"f"	"uk"	61	"Tabor"
"uiuo.ark+=13960=t6k07g132"	1869	1869	"vulgar"	"Gibbon, Charles"	"Robin Gray"	"m"	"uk"	37	"Gibbon"
"uiuo.ark+=13960=t3611dm26"	1869	1869	"vulgar"	"Gibbon, Charles"	"Robin Gray"	"m"	"uk"	37	"Gibbon"
"uc2.ark+=13960=t2v40kg0s"	1869	1873	"vulgar"	"Droz, Gustave"	"Around a spring"	"m"	"french"	5	"Droz"
"nyp.33433074940838"	1869	1886	"elite"	"Blackmore, R. D"	"Lorna Doone"	"m"	"uk"	108	"Blackmore"
"njp.32101068972775"	1869	1871	"elite"	"Lawrence, George A"	"Anteros"	"m"	"uk"	24	"Lawrence"
"njp.32101065841254"	1869	1876	"elite"	"Scudder, Horace Elisha"	"Stories from my attic"	"m"	"us"	35	"Scudder"
"uiuo.ark+=13960=t0pr8g01w"	1869	1869	"elite"	"McCarthy, Justin"	"My enemy's daughter"	"m"	"uk"	42	"McCarthy"
"njp.32101064632746"	1869	1869	"vulgar"	"Sikes, Wirt"	"One poor girl"	"m"	"us"	1	"Sikes"
"uiuo.ark+=13960=t3cz3kz69"	1869	1869	"vulgar"	"Gibbon, Charles"	"Robin Gray"	"m"	"uk"	37	"Gibbon"
"uiuo.ark+=13960=t4zg79m6r"	1869	1869	"elite"	"McCarthy, Justin"	"My enemy's daughter"	"m"	"uk"	42	"McCarthy"
"nyp.33433074858089"	1869	1869	"elite"	"Helps, Arthur"	"Realmah"	"m"	"uk"	14	"Helps"
"uc2.ark+=13960=t5q815z5v"	1869	1869	"elite"	"Harte, Bret"	"The luck of Roaring Camp"	"m"	"us"	474	"Harte"
"wu.89098011976"	1869	1869	"elite"	"Berriedale"	"Unforgiven"			2	"Berriedale"
"uiuo.ark+=13960=t96694c25"	1869	1869	"elite"	"McCarthy, Justin"	"My enemy's daughter"	"m"	"uk"	42	"McCarthy"
"uc2.ark+=13960=t3st7kr2j"	1869	1869	"vulgar"	"Hemyng, Bracebridge"	"Held in thrall"	"m"	"uk"	18	"Hemyng"
"nyp.33433075752299"	1869	1869	"vulgar"	"Speight, T. W"	"Under lock and key"	"m"	"uk"	12	"Speight"
"uiuo.ark+=13960=t13n2tm28"	1869	1869	"vulgar"	"Veitch, Sophie F. F"	"Wise as a serpent"	"f"	"uk"	4	"Veitch"
"uc2.ark+=13960=t5q81d957"	1869	1869	"vulgar"	"Jerrold, Blanchard"	"Cent per cent"	"m"	"uk"	5	"Jerrold"
"nyp.33433082548342"	1869	1869	"vulgar"	"Griswold, F. Burge"	"May"	"f"	"us"	7	"Griswold"
"uc2.ark+=13960=t0ks6ps96"	1870	1870	"elite"	"Disraeli, Benjamin"	"Lothair"	"m"	"uk"	285	"Disraeli"
"uc2.ark+=13960=t6d21xm9t"	1870	1870	"elite"	"Disraeli, Benjamin"	"Lothair"	"m"	"uk"	285	"Disraeli"
"uc2.ark+=13960=t2j67fx2g"	1870	1870	"elite"	"Disraeli, Benjamin"	"Lothair"	"m"	"uk"	285	"Disraeli"
"nnc1.cu55529143"	1870	1870	"vulgar"	"Bradford, O. K"	"Mystery explained; or, Additional evidence"	"m"	"us"	1	"Bradford"
"uc2.ark+=13960=t6sx69c95"	1870	1870	"vulgar"	"Wood, Ellen"	"Bessy Rane"	"f"	"uk"	232	"Wood"
"nyp.33433082174727"	1870	1871	"vulgar"	"Clemmer, Mary"	"Eirene;"	"f"	"us"	5	"Clemmer"
"njp.32101067707925"	1870	1874	"elite"	"Benedict, Frank Lee"	"Miss Van Kortland"	"m"	"us"	13	"Benedict"
"uc1.$b799928"	1870	1878	"elite"	"Swift, John Franklin"	"Robert Greathouse"	"m"	"us"	1	"Swift"
"uiuo.ark+=13960=t0qr5b28p"	1870	1870	"vulgar"	"Leigh, Alfred"	"Maud Atherton"	"m"	"uk"	4	"Leigh"
"uc1.b3578514"	1870	1870	"vulgar"	"Ainsworth, William Harrison"	"Mervyn Clithero"	"m"	"uk"	319	"Ainsworth"
"uiuo.ark+=13960=t59c77k98"	1870	1870	"vulgar"	"Bothmer, Marie"	"Strong hands and steadfast hearts"	"f"	"uk"	6	"Bothmer"
"nyp.33433008143475"	1870	1870	"vulgar"	"Stretton, Hesba"	"Nelly's dark days"	"f"	"uk"	27	"Stretton"
"nyp.33433074857800"	1870	1870	"elite"	"Neil, Ross"	"The heir expectant"	"f"	"uk"	10	"Neil"
"nyp.33433075936462"	1870	1870	"elite"	"Jenkins, Edward"	"Ginx's baby"	"m"	"uk"	15	"Jenkins"
"nyp.33433075761985"	1870	1870	"vulgar"	"Smart, Hawley"	"A race for a wife"	"m"	"uk"	78	"Smart"
"uc2.ark+=13960=t53f4mh08"	1870	1870	"vulgar"	"Bradley, Mary E"	"A wrong confessed is half redressed"	"f"	"us"	5	"Bradley"
"nyp.33433082523873"	1870	1870	"elite"	"Alcott, Louisa May"	"an old-fashioned girl"	"f"	"us"	79	"Alcott"
"uc1.b4102284"	1870	1870	"vulgar"	"Taylor, Winifred"	"Rupert Rochester, the banker's son"			1	"Taylor"
"uiuo.ark+=13960=t39z9hj0v"	1870	1870	"vulgar"	"Author of No appeal"	"Gerald Hastings of Barton"	"u"		3	"Author"
