"docid"	"earliestdate"	"actualdate"	"tags"	"author"	"title"	"gender"	"nationality"	"authsvols"	"lastname"
"uc2.ark+=13960=t1mg7mm2m"	1875	1875	"elite"	"Gift, Theo"	"Pretty Miss Bellew;"	"f"	"uk"	4	"Gift"
"uiuo.ark+=13960=t9183tc29"	1875	1875	"elite"	"MacDonald, George"	"Malcolm"	"m"	"uk"	144	"MacDonald"
"uiuo.ark+=13960=t58d0f39v"	1875	1875	"elite"	"MacDonald, George"	"Malcolm"	"m"	"uk"	144	"MacDonald"
"mdp.39015033520456"	1875	1907	"presentaselite"	"Aldrich, Thomas Bailey"	"The writings of Thomas Bailey Aldrich"	"m"	"us"	114	"Aldrich"
"uc2.ark+=13960=t15m6701g"	1875	1875	"vulgar"	"Mathers, Helen"	"Comin' thro' the rye"	"f"	"uk"	38	"Mathers"
"uiuo.ark+=13960=t20c59n08"	1875	1875	"vulgar"	"Dering, Edward Heneage"	"Sherborne, or, The house at the four ways"	"m"	"uk"	5	"Dering"
"uiuo.ark+=13960=t49p3pp7b"	1875	1875	"vulgar"	"Tabor, Eliza"	"Eglantine"	"f"	"uk"	61	"Tabor"
"nyp.33433074940861"	1875	1875	"elite"	"Twain, Mark"	"The adventures of Tom Sawyer"	"m"	"us"	509	"Twain"
"uc1.b3322489"	1875	1875	"vulgar"	"Hawthorne, Julian"	"Garth"	"m"	"us"	103	"Hawthorne"
"nyp.33433075763866"	1875	1875	"vulgar"	"Walsingham, Charlotte"	"Annette;"	"f"	"us"	1	"Walsingham"
"uc2.ark+=13960=t7np1x57p"	1876	1876	"elite"	"Hale, Edward Everett"	"Philip Nolan's friends"	"m"	"us"	80	"Hale"
"uc2.ark+=13960=t1pg1nv9w"	1876	1876	"elite"	"Broughton, Rhoda"	"Joan"	"f"	"uk"	87	"Broughton"
"mdp.39015063761210"	1876	1876	"elite"	"Black, William"	"Madcap Violet"	"m"	"uk"	279	"Black"
"mdp.39015005616654"	1876	1876	"vulgar"	"Brown, Oliver Madox-"	"The Dwale bluth"	"m"	"uk"	2	"Brown"
"mdp.39015063761202"	1876	1876	"elite"	"Black, William"	"Madcap Violet"	"m"	"uk"	279	"Black"
"njp.32101068175080"	1876	1876	"vulgar"	"Butler, William Allen"	"Mrs. Limber's raffle, or, A church fair and its victims"	"m"	"us"	5	"Butler"
"uc2.ark+=13960=t21c1zs54"	1876	1876	"elite"	"Broughton, Rhoda"	"Joan"	"f"	"uk"	87	"Broughton"
"uc2.ark+=13960=t5x63gm9z"	1876	1876	"elite"	"Broughton, Rhoda"	"Joan"	"f"	"uk"	87	"Broughton"
"uiuo.ark+=13960=t16m3hs4q"	1876	1876	"vulgar"	"Chandler, W. A"	"Thrice"	"u"		2	"Chandler"
"njp.32101068166055"	1876	1876	"vulgar"	"Charlesworth, Maria Louisa"	"Oliver of the mill"	"f"	"uk"	10	"Charlesworth"
"mdp.39015063761228"	1876	1876	"elite"	"Black, William"	"Madcap Violet"	"m"	"uk"	279	"Black"
"uc2.ark+=13960=t5k93292h"	1876	1876	"vulgar"	"Finley, Martha"	"Mildred Keith"	"f"	"us"	71	"Finley"
"nyp.33433074871439"	1876	1876	"presentaselite"	"Keary, Annie"	"A York and a Lancaster rose"	"f"	"uk"	17	"Keary"
"nyp.33433074835400"	1876	1876	"vulgar"	"Bellamy, Elizabeth W"	"The little Joanna"	"f"	"us"	3	"Bellamy"
"uc2.ark+=13960=t9t15276t"	1876	1876	"elite"	"MacDonald, George"	"Thomas Wingfold, curate"	"m"	"uk"	144	"MacDonald"
"uiuo.ark+=13960=t1hh6x71z"	1876	1876	"presentaselite"	"Grant, James"	"Morley Ashton"	"m"	"uk"	93	"Grant"
"uiuo.ark+=13960=t2794f36r"	1877	1877	"elite"	"Allardyce, Alexander"	"The city of sunshine"	"m"	"uk"	7	"Allardyce"
"uiuo.ark+=13960=t0ht34v35"	1877	1877	"vulgar"	"Lloyd, Jessie Sale"	"The Hazelhurst mystery"		"uk"	5	"Lloyd"
"mdp.39015053262294"	1877	1899	"vulgar"	"Jokai, Mór"	"Pretty Michal"	"m"	"hungary"	76	"Jokai"
"uc2.ark+=13960=t7xk87j6z"	1877	1877	"vulgar"	"Forrester, Mrs"	"Mignon"	"f"	"uk"	17	"Forrester"
"uiuo.ark+=13960=t17m0j24w"	1877	1877	"elite"	"Allardyce, Alexander"	"The city of sunshine"	"m"	"uk"	7	"Allardyce"
"uiuo.ark+=13960=t39z9dj6h"	1877	1877	"elite"	"Allardyce, Alexander"	"The city of sunshine"	"m"	"uk"	7	"Allardyce"
"uc1.b4104982"	1877	1877	"elite"	"Burnett, Frances Hodgson"	"That lass o' Lowrie's"	"f"	"us"	166	"Burnett"
"nyp.33433074888961"	1877	1877	"vulgar"	"Linton, E. Lynn"	"From dreams to waking"	"f"	"uk"	50	"Linton"
"uiuo.ark+=13960=t1bk1r841"	1877	1877	"vulgar"	"De Fonblanque, Albany"	"Bad luck"	"m"	"uk"	18	"De"
"nyp.33433081852638"	1877	1877	"elite"	"James, Henry"	"The American"	"m"	"us"	543	"James"
"uiuo.ark+=13960=t44q8885q"	1877	1877	"vulgar"	"Edwards, Matilda Betham"	"Bridget"	"f"	"uk"	3	"Edwards"
"uiuo.ark+=13960=t12n5tf8r"	1877	1877	"vulgar"	"Durrant, Valentine"	"A modern minister"	"m"	"uk"	2	"Durrant"
"njp.32101067634459"	1878	1878	"elite"	"Hamerton, Philip Gilbert"	"Marmorne"	"m"	"uk"	14	"Hamerton"
"uiuo.ark+=13960=t53f5dr3r"	1878	1878	"vulgar"	"Vereker, Charles Smyth"	"The child of the desert"	"m"	"uk"	3	"Vereker"
"wu.89099776841"	1878	1878	"elite"	"Craik, Dinah Maria Mulock"	"Young Mrs. Jardine"	"f"	"uk"	168	"Craik"
"uiuo.ark+=13960=t3st7v616"	1878	1878	"vulgar"	"Armitt, Annie"	"The garden at Monkholme"	"f"	"uk"	3	"Armitt"
"uiuo.ark+=13960=t43r1cm88"	1878	1878	"vulgar"	"Lockhart, Laurence W. M"	"Mine is thine"	"m"	"uk"	10	"Lockhart"
"nyp.33433076049794"	1879	1879	"vulgar"	"Rayne, M. L"	"Fallen among thieves"	"f"	"us"	6	"Rayne"
"uiuo.ark+=13960=t7tm7kq3x"	1879	1879	"vulgar"	"Edwards, Harry Bennett"	"A tantalus cup;"			3	"Edwards"
"inu.39000003330789"	1879	1879	"elite"	"Fothergill, Jessie"	"Probation"	"f"	"uk"	48	"Fothergill"
"uiuo.ark+=13960=t2h70xd4w"	1879	1879	"elite"	"Keary, Annie"	"A doubting heart"	"f"	"uk"	17	"Keary"
"uiuo.ark+=13960=t1sf38n52"	1879	1879	"elite"	"Keary, Annie"	"A doubting heart"	"f"	"uk"	17	"Keary"
"nyp.33433082353768"	1879	1884	"elite"	"Kingston, William Henry Giles"	"From powder monkey to admiral"	"m"	"uk"	66	"Kingston"
"mdp.39015063961315"	1879	1880	"elite"	"[Sprague, Mary Aplin]"	"An earnest trifler"	"f"	"us"	1	"Sprague"
"inu.39000003330797"	1879	1879	"elite"	"Fothergill, Jessie"	"Probation"	"f"	"uk"	48	"Fothergill"
"nnc1.cu58327010"	1879	1879	"vulgar"	"O'Reilly, Bernard"	"The two brides"	"m"	"ir"	3	"O'Reilly"
"uiuo.ark+=13960=t4hm5w02c"	1879	1879	"vulgar"	"Noble, Frances"	"Violet Mortimer"	"u"		3	"Noble"
"dul1.ark+=13960=t3nw0276b"	1879	1879	"vulgar"	"Linton, E. Lynn"	"Under which Lord?"	"f"	"uk"	50	"Linton"
"uiuo.ark+=13960=t1wd4h96x"	1879	1879	"vulgar"	"Tabor, Eliza"	"The last of her line"	"f"	"uk"	61	"Tabor"
"uc2.ark+=13960=t04x54r17"	1879	1879	"vulgar"	"Finley, Martha"	"Mildred at Roselands;"	"f"	"us"	71	"Finley"
"uiuo.ark+=13960=t7hq4fp6c"	1879	1879	"elite"	"Keary, Annie"	"A doubting heart"	"f"	"uk"	17	"Keary"
"uiuo.ark+=13960=t0vq3kb3w"	1879	1879	"vulgar"	"Newall, John"	"Nature's nobility"	"m"		3	"Newall"
"nyp.33433074869375"	1879	1879	"elite"	"Ingelow, Jean"	"Sarah de Berenger"	"f"	"uk"	24	"Ingelow"
"inu.39000003330680"	1879	1879	"elite"	"Fothergill, Jessie"	"Probation"	"f"	"uk"	48	"Fothergill"
"mdp.39015065957253"	1879	1879	"vulgar"	"Yonge, Charlotte M"	"Magnum bonum, or Mother Carey's brood"	"f"	"uk"	218	"Yonge"
"nnc1.1002208741"	1879	1879	"vulgar"	"Perry, Alice"	"More ways than one"	"f"	"us"	2	"Perry"
"nyp.33433018442024"	1879	1879	"vulgar"	"Garvice, Charles"	"The story of a passion"	"m"	"uk"	26	"Garvice"
"uiuo.ark+=13960=t78s57g82"	1879	1879	"vulgar"	"Knight, Wynter Frore"	"Our vicar"	"u"		3	"Knight"
"uva.x030788142"	1879	1879	"elite"	"Butt, Beatrice May"	"Delicia"	"f"	"uk"	5	"Butt"
"uc2.ark+=13960=t09w0b884"	1879	1879	"elite"	"Elliott, Sarah Barnwell"	"The Felmeres"	"f"	"us"	8	"Elliott"
"uc2.ark+=13960=t84j0cp08"	1879	1879	"vulgar"	"Montgomery, Florence"	"Seaforth"	"f"	"uk"	29	"Montgomery"
"uc2.ark+=13960=t17m04t77"	1879	1879	"elite"	"Cable, George Washington"	"Old Creole days"	"m"	"us"	63	"Cable"
"nyp.33433076072028"	1879	1879	"elite"	"Jewett, Sarah Orne"	"Old friends and new"	"f"	"us"	73	"Jewett"
"nc01.ark+=13960=t74t73k55"	1879	1879	"elite"	"Tourgée, Albion Winegar"	"Figs and thistles"	"m"	"us"	36	"Tourgée"
"njp.32101068176658"	1879	1879	"elite"	"Douglas, Amanda Minnie"	"Hope mills;"	"f"	"us"	38	"Douglas"
"uc2.ark+=13960=t1qf8t16c"	1879	1879	"presentaselite"	"Taylor, Meadows"	"Tara"	"m"	"uk"	35	"Taylor"
"njp.32101066107804"	1879	1879	"elite"	"O'Reilly, John Boyle"	"Moondyne: a story from the underworld"	"m"	"ir"	3	"O'Reilly"
"uiuo.ark+=13960=t1qf91c76"	1880	1880	"vulgar"	"Colvill, Helen Hester"	"A dreamer"	"f"	"uk"	9	"Colvill"
"njp.32101079670517"	1880	1909	"elite"	"James, Henry"	"The portrait of a lady"	"m"	"us"	543	"James"
"uc2.ark+=13960=t4vh5db24"	1880	1880	"vulgar"	"Miller, Thomas"	"Little Blue Hood"	"m"	"uk"	16	"Miller"
"uc2.ark+=13960=t25b01m57"	1880	1880	"vulgar"	"Brame, Charlotte M"	"Repented at leisure"	"f"	"uk"	21	"Brame"
"njp.32101063607269"	1880	1880	"vulgar"	"Marryat, Florence"	"Fighting the air"	"f"	"uk"	83	"Marryat"
"uiuo.ark+=13960=t8sb41f1t"	1880	1882	"elite"	"Adams, Henry"	"Democracy"	"m"	"us"	3	"Adams"
"mdp.39015012373794"	1880	1880	"vulgar"	"Mayo, Isabella (Fyvie)"	"Her object in life"	"f"	"uk"	1	"Mayo"
"uc1.b3322001"	1880	1880	"vulgar"	"Buxton, B. H"	"Nell"	"f"	"uk"	4	"Buxton"
"nyp.33433074952148"	1880	1880	"vulgar"	"Currier, Emma C"	"Hubbub"			1	"Currier"
"uc1.b3327527"	1880	1880	"vulgar"	"Payn, James"	"Married beneath him"	"m"	"uk"	109	"Payn"
"uiuo.ark+=13960=t2b85wr4n"	1880	1880	"vulgar"	"Christie-Murray, David"	"A life's atonement"	"m"	"uk"	5	"Christie-Murray"
"nyp.33433074945746"	1880	1880	"remove"	"Collins, Wilkie"	"I say no; or, The love-letter answered;"	"m"	"uk"	231	"Collins"
"uc1.b3048116"	1880	1880	"vulgar"	"Du Boisgobey, Fortuné"	"Sensational novels"	"m"	"french"	28	"Du"
"wu.89090340324"	1880	1880	"vulgar"	"Buxton, B. H"	"From the wings"	"f"	"uk"	4	"Buxton"
"uiuo.ark+=13960=t2d79qg2t"	1880	1880	"vulgar"	"Greg, Percy"	"Errant"	"m"	"uk"	17	"Greg"
"nyp.33433034410054"	1880	1880	"vulgar"	"Carey, Rosa Nouchette"	"Nellie's memories;"	"f"	"uk"	113	"Carey"
"uc2.ark+=13960=t0ht2v58x"	1880	1880	"vulgar"	"Gowing, Aylmer"	"My only love;"	"f"	"uk"	4	"Gowing"
"nc01.ark+=13960=t05x2rh1q"	1880	1880	"vulgar"	"Goff, H. N. K"	"Other fools and their doings"	"f"	"us"	2	"Goff"
"njp.32101066459908"	1880	1880	"vulgar"	"Goulding, F. R"	"Adventures among the Indians"	"m"	"us"	3	"Goulding"
"uiuo.ark+=13960=t7hq4m576"	1880	1880	"elite"	"Walford, Lucy Bethia"	"Troublesome daughters"	"f"	"uk"	34	"Walford"
"wu.89097996409"	1880	1880	"vulgar"	"Libbey, Laura Jean"	"Little Rosebud's lovers, or, A cruel revenge"	"f"	"us"	10	"Libbey"
"nnc1.cu58507493"	1880	1880	"vulgar"	"Sala, George Augustus"	"Quite alone;"	"m"	"uk"	35	"Sala"
"uiuo.ark+=13960=t5t72pq4d"	1880	1880	"elite"	"Aïdé, Hamilton"	"Poet and peer"	"m"	"uk"	14	"Aïdé"
"uc2.ark+=13960=t9j38r92d"	1880	1880	"vulgar"	"Valentine, L"	"We three boys"			4	"Valentine"
"uiuo.ark+=13960=t2v41110q"	1880	1880	"elite"	"Aïdé, Hamilton"	"Poet and peer"	"m"	"uk"	14	"Aïdé"
"uiuo.ark+=13960=t3417852c"	1880	1880	"elite"	"Aïdé, Hamilton"	"Poet and peer"	"m"	"uk"	14	"Aïdé"
"mdp.39015030851763"	1880	1880	"elite"	"Blackmore, R. D"	"Mary Anerley"	"m"	"uk"	108	"Blackmore"
"mdp.39015030851755"	1880	1880	"elite"	"Blackmore, R. D"	"Mary Anerley"	"m"	"uk"	108	"Blackmore"
"uc1.b249560"	1880	1880	"elite"	"Broughton, Rhoda"	"Second thoughts"	"f"	"uk"	87	"Broughton"
"uc1.b249559"	1880	1880	"elite"	"Broughton, Rhoda"	"Second thoughts"	"f"	"uk"	87	"Broughton"
"uiuo.ark+=13960=t0tq6k46g"	1880	1880	"elite"	"Walford, Lucy Bethia"	"Troublesome daughters"	"f"	"uk"	34	"Walford"
"uiuo.ark+=13960=t7tm7tp6t"	1880	1880	"vulgar"	"Praed, Campbell"	"An Australian heroine"	"f"	"au"	45	"Praed"
"uiuo.ark+=13960=t5h99sh0k"	1880	1880	"elite"	"Walford, Lucy Bethia"	"Troublesome daughters"	"f"	"uk"	34	"Walford"
"uc2.ark+=13960=t6736nr4k"	1880	1880	"vulgar"	"Hawthorne, Julian"	"Garth: a novel"	"m"	"us"	103	"Hawthorne"
"nc01.ark+=13960=t6b28c502"	1880	1880	"elite"	"Tourgée, Albion Winegar"	"Bricks without straw"	"m"	"us"	36	"Tourgée"
"uc2.ark+=13960=t9r20sh4z"	1880	1880	"elite"	"Latimer, Elizabeth Wormeley"	"Salvage"	"f"	"us"	8	"Latimer"
"njp.32101068168929"	1880	1880	"elite"	"Fothergill, Jessie"	"The wellfields"	"f"	"uk"	48	"Fothergill"
"njp.32101068168911"	1880	1880	"elite"	"Fothergill, Jessie"	"The wellfields"	"f"	"uk"	48	"Fothergill"
"nyp.33433076043052"	1880	1880	"vulgar"	"Roe, Edward Payson"	"An original belle"	"m"	"us"	91	"Roe"
"njp.32101042563039"	1880	1880	"elite"	"Bellamy, Edward"	"--Dr. Heidenhoff's process"	"m"	"us"	19	"Bellamy"
"uc2.ark+=13960=t05x2648j"	1880	1880	"elite"	"Aldrich, Thomas Bailey"	"The stillwater tragedy"	"m"	"us"	114	"Aldrich"
"njp.32101068168903"	1880	1880	"elite"	"Fothergill, Jessie"	"The wellfields"	"f"	"uk"	48	"Fothergill"
"uc2.ark+=13960=t4sj1d326"	1880	1880	"elite"	"Cooke, John Esten"	"The Virginia Bohemians;"	"m"	"us"	54	"Cooke"
"uc1.b249764"	1881	1881	"elite"	"Fawcett, Edgar"	"A gentleman of leisure"	"m"	"us"	35	"Fawcett"
"njp.32101068178340"	1881	1881	"vulgar"	"Henty, G. A"	"The cornet of horse"	"m"	"uk"	600	"Henty"
"nyp.33433076023245"	1881	1881	"vulgar"	"Newell, Charles Martin"	"Kalani of Oahu"	"m"	"us"	4	"Newell"
"uiuo.ark+=13960=t3126gn25"	1881	1881	"vulgar"	"Lean, Florence"	"My sister the actress"	"f"	"uk"	15	"Lean"
"nyp.33433084129646"	1881	1881	"vulgar"	"Leslie, Madeline"	"The two homes; or, Earning and spending"	"f"	"us"	48	"Leslie"
"mdp.39015059375942"	1881	1881	"vulgar"	"Bynner, Edwin Lassetter"	"Damen's ghost"	"m"	"us"	18	"Bynner"
"uiuo.ark+=13960=t7dr3dc21"	1881	1881	"vulgar"	"Middlemass, Jean"	"Sackcloth and broadcloth"	"f"	"uk"	9	"Middlemass"
"nyp.33433082170790"	1881	1881	"vulgar"	"Alexander, M"	"Going west"	"m"	"us"	1	"Alexander"
"uiuo.ark+=13960=t9z03rv69"	1881	1881	"elite"	"Shorthouse, J. H"	"John Inglesant;"	"m"	"uk"	29	"Shorthouse"
"uc1.32106002062997"	1881	1881	"elite"	"Burnett, Frances Hodgson"	"A fair barbarian"	"f"	"us"	166	"Burnett"
"uva.x000956960"	1882	1882	"elite"	"Howells, William Dean"	"A woman's reason"	"m"	"us"	327	"Howells"
"njp.32101068169505"	1882	1882	"elite"	"Gerard, E"	"Beggar my neighbor"	"f"	"uk"	11	"Gerard"
"uiuo.ark+=13960=t01z4t30j"	1882	1882	"vulgar"	"Croker, B. M"	"Proper pride"	"f"	"ir"	46	"Croker"
"mdp.39015006580941"	1882	1882	"elite"	"Anstey, F"	"Vice versâ;"	"m"	"uk"	67	"Anstey"
"njp.32101068169513"	1882	1882	"elite"	"Gerard, E"	"Beggar my neighbor"	"f"	"uk"	11	"Gerard"
"nyp.33433082303953"	1882	1882	"vulgar"	"Glascock, Mary W"	"Dare"			1	"Glascock"
"uc2.ark+=13960=t0ks6p45r"	1882	1882	"elite"	"Ballantyne, R. M"	"The battery and the boiler, or, Adventures in the laying of submarine electric cables"	"m"	"uk"	75	"Ballantyne"
"uiuo.ark+=13960=t3xs6018h"	1882	1882	"vulgar"	"Barrett, Frank"	"A prodigal's progress"	"m"	"uk"	31	"Barrett"
"uiuo.ark+=13960=t9h427g45"	1882	1882	"vulgar"	"Jefferies, Richard"	"Bevis"	"m"	"uk"	59	"Jefferies"
"njp.32101068169497"	1882	1882	"elite"	"Gerard, E"	"Beggar my neighbor"	"f"	"uk"	11	"Gerard"
"nyp.33433076059488"	1882	1882	"vulgar"	"Pomeroy, Mark M"	"Brick-dust;"	"m"	"us"	15	"Pomeroy"
"uc2.ark+=13960=t3416vd9j"	1882	1882	"vulgar"	"Otis, James"	"Mr. Stubbs's brother;"	"m"	"us"	65	"Otis"
"nyp.33433081603049"	1882	1882	"presentaselite"	"Twain, Mark"	"The stolen white elephant, etc"	"m"	"us"	509	"Twain"
"njp.32101062935901"	1882	1882	"vulgar"	"Evans, Augusta J"	"Inez: a tale of the Alamo"	"f"	"us"	24	"Evans"
"nyp.33433082530985"	1883	1883	"presentaselite"	"Eggleston, Edward"	"The Hoosier school-master"	"m"	"us"	52	"Eggleston"
"uc2.ark+=13960=t2r49pd51"	1883	1883	"elite"	"Conway, Hugh"	"Called back"	"m"	"uk"	17	"Conway"
"njp.32101068178878"	1883	1883	"vulgar"	"Hatton, Joseph"	"A modern Ulysses"	"m"	"uk"	39	"Hatton"
"uc1.b251155"	1883	1883	"elite"	"Harte, Bret"	"In the Carquinez woods"	"m"	"us"	474	"Harte"
"nyp.33433074795331"	1883	1883	"elite"	"Woolson, Constance Fenimore"	"For the major"	"f"	"us"	21	"Woolson"
"mdp.39015012354869"	1883	1883	"vulgar"	"Bowles, Thomas Gibson"	"Flotsam and jetsam"	"m"	"uk"	4	"Bowles"
"mdp.39015002719386"	1883	1888	"elite"	"Schreiner, Olive"	"The story of an African farm"	"f"	"za"	22	"Schreiner"
"mdp.39015059395056"	1883	1884	"elite"	"Crawford, F. Marion"	"To leeward"	"m"	"us"	306	"Crawford"
"mdp.39015059395049"	1883	1884	"elite"	"Crawford, F. Marion"	"To leeward"	"m"	"us"	306	"Crawford"
"uc2.ark+=13960=t6nz85s88"	1883	1888	"elite"	"anonymous4"	"My trivial life and misfortune"			0	"anonymous4"
"uc1.b318289"	1884	1884	"vulgar"	"Du Boisgobey, Fortuné"	"Babiole, the pretty milliner"	"m"	"french"	28	"Du"
"uiuo.ark+=13960=t79s21g78"	1884	1884	"elite"	"Lyall, Edna"	"We two"	"f"	"uk"	53	"Lyall"
"njp.32101067633253"	1884	1884	"vulgar"	"Diehl, Alice M"	"The knave of hearts"	"f"	"uk"	9	"Diehl"
"uc2.ark+=13960=t7cr5nv4m"	1884	1889	"elite"	"Jackson, Helen Hunt"	"Ramona"	"f"	"us"	49	"Jackson"
"uiuo.ark+=13960=t13n2dw98"	1884	1884	"elite"	"Lyall, Edna"	"We two"	"f"	"uk"	53	"Lyall"
"uiuo.ark+=13960=t9f47xt5p"	1884	1884	"elite"	"Lyall, Edna"	"We two"	"f"	"uk"	53	"Lyall"
"uiuo.ark+=13960=t9k36b97d"	1884	1884	"vulgar"	"Craik, Georgiana M"	"Godfrey Helstone"	"f"	"uk"	37	"Craik"
"mdp.39015031236584"	1884	1917	"elite"	"Howe, E. W"	"The story of a country town"	"m"	"us"	5	"Howe"
"uiuo.ark+=13960=t4gm8k930"	1884	1884	"vulgar"	"Fenn, George Manville"	"Sweet Mace"	"m"	"uk"	68	"Fenn"
"njp.32101065847475"	1884	1884	"elite"	"Murfree, Mary Noailles"	"Where the battle was fought"	"f"	"us"	72	"Murfree"
"wu.89049670433"	1884	1903	"remove"	"Dahn, Felix"	"Felicitas"	"m"	"german"	5	"Dahn"
"uc2.ark+=13960=t1ng4rz6v"	1884	1884	"vulgar"	"Chatterji, Bankim Chandra"	"The poison tree;"	"m"	"bengali"	10	"Chatterji"
"uiuo.ark+=13960=t9f47xn9c"	1884	1884	"vulgar"	"Banks, G. Linnaeus"	"Sybilla and other stories"	"f"	"uk"	22	"Banks"
"njp.32101064918103"	1884	1884	"vulgar"	"Cooper, Katherine"	"Gideon's rock"	"f"	"uk"	8	"Cooper"
"uiuo.ark+=13960=t79s28b7c"	1884	1884	"vulgar"	"Tytler, Sarah"	"Saint Mung's city"	"f"	"uk"	50	"Tytler"
"uc2.ark+=13960=t10p1901j"	1885	1885	"elite"	"Malet, Lucas"	"Colonel Enderby's wife"	"f"	"uk"	46	"Malet"
"uiuo.ark+=13960=t1fj34d94"	1885	1885	"vulgar"	"Wingfield, Lewis"	"Barbara Philpot"	"m"	"ir"	14	"Wingfield"
"uc2.ark+=13960=t3bz6461g"	1885	1897	"elite"	"Meredith, George"	"Diana of the Crossways"	"m"	"uk"	500	"Meredith"
"uc2.ark+=13960=t43r0sj8z"	1885	1885	"vulgar"	"Guernsey, Lucy Ellen"	"Oldham"	"f"	"us"	27	"Guernsey"
"uc1.b149265"	1885	1885	"vulgar"	"Lathrop, George Parsons"	"In the distance"	"m"	"us"	20	"Lathrop"
"uiuo.ark+=13960=t3223dc0z"	1885	1885	"elite"	"Malet, Lucas"	"Colonel Enderby's wife"	"f"	"uk"	46	"Malet"
"uc2.ark+=13960=t49p38m1k"	1885	1885	"elite"	"Malet, Lucas"	"Colonel Enderby's wife"	"f"	"uk"	46	"Malet"
"njp.32101067632644"	1885	1885	"elite"	"Ouida"	"Othmar"	"f"	"uk"	237	"Ouida"
"njp.32101067647303"	1885	1885	"vulgar"	"Warden, Florence"	"A prince of darkness"	"f"	"uk"	42	"Warden"
"wu.89104493895"	1885	1885	"vulgar"	"Spencer, Lillian"	"After all"			1	"Spencer"
"uiuo.ark+=13960=t6h13np7s"	1885	1885	"vulgar"	"Smart, Hawley"	"Tie and trick"	"m"	"uk"	78	"Smart"
"njp.32101067632198"	1885	1885	"elite"	"Ouida"	"Othmar"	"f"	"uk"	237	"Ouida"
"njp.32101067632636"	1885	1885	"elite"	"Ouida"	"Othmar"	"f"	"uk"	237	"Ouida"
"uiuo.ark+=13960=t65439787"	1886	1886	"elite"	"Lawless, Emily"	"Hurrish"	"f"	"ir"	24	"Lawless"
"uc2.ark+=13960=t6n01078q"	1886	1886	"presentaselite"	"Grant, Robert"	"A romantic young lady"	"m"	"us"	47	"Grant"
"njp.32101066458975"	1886	1886	"vulgar"	"Gibbon, Charles"	"Clare of Claresmede"	"m"	"uk"	37	"Gibbon"
"uc1.b3124668"	1886	1886	"vulgar"	"Hawthorne, Julian"	"The trial of Gideon"	"m"	"us"	103	"Hawthorne"
"uiuo.ark+=13960=t85h8377h"	1886	1886	"elite"	"Norris, W. E"	"A bachelor's blunder"	"m"	"uk"	107	"Norris"
"uiuo.ark+=13960=t8bg31g17"	1886	1886	"vulgar"	"Fane, Violet"	"Thro' love and war"	"f"	"uk"	16	"Fane"
"uiuo.ark+=13960=t95720v3n"	1886	1886	"elite"	"Lawless, Emily"	"Hurrish"	"f"	"ir"	24	"Lawless"
"uiuo.ark+=13960=t6h13936j"	1886	1886	"elite"	"Besant, Walter"	"Children of Gibeon"	"m"	"uk"	203	"Besant"
"uiuo.ark+=13960=t4gm8rt0b"	1886	1886	"elite"	"Norris, W. E"	"A bachelor's blunder"	"m"	"uk"	107	"Norris"
"uiuo.ark+=13960=t44q87z39"	1886	1886	"vulgar"	"Dowling, Richard"	"Tempest-driven"	"m"	"ir"	8	"Dowling"
"uiuo.ark+=13960=t7cr63984"	1886	1886	"elite"	"Besant, Walter"	"Children of Gibeon"	"m"	"uk"	203	"Besant"
"uiuo.ark+=13960=t8jd54p32"	1886	1886	"elite"	"Besant, Walter"	"Children of Gibeon"	"m"	"uk"	203	"Besant"
"uc2.ark+=13960=t6tx37k6r"	1886	1886	"vulgar"	"Vandegrift, Margaret"	"Ways and means"	"f"	"us"	2	"Vandegrift"
"njp.32101063580268"	1886	1900	"elite"	"Hume, Fergus"	"The mystery of a hansom cab"	"m"	"uk"	77	"Hume"
"uiuo.ark+=13960=t8gf1c956"	1886	1886	"elite"	"Norris, W. E"	"A bachelor's blunder"	"m"	"uk"	107	"Norris"
"uc2.ark+=13960=t4sj1g55c"	1886	1886	"elite"	"Lang, Andrew"	"The mark of Cain"	"m"	"uk"	86	"Lang"
"nyp.33433074880034"	1886	1886	"vulgar"	"Marryat, Florence"	"The heir presumptive"	"f"	"uk"	83	"Marryat"
"njp.32101068152931"	1886	1919	"elite"	"Haggard, H. Rider"	"She"	"m"	"uk"	121	"Haggard"
"njp.32101068166162"	1886	1886	"vulgar"	"Chetwynd, Henry Wayland"	"Sara"			12	"Chetwynd"
"uc1.b3327277"	1886	1886	"vulgar"	"Whitney, A. D. T"	"Bonnyborough"	"f"	"us"	50	"Whitney"
"uc2.ark+=13960=t1gh9bk2q"	1886	1887	"elite"	"Phelps, Elizabeth Stuart"	"The Madonna of the tubs"	"f"	"us"	51	"Phelps"
"uc1.b4113044"	1886	1886	"vulgar"	"Brierley, Benjamin"	"Cast upon the world"	"m"	"uk"	6	"Brierley"
"mdp.39015065549779"	1887	1887	"vulgar"	"Saltus, Edgar"	"Mr. Incoul's misadventure"	"m"	"us"	47	"Saltus"
"uc2.ark+=13960=t32230v84"	1887	1887	"presentaselite"	"Anstey, F"	"The tinted Venus"	"m"	"uk"	67	"Anstey"
"uc2.ark+=13960=t3320543j"	1887	1887	"elite"	"Black, William"	"Sabina Zembra"	"m"	"uk"	279	"Black"
"uc2.ark+=13960=t6rx9gk2c"	1887	1887	"elite"	"Black, William"	"Sabina Zembra"	"m"	"uk"	279	"Black"
