docid	allcopiesofwork	author	bestseller	contrast4reviewed	copiesin25yrs	earlyedition	firstpub	gender	heath	imprint	inferreddate	lastname	latestcomp	mostdiscussed	nationality	norton	nortonshort	preregistered	recordid	reviewed	title	inferrednation
uiuo.ark+=13960=t7jq1jk6f		Warden, Florence	False	True			1885.0	f	False	London;Ward;1885.	1885	Warden	1885	False	uk	False	False	False	8962056.0	False	A prince of darkness	uk
uc2.ark+=13960=t22b8xs3c		Ouida,	True	False			1863.0		False		1863	Ouida	1863	False		False	False	False	7691210.0	False	Held in bondage	uk
mdp.39015030842986	2.0	Bottome, Phyllis	True	False	2.0	True			False	Boston|New York|Houghton Mifflin company|1934.	1934	Bottome	1934	False		False	False	False	473523.0	False	Private worlds	uk
mdp.39015003681775	3.0	Galsworthy, John	True	False	3.0	True			False	New York|C. Scribner's sons|1926.	1926	Galsworthy	1926	False		False	False	False	432392.0	False	The silver spoon	uk
mdp.39015002714957		Richardson, Dorothy M	False	False			1919.0	f	False	London;Duckworth;1919	1919	Richardson	1919	False	uk	False	False	False	1377262.0	True	The Tunnel	uk
uiuo.ark+=13960=t3xs60k95		Allen, Grant	False	False			1893.0	m	False	London;Chatto & Windus, Piccadilly;1893;(Guildford;Billing and Sons, printers)	1893	Allen	1893	False	ca	False	False	False	8723056.0	True	The scallywag	ca
uc2.ark+=13960=t9w08x24c	3.0	Stratton-Porter, Gene	True	False	3.0	True			False	Garden City, New York;Doubleday, Page & company;c1918	1918	Stratton-Porter	1918	False		False	False	False	404209.0	False	A daughter of the land	us
uva.x000464259	1.0	Hawthorne, Nathaniel	False	False	1.0	False	1850.0	m	False	New York;Peter Fenelon Collier & son;1900.	1900	Hawthorne	1850	False	us	False	False	True	7929342.0	False	Scarlet Letter	us
mdp.39015002725615	1.0	Ferber, Edna	True	False	1.0	True			False	Garden City, N.Y.|Doubleday, Doran & company|1936.	1936	Ferber	1936	False		False	False	False	389465.0	False	Come and get it	us
mdp.39015050756801		Steinbeck, John	False	False			1942.0	m	False	New York|The Viking Press|1942.	1942	Steinbeck	1942	False	us	False	False	False	1029463.0	True	The Moon is Down	us
