docid	author	title	inferreddate	latestcomp	firstpub	allcopiesofwork	copiesin25yrs	gender	nationality	earlyedition	lastname	imprint	norton	heath	nortonshort	mostdiscussed	preregistered	reviewed	contrast4reviewed	bestseller
mdp.39015063923869	Hough, Emerson,	54-40 or fight	1909	1909.0	1909.0	3.0	3.0			True	Hough	New York;McKinlay, Stone & Mackenzie;c1909	False	False	False	False	False	False	False	True
uc1.b3321331	Cooper, James Fenimore	The last of the Mohicans : a narrative of 1757	1856	1851.0		27.0	3.0			True	Cooper	New York;Stringer and Townsend;1856.	True	False	False	False	False	False	False	False
uc1.32106006691585	anonymous6	Cuchulain of Muirthemne	1902	1902.0	1902.0	1.0	1.0	f	ir	True	anonymous6	London;J. Murray;1902.	False	False	False	False	False	True	False	False
nyp.33433075743603	Scott, Walter,	Rob Roy	1824	1818.0	1818.0			m	uk		Scott	Philadelphia;J. Crissy;1824.	False	False	False	False	False	False	False	True
mdp.39015030719481	Williams, Ben Ames	Leave Her to Heaven	1944	1944.0	1944.0			m	us		Williams	Boston|Houghton Mifflin company|1944.	False	False	False	False	False	True	False	False
pst.000029700073	Wright, Richard	Uncle Tom's Children	1938	1938.0	1938.0	1.0	1.0	m	us	True	Wright	New York|New American Library|1949, c1938].	False	False	False	False	False	True	False	False
uc2.ark+=13960=t8bg2j878	Reid, Christian	A daughter of Bohemia;	1874	1874.0	1874.0			f	us		Reid	New York;D. Appleton and company;1874.	False	False	False	False	False	False	True	False
uc2.ark+=13960=t20c4ss2f	Harris, Joel Chandler	Free Joe	1887	1887.0		1.0	1.0			True	Harris	New York;Collier;1887.	False	True	False	False	False	False	False	False
uc1.32106018253754	Le Carré, John	A perfect spy	2003	1986.0		1.0	1.0			True	Le	New York, NY|Pocket Books|2003,c1986	False	False	False	False	False	False	False	True
uc1.b4097312	Fallada, Hans	Little man, what now?	1933	1933.0		5.0	4.0			True	Fallada	New York|Grosset & Dunlap|c1933.	False	False	False	False	False	False	False	True
uc2.ark+=13960=t3320543j	Black, William	Sabina Zembra	1887	1887.0	1887.0	4.0	4.0	m	uk	True	Black	London;and New York;Macmillan and Co.;1887.	False	False	False	False	False	True	False	False
pst.000006723453	Yonge, Charlotte M	Beechcroft at Rockstone	1889	1889.0	1889.0	1.0	1.0	f	uk	True	Yonge	London;Macmillan;1889.	False	False	False	False	False	False	True	False
umn.319510020706483	Eyton, John Seymour	Kullu and the elephant / | $c: with decorations by W.R. Lohse.	1929	1929.0	1929.0	1.0	1.0	m	uk	True	Eyton	Indianapolis|The Bobbs Merril company|c1929	False	False	False	False	False	False	True	False
uiuo.ark+=13960=t19k4x25q	Oliphant, Margaret	Merkland	1851	1851.0	1851.0	3.0	3.0	f	uk	True	Oliphant	London;H. Colburn;1851.	False	False	False	False	False	True	False	False
njp.32101068169513	Gerard, E	Beggar my neighbor	1882	1882.0	1882.0	3.0	3.0	f	uk	True	Gerard	Edinburgh;London;W. Blackwood and Sons;1882.	False	False	False	False	False	True	False	False
wu.89098003668	Powell, Ella M	Clio	1889	1889.0	1889.0	1.0	1.0	f	us	True	Powell	Atlanta;Harrison;1889.	False	False	False	False	False	False	True	False
njp.32101073395038	Kavanagh, Julia	Seven years, and other tales	1860	1860.0	1860.0			f	ir		Kavanagh	London;New York;G. Routledge;1857?	False	False	False	False	False	False	True	False
uiuo.ark+=13960=t4xh0999j	Eliot, George	Middlemarch: a study of provincial life	1871	1871.0	1871.0			f	uk		Eliot	Edinburgh;W. Blackwood;1871-72.	False	False	False	False	False	True	False	False
mdp.39015019181331	Davenport, Marcia	The valley of decision	1942	1942.0		3.0	2.0			True	Davenport	New York|C. Scribner's sons|1942.	False	False	False	False	False	False	False	True
uc2.ark+=13960=t15m6701g	Mathers, Helen	Comin' thro' the rye	1875	1875.0	1875.0			f	uk		Mathers	London;R. Bentley;1875.	False	False	False	False	False	False	True	False
uc1.b3327365	Merriman, Henry Seton	The isle of unrest	1899	1899.0	1899.0			m	uk		Merriman	New York;Dodd, Mead & Co.;1900, c1899.	False	False	False	False	False	True	False	False
njp.32101068971918	Kingsley, Henry	Ravenshoe	1864	1862.0	1862.0	13.0	1.0	m	uk	True	Kingsley	London;Macmillan and Co.;1864.	False	False	False	False	False	True	False	False
inu.39000003330789	Fothergill, Jessie	Probation	1879	1879.0	1879.0	6.0	6.0	f	uk	True	Fothergill	London;R. Bentley;1879.	False	False	False	False	False	True	False	False
njp.32101067707925	Benedict, Frank Lee	Miss Van Kortland	1874	1870.0	1870.0	1.0	1.0	m	us	True	Benedict	New York;Harper & Brothers;1874.	False	False	False	False	False	True	False	False
mdp.39015035798670	Williamson, C. N.	The princess passes	1905	1905.0	1905.0	2.0	2.0			True	Williamson	New York;H. Holt and company;1905.	False	False	False	False	False	False	False	True
mdp.39015066065254	Pynchon, Thomas	Gravity's rainbow	1973	1973.0	1973.0	3.0	2.0	m	us	True	Pynchon	New York|Viking Press|1973	False	False	False	True	True	False	False	False
njp.32101067643351	Estvan, Mathilde	Harry Delaware	1872	1872.0	1872.0			f	us		Estvan	New York;Putnam;1872.	False	False	False	False	False	False	True	False
mdp.39015069171505	Couperthwaite, S. L	Resolution, or, The depth of woman's love	1865	1865.0	1865.0	1.0	1.0	m	uk	True	Couperthwaite	London;Simpkin, Marshall, and Co.;Ipswich;Rees and Gripper;1865.	False	False	False	False	False	False	True	False
inu.30000026022446	Allen, Woody	Side effects	1981	1980.0		1.0	1.0			True	Allen	New York|Ballantine|1981, c1980.	False	False	False	False	False	False	False	True
inu.32000001277732	Du Maurier, Daphne	My cousin Rachel	1951	1951.0		3.0	2.0			True	Du	London|Gollancz|1951.	False	False	False	False	False	False	False	True
uc2.ark+=13960=t9m32tr6b	Sudermann, Hermann	Regina;	1907	1890.0	1890.0			m	german		Sudermann	London;J. Lane;New York;J. Lane company;1907.	False	False	False	False	False	False	True	False
mdp.39015059377617	Hichens, Robert,	In the wilderness;	1917	1917.0	1917.0						Hichens	New York;Frederick A. Stokes company;c1917	False	False	False	False	False	False	False	True
nyp.33433074841747	Daviess, Maria Thompson	The melting of Molly	1912	1912.0		2.0	2.0			True	Daviess	Indianapolis;Bobbs-Merrill;c1912	False	False	False	False	False	False	False	True
mdp.39015058785299	Hailey, Arthur	Airport	1968	1968.0		3.0	3.0			True	Hailey	Garden City, N.Y.|Doubleday|c1968.	False	False	False	False	False	False	False	True
mdp.39015012209816	Bristow, Gwen	Jubilee trail	1950	1950.0		2.0	2.0			True	Bristow	New York|Crowell|1950	False	False	False	False	False	False	False	True
miun.aat2524,0001,001	Larsen, Nella	Passing	1929	1929.0	1929.0			m	us		Larsen		False	False	False	False	False	True	False	False
uc2.ark+=13960=t5z60cq78	Malet, Lucas	The gateless barrier	1900	1900.0	1900.0	1.0	1.0	f	uk	True	Malet	N. Y.;Dodd, Mead;1900	False	False	False	False	False	True	False	False
mdp.39015063927910	Runkle, Bertha.	The helmet of Navarre;	1901	1901.0	1901.0	3.0	3.0			True	Runkle	New York;Grosset & Dunlap;c1901	False	False	False	False	False	False	False	True
uc2.ark+=13960=t3pv6nz42	Ward, Mary Augusta	Eleanor;	1900	1900.0	1900.0			f	uk		Ward	New York;London;Harper & brothers;1900.	False	False	False	False	False	True	False	False
mdp.39015031309209	Stern, G. B	Debonair	1928	1928.0	1928.0			f	uk		Stern	New York|A. A. Knopf|c1928.	False	False	False	False	False	True	False	False
dul1.ark+=13960=t3jw91q2r	Butler, Samuel	Erewhon, or, Over the range	1872	1872.0	1872.0	15.0	2.0	m	uk	False	Butler	London;Tr?_bner & Co. ...;1872.	False	False	False	False	False	True	False	False
uc1.b3325372	Davis, Richard Harding	Soldiers of fortune	1897	1897.0	1897.0			m	us		Davis	New York;C. Scribner's sons;1897.	False	False	False	False	False	True	False	False
uc2.ark+=13960=t1pg1nv9w	Broughton, Rhoda	Joan	1876	1876.0	1876.0	4.0	4.0	f	uk	True	Broughton	London;R. Bentley;1876.	False	False	False	False	False	True	False	False
uiuo.ark+=13960=t3126gn25	Lean, Florence	My sister the actress	1881	1881.0	1881.0	3.0	3.0	f	uk	True	Lean	London;F.V. White and Co.;1881.	False	False	False	False	False	False	True	False
mdp.39015030760691	McCutcheon, George Barr,	Graustark	1901	1901.0	1901.0	3.0	2.0			True	McCutcheon	New York;Grosset & Dunlap;c1901	False	False	False	False	False	False	False	True
mdp.39015000599186	Rawlings, Marjorie Kinnan	South Moon Under	1933	1933.0	1933.0			f	us		Rawlings	New York|Scribner|1933.	False	False	False	False	False	True	False	False
uiuo.ark+=13960=t6h13np7s	Smart, Hawley	Tie and trick	1885	1885.0	1885.0	3.0	3.0	m	uk	True	Smart	London;Chapman and Hall;1885.	False	False	False	False	False	False	True	False
mdp.39015040365788	Steel, Danielle	The long road home	1998	1998.0		1.0	1.0			True	Steel	New York, N.Y.|Delacorte Press|c1998.	False	False	False	False	False	False	False	True
mdp.39015063958998	Wiggin, Kate Douglas Smith,	Rose o' the river	1905	1905.0	1905.0	4.0	4.0			True	Wiggin	Boston;New York;Houghton Mifflin company;1905.	False	False	False	False	False	False	False	True
uc1.b3325539	Mallock, W. H	The heart of life	1895	1895.0	1895.0			m	uk		Mallock	London;Chapman & Hall;1895.	False	False	False	False	False	True	False	False
mdp.39015002749268	Rossner, Judith	Looking for Mr. Goodbar	1975	1975.0		1.0	1.0			True	Rossner	New York|Simon and Schuster|1975	False	False	False	False	False	False	False	True
mdp.39015001782393	Herbst, Josephine	The executioner waits, | $c: by Josephine Herbst.	1934	1934.0	1934.0	2.0	2.0	f	us	True	Herbst	New York|Harcourt, Brace and Company|c1934	False	False	False	False	False	False	True	False
pst.000002027432	Field, Rachel	And now tomorrow	1942	1942.0		3.0	3.0			True	Field	New York|Macmillan|1952 [c1942].	False	False	False	False	False	False	False	True
mdp.39015047521110	Le Carré, John	The honourable schoolboy	1977	1977.0		1.0	1.0			True	Le	New York|Knopf|1977.	False	False	False	False	False	False	False	True
mdp.39015025019079	Rinehart, Mary Roberts,	The man in lower ten	1909	1909.0	1909.0						Rinehart	New York;The Review of reviews co.;c1909	False	False	False	False	False	False	False	True
uc2.ark+=13960=t1cj8886t	James, Henry	Daisy Miller	1879	1879.0		5.0	2.0			True	James	London;Macmillan;1879.	True	True	False	False	False	False	False	False
mdp.39015004753730	Walker, Margaret	Jubilee	1966	1966.0		2.0	2.0			True	Walker	Boston|Houghton Mifflin|1966.	False	True	False	False	False	False	False	False
uc1.$b441039	Day, Clarence	Life with father	1935	1935.0		9.0	8.0			True	Day	New York|London,A.A. Knopf|1935.	False	False	False	False	False	False	False	True
uc2.ark+=13960=t7sn04s0c	Gibbs, Philip	Back to Life	1920	1920.0	1920.0	1.0	1.0	m	uk	True	Gibbs	London;W. Heinemann;1920.	False	False	False	False	False	True	False	False
mdp.39015014510963	Hoffman, William Dawson	The Saddle Wolf, | $c: by W. D. Hoffman.	1928	1928.0	1928.0	1.0	1.0	m	us	True	Hoffman	Chicago|A. C. McClurg & co.|1928.	False	False	False	False	False	False	True	False
uva.x004993551	Reid, Mayne	Andrew Deverel;	1863	1863.0	1863.0	1.0	1.0	m	us	True	Reid	Edinburgh;W.P. Nimmo;1870.	False	False	False	False	False	False	True	False
mdp.39015031908893	Collins, Wilkie	Antonina;	1850	1850.0	1850.0			m	uk		Collins		False	False	False	False	False	True	False	False
uc2.ark+=13960=t7dr2qb7b	Wiggin, Kate Douglas Smith	The diary of a goose girl	1902	1902.0	1902.0			f	us		Wiggin	Boston;New York;Houghton, Mifflin and company;1902.	False	False	False	False	False	True	False	False
mdp.49015002943570	Clancy, Tom	The sum of all fears	1991	1991.0		2.0	2.0			True	Clancy	New York|Putnam|c1991.	False	False	False	False	False	False	False	True
uc2.ark:/13960/t15m63z1c	Maclaren, Ian,	Beside the bonnie brier bush	1894	1894.0	1894.0						Maclaren		False	False	False	False	False	False	False	True
pst.000005375714	Huxley, Aldous	Eyeless in Gaza	1936	1936.0		2.0	1.0			True	Huxley	London|Chatto & Windus|1936.	False	False	False	False	False	False	False	True
inu.30000035415862	Metalious, Grace	Peyton Place	1954	1954.0		5.0	4.0			True	Metalious	Cutchogue, N.Y.|Buccaneer Books|c1954.	False	False	False	False	False	False	False	True
uc2.ark+=13960=t3bz6461g	Meredith, George	Diana of the Crossways	1897	1885.0	1885.0			m	uk		Meredith	New York;S. Scribner's Sons;1897	False	False	False	False	False	True	False	False
mdp.39015016749262	Porter, Eleanor H.	Mary Marie	1920	1920.0	1920.0	4.0	4.0			True	Porter	Boston;New York;Houghton Mifflin company;1920.	False	False	False	False	False	False	False	True
mdp.39015030659869	H̩mon, Louis,	Maria Chapdelaine, a tale of the Lake St. John country	1921	1921.0	1921.0						H̩mon	New York;Macmillan;1921.	False	False	False	False	False	False	False	True
uc1.b3486106	Cunninghame Graham, R. B	A hatchment	1913	1913.0	1913.0	2.0	2.0	m	uk	True	Cunninghame	London;Duckworth & co.;1913.	False	False	False	False	False	False	True	False
uc1.$b56415	Corey, Paul	The road returns, | $c: by Paul Corey.	1940	1940.0	1940.0	1.0	1.0	m	us	True	Corey	Indianapolis|Bobbs-Merrill|c1940.	False	False	False	False	False	False	True	False
uc1.$b799875	Winthrop, Theodore	Cecil Dreeme	1861	1861.0	1861.0			m	us		Winthrop	Boston;Ticknor and Fields;1861	False	False	False	False	False	True	False	False
mdp.39015054089407	Crichton, Michael	The great train robbery	1975	1975.0		1.0	1.0			True	Crichton	New York|Knopf|1975.	False	False	False	False	False	False	False	True
mdp.39015062110344	Follett, Ken	On wings of eagles	1983	1983.0		1.0	1.0			True	Follett	London|Collins|1983.	False	False	False	False	False	False	False	True
uiuo.ark+=13960=t7hq4m576	Walford, Lucy Bethia	Troublesome daughters	1880	1880.0	1880.0	4.0	4.0	f	uk	True	Walford	Edinburgh;London;William Blackwood and Sons;1880.	False	False	False	False	False	True	False	False
njp.32101067634236	Hannay, James	Eustace Conyers;	1855	1855.0	1855.0	3.0	3.0	m	uk	True	Hannay	London;Hurst;1855.	False	False	False	False	False	True	False	False
nyp.33433076056922	Phelps, Elizabeth Stuart,	A singular life	1897	1895.0	1895.0	2.0	2.0			True	Phelps	Boston;New York;Houghton, Mifflin and company;1897.	False	False	False	False	False	False	False	True
uiuo.ark+=13960=t4rj5462f	Yates, Edmund Hodgson	Dr. Wainwright's patient	1871	1871.0	1871.0	3.0	3.0	m	uk	True	Yates	London;Chapman and Hall;1871.	False	False	False	False	False	True	False	False
mdp.39015029924084	Wilder, Thornton	The woman of Andros	1930	1930.0		4.0	4.0			True	Wilder	New York|A. & C. Boni|1930.	False	False	False	False	False	False	False	True
uiuo.ark+=13960=t9v12mr3w	Foxton, E	Herman, or, Young knighthood	1865	1865.0	1865.0	2.0	2.0	u		True	Foxton	Boston;Lee and Shepard;1866, c1865.	False	False	False	False	False	True	False	False
uiug.30112001317798	Wharton, Edith	Ethan Frome	1911	1911.0	1911.0			f	us		Wharton		False	False	False	False	False	True	False	False
mdp.39015011571653	Auchincloss, Louis	The embezzler	1966	1966.0		2.0	2.0			True	Auchincloss	Boston|Houghton Mifflin Co.|1966.	False	False	False	False	False	False	False	True
uc1.$b56348	Campbell, Frances W	Men of the Enchantress, | a novel | $c: by Frances Campbell.	1946	1946.0	1946.0	1.0	1.0	f	us	True	Campbell	Indianapolis, New York|The Bobbs-Merrill company|1946	False	False	False	False	False	False	True	False
mdp.39015015203519	O'Connor, Edwin	The last hurrah	1957	1956.0		1.0	1.0			True	O'Connor	New York|Bantam|1957, c1956.	False	False	False	False	False	False	False	True
uiuo.ark+=13960=t47p9mm6s	Russell, William Clark	Marooned	1889	1889.0	1889.0	3.0	3.0	m	uk	True	Russell	London;New York;Macmillan;1889.	False	False	False	False	False	True	False	False
mdp.39015021285849	Shanks, Edward	Queer Street	1933	1933.0	1933.0	1.0	1.0	m	uk	True	Shanks	Indianapolis|The Bobbs-Merrill company|c1933	False	False	False	False	False	True	False	False
njp.32101069165684	Edwards, C. R	A story of Niagara	1871	1871.0	1871.0	1.0	1.0	m	us	True	Edwards	New York;International Pub. Co.;1871.	False	False	False	False	False	False	True	False
uc1.$b83887	Moore, Robin	The green berets	1965	1965.0		2.0	2.0			True	Moore	New York|Crown Publishers|1965	False	False	False	False	False	False	False	True
mdp.39015008295845	Greene, Graham	The honorary consul	1973	1973.0		3.0	3.0			True	Greene	London|Sydney|Toronto|The Bodley Head|1973.	False	False	False	False	False	False	False	True
nyp.33433074880034	Marryat, Florence	The heir presumptive	1886	1886.0	1886.0	1.0	1.0	f	uk	True	Marryat	Leipzig;B. Tauchnitz;1886.	False	False	False	False	False	False	True	False
uc1.b3710831	Keyes, Frances Parkinson	Steamboat Gothic	1952	1952.0		2.0	2.0			True	Keyes	New York|Messner|1952	False	False	False	False	False	False	False	True
mdp.39015034414261	Cornwell, Patricia Daniels	From Potter's field	1995	1995.0		1.0	1.0			True	Cornwell	New York|Scribner|c1995.	False	False	False	False	False	False	False	True
mdp.39015030851136	Bromfield, Louis	Mrs. Parkington	1943	1943.0		2.0	2.0			True	Bromfield	New York|London|Harper & Bros.|c1943	False	False	False	False	False	False	False	True
uiuo.ark+=13960=t8mc9d00r	Harwood, John Berwick	Plain John Orpington	1866	1866.0	1866.0	3.0	3.0	m	uk	True	Harwood	London;R. Bentley;1866.	False	False	False	False	False	False	True	False
uc1.b3327126	Rowcroft, Charles	The Australian Crusoes	1859	1853.0	1853.0			m	uk		Rowcroft	Philadelphia;J. W. Bradley;1859.	False	False	False	False	False	False	True	False
uc1.b3435081	Uris, Leon	Exodus	1958	1958.0		6.0	5.0			True	Uris	Garden City, N.Y.|Doubleday|1958.	False	False	False	False	False	False	False	True
mdp.39015054021426	Fast, Howard	Citizen Tom Paine | $c: [by] Howard Fast.	1943	1943.0	1943.0	2.0	2.0	m	us	True	Fast	New York|Duell, Sloan and Pearce|1943	False	False	False	False	False	False	True	False
nyp.33433076033954	Smith, Francis Hopkinson,	Caleb West, master diver	1898								Smith	New York;Regent Press;c1898.	False	False	False	False	False	False	False	True
uc1.32106002105341	Faulkner, William	As I lay dying	1962	1962.0		3.0	3.0			True	Faulkner	London|Chatto and Windus|1962.	True	False	False	False	False	False	False	False
nyp.33433076081649	Sherwood, Margaret Pollock,	The worn doorstep	1916	1916.0	1916.0	3.0	3.0			True	Sherwood	Boston;Little, Brown, and Company;1916.	False	False	False	False	False	False	False	True
uc1.$b244071	Parrish, Anne	The perennial bachelor	1925	1925.0		2.0	2.0			True	Parrish	New York|London|Harper & Brothers|1925.	False	False	False	False	False	False	False	True
uiuo.ark+=13960=t6m04st95	Barrie, J. M	The little minister	1891	1891.0	1891.0	30.0	25.0	m	uk	True	Barrie	London [etc.;Cassell & company, limited;1891.	False	False	False	False	False	True	False	False
uiuo.ark+=13960=t0vq38v4c	Fane, Violet	The story of Helen Davenant	1889	1889.0	1889.0			f	uk		Fane	London;Chapman and Hall, Limited;1889.	False	False	False	False	False	False	True	False
mdp.39015063945698	Parker, Gilbert,	The judgment house;	1913	1913.0	1913.0						Parker	New York;London;Harper & brothers;1913.	False	False	False	False	False	False	False	True
mdp.39015008361134	Lewis, Sinclair	Elmer Gantry	1927	1927.0		1.0	1.0			True	Lewis	New York|Harcourt, Brace and company|c1927	False	False	False	False	False	False	False	True
mdp.39015019641342	Ashe, Penelope	Naked came the stranger	1969	1969.0		1.0	1.0			True	Ashe	New York|L. Stuart|c1969.	False	False	False	False	False	False	False	True
mdp.39015032715149	Francis, Dick	Wild horses	1994	1994.0		1.0	1.0			True	Francis	London|M. Joseph|1994.	False	False	False	False	False	False	False	True
uc2.ark+=13960=t4wh2fh9b	Leighton, John	Christmas comes but once a year	1850	1850.0	1850.0			m	uk		Leighton	London;William Tegg and Co.;1850.	False	False	False	False	False	False	True	False
uc1.b4594169	Brierley, Benjamin	A bundle o' fents from a Lancashire loom	1866	1860.0	1860.0	1.0	1.0	m	uk	True	Brierley	Manchester;J. Heywood; [etc., etc.;1866?	False	False	False	False	False	False	True	False
uiuo.ark+=13960=t16m3hs4q	Chandler, W. A	Thrice	1876	1876.0	1876.0	2.0	2.0	u		True	Chandler	London;E.W. Allen ...;1876.	False	False	False	False	False	False	True	False
uc1.$b620170	Nagibin, I͡Uriĭ	Each for all, | $c: by Yuri Nagibin.	1945	1945.0	1945.0	1.0	1.0	m	ru	True	Nagibin	London|New York|Hutchinson|1945	False	False	False	False	False	False	True	False
njp.32101035036068	Ritner, W. D	Juan, the white slave;	1865	1865.0	1865.0	1.0	1.0		us	True	Ritner	Philadelphia;Barclay & Co.;1865.	False	False	False	False	False	False	True	False
uc1.$b87319	Frankau, Gilbert	Royal regiment, | a novel of contemporary behaviours, | $c: by Gilbert Frankau.	1939	1938.0	1938.0	1.0	1.0	m	uk	True	Frankau	New York|E. P. Dutton & co.|1939.	False	False	False	False	False	False	True	False
mdp.39015014862471	Yerby, Frank	Floodtide	1950	1950.0		1.0	1.0			True	Yerby	N.Y.|Dial Press|1950.	False	False	False	False	False	False	False	True
pst.000005408344	Golding, Louis	Forward from Babylon	1920	1920.0	1920.0			m	uk		Golding		False	False	False	False	False	True	False	False
uc2.ark+=13960=t1dj5fc10	Ritchie, Anne Thackeray	The village on the cliff	1867	1867.0	1867.0	4.0	4.0	f	uk	True	Ritchie	London;Smith, Elder;1867.	False	False	False	False	False	True	False	False
mdp.39015063920121	Johnston, Mary,	Lewis Rand	1908	1908.0	1908.0	3.0	3.0			True	Johnston	Boston;New York;Houghton Mifflin company;1908.	False	False	False	False	False	False	False	True
mdp.39015013303451	O'Connor, Frank	Bones of Contention	1936	1936.0	1936.0	3.0	3.0	m	uk	True	O'Connor	New York|Macmillan|1936.	False	False	False	False	False	True	False	False
mdp.39015002260167	Steinbeck, John	Of mice and men	1937	1937.0		9.0	6.0			True	Steinbeck	New York, N.Y.|Covici-Friede|c1937.	False	False	False	False	False	False	False	True
uc1.$b300263	Foote, John Taintor	Fatal gesture, | $c: by John Taintor Foote.	1933	1933.0	1933.0	1.0	1.0	m	us	True	Foote	New York|London|D. Appleton-Century Company|1933.	False	False	False	False	False	False	True	False
hvd.hwpwnl	Pollok, Robert,	The course of time	1828	1827.0	1827.0						Pollok		False	False	False	False	False	False	False	True
uiuo.ark+=13960=t3611dm26	Gibbon, Charles	Robin Gray	1869	1869.0	1869.0	3.0	3.0	m	uk	True	Gibbon	London;Blackie & Son;1869.	False	False	False	False	False	False	True	False
njp.32101042563039	Bellamy, Edward	--Dr. Heidenhoff's process	1880	1880.0	1880.0			m	us		Bellamy	New York;D. Appleton and company;1880	False	False	False	False	False	True	False	False
mdp.39015021828283	Cisneros, Sandra	Woman hollering creek, and other stories	1991	1991.0		1.0	1.0			True	Cisneros	New York|Random House|c1991.	True	False	False	False	False	False	False	False
uc1.$b298793	Golding, Louis	The Pursuer	1936	1936.0	1936.0	1.0	1.0	m	uk	True	Golding	New York|Farrar & Rinehart|c1936	False	False	False	False	False	True	False	False
dul1.ark+=13960=t03x8jh3v	Adderley, James Granville	Stephen Remarx;	1894	1894.0	1894.0	3.0	3.0	m	uk	True	Adderley	New York;E. P. Dutton & co.;1894.	False	False	False	False	False	False	True	False
mdp.39015062421287	Hale, Edward Everett,	The man without a country	1886	1863.0	1863.0	1.0	1.0			True	Hale	Boston;Roberts Bros.;1886.	False	False	False	False	False	False	False	True
mdp.39015011425348	Braddon, M. E	Only a clod, in three vols	1865	1865.0	1865.0	3.0	3.0	f	uk	True	Braddon	London;John Maxwell;1865.	False	False	False	False	False	True	False	False
inu.30000048909653	Malamud, Bernard	The magic barrel	1958	1958.0		3.0	3.0			True	Malamud	New York|Farrar, Straus & Cudahy|1958	True	True	False	False	False	False	False	False
mdp.39015034418932	Conroy, Pat	Beach music	1995	1995.0		2.0	2.0			True	Conroy	New York|N.A.Talese|c1995.	False	False	False	False	False	False	False	True
nyp.33433074877410	King, Maude Egerton Hine	Bread and wine	1902	1902.0	1902.0	1.0	1.0	f	uk	True	King	Boston;New York;Houghton, Mifflin & Co.;1902.	False	False	False	False	False	True	False	False
uc1.$b807239	Cummins, Maria S	El FureidÌ¨s	1860	1860.0	1860.0	3.0	3.0	f	us	True	Cummins	Boston;Ticknor and Fields;1860.	False	False	False	False	False	True	False	False
mdp.39015045628396	Steel, Danielle	Mirror image	1998	1998.0		1.0	1.0			True	Steel	New York, N.Y.|Delacorte Press|c1998.	False	False	False	False	False	False	False	True
uc1.b3579114	Kimball, Richard B	Saint Leger, or, The threads of life	1850	1850.0	1850.0			m	us		Kimball	New York;G.P. Putnam;1850.	False	False	False	False	False	False	True	False
nyp.33433076090905	Frederic, Harold,	The market-place	1899	1899.0	1899.0						Frederic	New York;F. A. Stokes company;c1899	False	False	False	False	False	False	False	True
uc2.ark+=13960=t8w951q8r	Birkmaier, Elizabeth G	Poseidon's paradise	1892	1892.0	1892.0			f	us		Birkmaier	San Francisco;The Clemens Pub. Co.;1892.	False	False	False	False	False	False	True	False
uc1.b4082899	Wilder, Thornton	Heaven's my destination	1935	1935.0		2.0	2.0			True	Wilder	New York|London|Harper & brothers|1935.	False	False	False	False	False	False	False	True
nyp.33433074858089	Helps, Arthur	Realmah	1869	1869.0	1869.0	3.0	3.0	m	uk	True	Helps	Boston;Roberts Brothers;1869.	False	False	False	False	False	True	False	False
uc2.ark+=13960=t0ns0m20z	Barr, Amelia Edith Huddleston	A maid of old New York	1911	1911.0	1911.0			f	uk		Barr	New York;Christian Herald;c1911.	False	False	False	False	False	False	True	False
mdp.39015005473304	Twain, Mark,	The adventures of Tom Sawyer	1876	1876.0	1876.0						Twain	Toronto;Belford brothers;1876.	False	False	False	False	False	False	False	True
uiuo.ark+=13960=t13n2dw98	Lyall, Edna	We two	1884	1884.0	1884.0	4.0	4.0	f	uk	True	Lyall	London;Hurst and Blackett;1884.	False	False	False	False	False	True	False	False
uiuo.ark+=13960=t44q87z39	Dowling, Richard	Tempest-driven	1886	1886.0	1886.0	3.0	3.0	m	ir	True	Dowling	London;Tinsley;1886.	False	False	False	False	False	False	True	False
nyp.33433076079254	Wharton, Edith	The greater inclination; The touchstone	1914	1914.0		4.0	4.0			True	Wharton	New York;C. Scribner's sons;1914.	False	False	True	False	False	False	False	False
uc1.b3579270	Tennyson, Alfred Tennyson,	In memoriam	1861	1850.0	1850.0						Tennyson		False	False	False	False	False	False	False	True
uc1.b4097393	Ferber, Edna	Saratoga trunk	1941	1941.0		5.0	5.0			True	Ferber	Garden City, N.Y.|Doubleday, Dooran & Co.|1941.	False	False	False	False	False	False	False	True
njp.32101068178340	Henty, G. A	The cornet of horse	1881	1881.0	1881.0			m	uk		Henty	London;Sampson Low, Marston, Searle, & Rivington;1881.	False	False	False	False	False	False	True	False
mdp.39015078574335	Wyss, Johann David,	The Swiss family Robinson	1818	1812.0	1812.0	37.0	2.0			True	Wyss	London;Printed for M.J. Godwin and co., at the Juvenile library;1818.	False	False	False	False	False	False	False	True
mdp.39015063963139	Voynich, E. L	Jack Raymond	1901	1901.0	1901.0	3.0	3.0	f	ir	True	Voynich	London;W. Heinemann;1901.	False	False	False	False	False	True	False	False
uva.x000464259	Hawthorne, Nathaniel	Scarlet Letter	1900	1850.0	1850.0	1.0	1.0	m	us	False	Hawthorne	New York;Peter Fenelon Collier & son;1900.	False	False	False	False	True	False	False	False
mdp.39015061866300	Bailey, Temple	The blue window	1926	1926.0		1.0	1.0			True	Bailey	New York|Grosset & Dunlap|c1926.	False	False	False	False	False	False	False	True
uc1.b3569309	Van Dyke, Henry	The blue flower	1902	1902.0	1902.0			m	us		Van	New York|C. Scribner's Sons|1902	False	False	False	False	False	True	False	True
mdp.39015063549607	Connor, Ralph,	The major	1917	1917.0	1917.0	5.0	5.0			True	Connor	New York;George H. Doran company;c1917	False	False	False	False	False	False	False	True
