docid	author	title	inferreddate	latestcomp	firstpub	allcopiesofwork	copiesin25yrs	gender	nationality	earlyedition	lastname	imprint	norton	heath	nortonshort	mostdiscussed	preregistered	reviewed	contrast4reviewed	bestseller
wu.89101287878	Romains, Jules	Men of Good Will	1934	1932.0	1932.0	1.0	1.0	m	fr	True	Romains	New York|A.A. Knopf|1934-	False	False	False	False	False	True	False	False
uiuo.ark+=13960=t8kd2h12s	Lever, Charles James	The Bramleighs of Bishop's Folly	1868	1868.0	1868.0			m	ir		Lever	London;Smith, Elder;1868.	False	False	False	False	False	True	False	False
uc1.$b106291	Shute, Nevil	Pastoral, | $c: by Nevil Shute [pseud.].	1944	1944.0	1944.0			m	uk		Shute	New York|W. Morrow and Co.|1944.	False	False	False	False	False	False	True	False
uc1.$b56281	H. D	Palimpsest	1926	1926.0	1926.0	2.0	1.0	f	us	True	anonymous_H	Boston|New York|Houghton Mifflin company|1926	False	False	False	False	False	True	False	False
nyp.33433074920772	Bailey, H. C. (Henry Christopher)	The gamesters	1919	1919.0	1919.0	1.0	1.0	m	uk	True	Bailey	New York;E.P. Dutton;c1919	False	False	False	False	False	False	True	False
inu.30000053370379	Toomer, Jean	Cane	1951	1951.0		3.0	1.0			True	Toomer	New York|Liveright|1951, c1923	True	True	False	False	False	False	False	False
mdp.39015005685535	Allen, Hervey	The forest and the fort	1943	1943.0		2.0	2.0			True	Allen	New York|Farrar & Rinehart|1943	False	False	False	False	False	False	False	True
uc2.ark+=13960=t5n874k55	Stratton-Porter, Gene	The harvester	1911	1911.0		7.0	5.0			True	Stratton-Porter	New York;Grosset & Dunlap;1911	False	False	False	False	False	False	False	True
uc2.ark+=13960=t8bg2j314	Holmes, Oliver Wendell	Elsie Venner;	1861	1861.0	1861.0	15.0	2.0	m	us	True	Holmes	Boston;Ticknor and Fields;1861.	False	False	False	False	False	True	False	False
mdp.49015002827708	Steel, Danielle	Mixed blessings	1992	1992.0		1.0	1.0			True	Steel	New York, N.Y.|Delacorte Press|1992.	False	False	False	False	False	False	False	True
mdp.39015000643026	Monsarrat, Nicholas	The cruel sea	1951	1951.0		2.0	2.0			True	Monsarrat	New York|Knopf|1951.	False	False	False	False	False	False	False	True
mdp.39015013234508	Reed, Ishmael	The last days of Louisiana Red	1974	1974.0		2.0	2.0			True	Reed	New York|Random House|1974	True	False	False	False	False	False	False	False
mdp.39015063545472	Cross, Ruth	The golden cocoon; | a novel, | $c: by Ruth Cross.	1924	1924.0	1924.0	1.0	1.0	f	us	True	Cross	New York|London|Harper & brothers|1924.	False	False	False	False	False	False	True	False
nyp.33433076087786	Irving, Washington	"The legend of Sleepy Hollow, and The spectre bridegroom. From the ""Sketch book"""	1875	1859.0		3.0	2.0			True	Irving	Philadelphia, London;J.B. Lippincott & Co.;1875	True	True	False	False	False	False	False	False
njp.32101059224160	Dickens, Charles,	Dombey and Son	1855	1846.0	1846.0			m	uk		Dickens	Philadelphia;T.B. Peterson;between 1855 and 1857	False	False	False	False	False	False	False	True
mdp.39015031325833	Hutchinson, R.C	Elephant and Castle	1949	1949.0	1949.0	1.0	1.0	m	uk	True	Hutchinson	New York|Rinehart|1949	False	False	False	False	False	True	False	False
mdp.39015030704384	McKenna, Stephen,	Sonia, between two worlds	1917	1917.0	1917.0						McKenna	New York;George H. Doran company;c1917	False	False	False	False	False	False	False	True
mdp.39015063926870	Tarkington, Booth,	Gentle Julia	1922	1922.0	1922.0	7.0	6.0			True	Tarkington	Garden City, N. Y.;Doubleday, Page & company;1922.	False	False	False	False	False	False	False	True
mdp.39015066057277	Herbst, Josephine	Rope of gold, | $c: by Josephine Herbst.	1939	1939.0	1939.0	1.0	1.0	f	us	True	Herbst	New York|Harcourt, Brace and company|c1939	False	False	False	False	False	False	True	False
mdp.39015043787996	Forsyth, Frederick	The Odessa file	1972	1972.0		1.0	1.0			True	Forsyth	New York|Viking Press|c1972.	False	False	False	False	False	False	False	True
dul1.ark+=13960=t1fj34z1f	Lytton, Edward Bulwer Lytton	The coming race	1871	1871.0	1871.0	3.0	3.0	m	uk	True	Lytton	Edinburgh;London;W. Blackwood and sons;1871.	False	False	False	False	False	True	False	False
uc2.ark+=13960=t5m902m17	De Mille, James	The American baron	1872	1872.0	1872.0			m	ca		De	Harper & brothers;1872.	False	False	False	False	False	True	False	False
uva.x004326161	Porter, Eleanor H.	Pollyanna	1913	1913.0	1913.0						Porter	Boston;L.C. Page;1913.	False	False	False	False	False	False	False	True
uiuo.ark+=13960=t3223dc0z	Malet, Lucas	Colonel Enderby's wife	1885	1885.0	1885.0			f	uk		Malet	London;Kegan Paul, Trench & Co.;1885.	False	False	False	False	False	True	False	False
mdp.39015063932993	Lawrence, George Alfred	Guy Livingstone;	1858	1857.0	1857.0	1.0	1.0			True	Lawrence	New York;Harper & brothers;1858.	False	False	False	False	False	False	False	True
nyp.33433074930144	Brontë, Charlotte	Villette	1853	1853.0	1853.0	20.0	2.0	f	uk	True	Brontë	New York;Harper & brothers;1853.	False	False	False	False	False	True	False	False
nyp.33433074866710	Kipling, Rudyard	Kim	1901	1901.0	1901.0			m	uk		Kipling	Garden City, N.Y.;Doubleday, Page & company;1913 [c1901	False	False	False	False	False	True	False	False
mdp.39015011506139	Lewis, Wyndham	Tarr	1918	1916.0	1916.0			m	uk		Lewis	London;The Egoist;1918.	False	False	False	False	False	True	False	False
mdp.39015039519213	H̩mon, Louis,	Maria Chapdelaine;	1921	1921.0	1921.0						H̩mon	Montreal;A.T. Chapman;New York;John Lane company; [etc., etc.;1921.	False	False	False	False	False	False	False	True
mdp.39015008036983	Hilton, James	Lost horizon	1936	1936.0		4.0	4.0			True	Hilton	New York|Morrow|c1936	False	False	False	False	False	False	False	True
uiuo.ark+=13960=t1kh15m3g	Foxton, E	Herman, or, Young knighthood	1865	1865.0	1865.0	2.0	2.0	f	us	True	Foxton	Boston;Lee and Shepard;1866, c1865.	False	False	False	False	False	True	False	False
uc2.ark+=13960=t6sx6753r	Harwood, John Berwick	The serf-sisters;	1855	1855.0	1855.0	2.0	2.0	m	uk	True	Harwood	London;New York;G. Routledge;1855.	False	False	False	False	False	False	True	False
uc2.ark:/13960/t2g737p22	Rinehart, Mary Roberts,	The window at the White Cat	1910	1910.0	1910.0						Rinehart		False	False	False	False	False	False	False	True
uc1.b3688014	Johnston, Mary,	Sir Mortimer	1904	1904.0	1904.0	3.0	3.0			True	Johnston	New York;London;Harper and Brothers;1904, c1903.	False	False	False	False	False	False	False	True
